,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978954.706,,-80.99199986457825,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D8ECC0>,,0.0,,,1527978954.706,Foot,,,,562086.125,129277.796875,25676.900390625
1527978964.706,,-70.99199986457825,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D9CFD0>,,0.0,,,1527978964.706,Foot,,,,562086.125,129277.796875,25676.900390625
1527978972.124,,-63.573999881744385,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F497B8>,,,,0.0,,,1527978972.124,Foot,,,,562047.875,129181.7109375,25676.900390625
1527978974.434,,-61.263999938964844,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F49908>,,,,0.0,,,1527978974.434,Foot,,,,562056.0,129154.7265625,25676.900390625
1527978974.731,,-60.967000007629395,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DC6390>,,0.0,,,1527978974.731,Foot,,,,562056.625,129155.7734375,25676.900390625
1527978975.326,,-60.371999979019165,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F499B0>,,,,0.0,,,1527978975.326,Foot,,,,562114.9375,129192.765625,25676.900390625
1527978984.685,,-51.01300001144409,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008E27278>,,0.0,,,1527978984.685,Foot,,,,559304.9375,128337.1875,25676.87890625
1527978994.69,,-41.007999897003174,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AAE10>,,0.0,,,1527978994.69,Foot,,,,559047.4375,132938.203125,25678.369140625
1527979004.696,,-31.001999855041504,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094303C8>,,0.0,,,1527979004.696,Foot,,,,563494.1875,132483.5625,25678.439453125
1527979014.719,,-20.978999853134155,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009436978>,,0.0,,,1527979014.719,Foot,,,,561050.25,129357.96875,25676.869140625
1527979024.684,,-11.013999938964844,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943BE80>,,0.0,,,1527979024.684,Foot,,,,560090.25,126893.4453125,25676.87890625
1527979034.711,,-0.9869999885559082,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009444390>,,0.0,,,1527979034.711,Foot,,,,562861.0,127101.9453125,25676.869140625
1527979035.706,,0.00800013542175293,1,,,,,,,,,,,,0.0,,,1527979035.706,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x00000160093432B0>,932243.625,638286.0625,150088.0
1527979035.707,,0.009000062942504883,1,,,,,<itemEquip.itemEquip object at 0x00000160088D6630>,,,,,,,0.0,,,1527979035.707,DummyTransportAircraft_C,,,,932243.625,638286.0625,150088.0
1527979035.7071,,0.009099960327148438,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B56048>,,,,,,0.0,,,1527979035.7071,DummyTransportAircraft_C,,,,932243.625,638286.0625,150088.0
1527979045.241,,9.542999982833862,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944A860>,,0.0,,,1527979045.241,DummyTransportAircraft_C,,,,820574.4375,581876.4375,150088.0
1527979054.088,,18.390000104904175,1,,,,,,,,,,,,0.0,,,1527979054.088,Foot,,<vehicleLeave.vehicleLeave object at 0x0000016008D863C8>,,707133.125,524571.6875,150088.0
1527979054.094,,18.396000146865845,1,,,,,,,,,,,,0.0,,,1527979054.094,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x0000016009276B00>,707023.375,525960.0,150015.78125
1527979055.228,,19.52999997138977,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944FD68>,,0.0,,,1527979055.228,ParachutePlayer_C,,,,704456.75,524663.75,148114.9375
1527979065.227,,29.52900004386902,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459278>,,0.0,,,1527979065.227,ParachutePlayer_C,,,,698365.25,522333.96875,87193.1640625
1527979075.266,,39.568000078201294,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600945D710>,,0.0,,,1527979075.266,ParachutePlayer_C,,,,689454.75,521233.4375,28853.9375
1527979085.26,,49.562000036239624,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009461C18>,,0.0,,,1527979085.26,ParachutePlayer_C,,,,677953.625,518310.5,7180.05615234375
1527979090.784,,55.085999965667725,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A2BF28>,,,,,0.0,,,1527979090.784,ParachutePlayer_C,,,,671343.875,516882.9375,305.244140625
1527979090.7840998,,55.08609986305237,0,,,,,,,,,,,,0.0,,,1527979090.7840998,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097F8668>,,671343.875,516882.9375,305.244140625
1527979095.296,,59.598000049591064,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094660B8>,,0.0,,,1527979095.296,Foot,,,,672904.9375,517598.4375,90.83999633789062
1527979100.938,,65.24000000953674,0,,,,,<itemEquip.itemEquip object at 0x00000160088E7588>,,,,,,,0.0,,,1527979100.938,Foot,,,,672369.375,515584.15625,88.20999908447266
1527979100.939,,65.2409999370575,0,Item_Weapon_Saiga12_C,,,,,<itemPickup.itemPickup object at 0x0000016008B5EF28>,,,,,,0.0,,,1527979100.939,Foot,,,,672369.375,515584.15625,88.20999908447266
1527979101.605,,65.90700006484985,0,Item_Ammo_12Guage_C,,,,,<itemPickup.itemPickup object at 0x0000016008B5E128>,,,,,,0.0,,,1527979101.605,Foot,,,,672345.0,515488.0625,88.20999908447266
1527979101.99,,66.29200005531311,0,Item_Ammo_12Guage_C,,,,,<itemPickup.itemPickup object at 0x0000016008B5E048>,,,,,,0.0,,,1527979101.99,Foot,,,,672384.875,515447.4375,88.20999908447266
1527979104.928,,69.23000001907349,0,,,,,<itemEquip.itemEquip object at 0x00000160088E7A58>,,,,,,,0.0,,,1527979104.928,Foot,,,,672302.375,515023.34375,88.43999481201172
1527979104.929,,69.23099994659424,0,Item_Back_F_02_Lv2_C,,,,,<itemPickup.itemPickup object at 0x0000016008B62828>,,,,,,0.0,,,1527979104.929,Foot,,,,672302.375,515023.34375,88.43999481201172
1527979105.274,,69.57599997520447,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094705F8>,,0.0,,,1527979105.274,Foot,,,,672302.375,515023.34375,88.43999481201172
1527979105.409,,69.71099996566772,0,,,,,<itemEquip.itemEquip object at 0x00000160088E7AC8>,,,,,,,0.0,,,1527979105.409,Foot,,,,672302.375,515023.34375,88.43999481201172
1527979105.4090998,,69.71109986305237,0,Item_Head_E_02_Lv1_C,,,,,<itemPickup.itemPickup object at 0x0000016008B62908>,,,,,,0.0,,,1527979105.4090998,Foot,,,,672302.375,515023.34375,88.43999481201172
1527979115.259,,79.56100010871887,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009473AC8>,,0.0,,,1527979115.259,Foot,,,,672458.6875,512091.5,90.93000030517578
1527979119.913,,84.21500015258789,0,,,,,<itemEquip.itemEquip object at 0x00000160088ECC18>,,,,,,,0.0,,,1527979119.913,Foot,,,,673627.1875,511690.34375,107.18999481201172
1527979119.914,,84.21600008010864,0,Item_Weapon_M9_C,,,,,<itemPickup.itemPickup object at 0x0000016008B71278>,,,,,,0.0,,,1527979119.914,Foot,,,,673627.1875,511690.34375,107.18999481201172
1527979120.39,,84.69200015068054,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008B71668>,,,,,,0.0,,,1527979120.39,Foot,,,,673627.1875,511690.34375,107.18999481201172
1527979125.269,,89.57100009918213,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947BF98>,,0.0,,,1527979125.269,Foot,,,,673431.0,511754.71875,135.19000244140625
1527979132.432,,96.73399996757507,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F705C0>,,,,0.0,,,1527979132.432,Foot,,,,676412.6875,511889.28125,90.93000030517578
1527979135.254,,99.55599999427795,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009484438>,,0.0,,,1527979135.254,Foot,,,,676934.4375,512472.21875,90.93000030517578
1527979135.36,,99.66199994087219,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F76518>,,,,0.0,,,1527979135.36,Foot,,,,676957.0,512470.75,90.93000030517578
1527979137.042,,101.34400010108948,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F767B8>,,,,0.0,,,1527979137.042,Foot,,,,676897.8125,512896.1875,90.93000030517578
1527979137.899,,102.20099997520447,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F76C50>,,,,0.0,,,1527979137.899,Foot,,,,676966.0625,513068.5,90.93000030517578
1527979141.584,,105.88600015640259,0,,,,,,,,,<playerKill.playerKill object at 0x0000016008868400>,,,0.0,,,1527979141.584,Foot,,,,676991.0,513144.90625,158.92999267578125
1527979141.587,,105.88899993896484,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F79668>,,,,0.0,,,1527979141.587,Foot,,,,676991.0,513144.90625,158.92999267578125
1527979144.453,,108.75500011444092,0,,<itemAttach.itemAttach object at 0x00000160086377F0>,,,,,,,,,,0.0,,,1527979144.453,Foot,,,,677365.1875,513028.875,62.93000030517578
1527979144.454,,108.75600004196167,0,Item_Attach_Weapon_Muzzle_Compensator_Large_C,,,,,<itemPickup.itemPickup object at 0x0000016008B995F8>,,,,,,0.0,,,1527979144.454,Foot,,,,677365.1875,513028.875,62.93000030517578
1527979145.262,,109.5640001296997,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009488898>,,0.0,,,1527979145.262,Foot,,,,677340.375,513113.0,90.93000030517578
1527979150.183,,114.4850001335144,0,Item_Ammo_12Guage_C,,,,,<itemPickup.itemPickup object at 0x0000016008B9EF98>,,,,,,0.0,,,1527979150.183,Foot,,,,677414.9375,513820.90625,128.1199951171875
1527979150.53,,114.83200001716614,0,Item_Boost_EnergyDrink_C,,,,,<itemPickup.itemPickup object at 0x0000016008BA21D0>,,,,,,0.0,,,1527979150.53,Foot,,,,677434.3125,513805.875,128.1199951171875
1527979155.0,,119.30200004577637,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A51080>,,,,,0.0,,,1527979155.0,Foot,,,,678537.1875,513462.875,128.1199951171875
1527979155.001,,119.30299997329712,0,,,,<itemDrop.itemDrop object at 0x0000016008819C18>,,,,,,,,0.0,,,1527979155.001,Foot,,,,678537.1875,513462.875,128.1199951171875
1527979155.0010998,,119.30309987068176,0,,,,,<itemEquip.itemEquip object at 0x00000160086C9208>,,,,,,,0.0,,,1527979155.0010998,Foot,,,,678537.1875,513462.875,128.1199951171875
1527979155.0012,,119.30320000648499,0,Item_Back_F_01_Lv2_C,,,,,<itemPickup.itemPickup object at 0x0000016008BA6438>,,,,,,0.0,,,1527979155.0012,Foot,,,,678537.1875,513462.875,128.1199951171875
1527979155.27,,119.57200002670288,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600948EBA8>,,0.0,,,1527979155.27,Foot,,,,678537.1875,513462.875,128.1199951171875
1527979155.723,,120.02500009536743,0,Item_Weapon_SmokeBomb_C,,,,,<itemPickup.itemPickup object at 0x0000016008BA67B8>,,,,,,0.0,,,1527979155.723,Foot,,,,678537.1875,513462.875,128.1199951171875
1527979163.453,,127.75500011444092,0,Item_Boost_EnergyDrink_C,,,,,<itemPickup.itemPickup object at 0x0000016008BB2AC8>,,,,,,0.0,,,1527979163.453,Foot,,,,678129.8125,514676.1875,156.1199951171875
1527979165.261,,129.56299996376038,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009493E48>,,0.0,,,1527979165.261,Foot,,,,678348.25,514600.9375,156.1199951171875
1527979172.572,,136.87400007247925,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F843C8>,,,,0.0,,,1527979172.572,Foot,,,,678491.125,514415.875,156.1199951171875
1527979173.461,,137.7630000114441,0,,,,,,,,,<playerKill.playerKill object at 0x000001600888F160>,,,0.0,,,1527979173.461,Foot,,,,678461.0,514443.5625,156.1199951171875
1527979173.466,,137.768000125885,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F84DA0>,,,,0.0,,,1527979173.466,Foot,,,,678461.0,514443.5625,156.1199951171875
1527979175.281,,139.5829999446869,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009496128>,,0.0,,,1527979175.281,Foot,,,,678379.1875,514600.9375,128.1199951171875
1527979178.75,,143.05200004577637,0,Item_Boost_EnergyDrink_C,,,,,<itemPickup.itemPickup object at 0x00000160089360F0>,,,,,,0.0,,,1527979178.75,Foot,,,,678576.625,514812.90625,62.93000030517578
1527979185.243,,149.54500007629395,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A1240>,,0.0,,,1527979185.243,Foot,,,,678527.8125,514814.34375,62.93000030517578
1527979185.542,,149.84400010108948,0,Item_Attach_Weapon_Stock_AR_Composite_C,,,,,<itemPickup.itemPickup object at 0x0000016008BCBAC8>,,,,,,0.0,,,1527979185.542,Foot,,,,678527.8125,514814.34375,62.93000030517578
1527979195.244,,159.5460000038147,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A6390>,,0.0,,,1527979195.244,Foot,,,,678853.25,514139.75,490.8199768066406
1527979197.658,,161.96000003814697,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BDD358>,,,,,,0.0,,,1527979197.658,Foot,,,,678633.5625,513771.3125,462.8199768066406
