,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527979000.241,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD1D0>,,0.0,,,1527979000.241,,,,798144.0,20141.76171875,528.5342407226562
1527979010.189,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499630>,,0.0,,,1527979010.189,,,,798144.0,20141.798828125,528.5
1527979020.19,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480BA8>,,0.0,,,1527979020.19,,,,798144.0,20141.798828125,528.5
1527979030.207,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774700B8>,,0.0,,,1527979030.207,,,,798144.0,20141.798828125,528.5
1527979035.875,,,,,,<itemEquip.itemEquip object at 0x000001B476E5A780>,,,,,,,0.0,,,1527979035.875,,,,932243.625,638286.0625,150088.0
1527979035.8751,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D2E10>,,,,,,0.0,,,1527979035.8751,,,,932243.625,638286.0625,150088.0
1527979035.8752,,,,,,,,,,,,,0.0,,,1527979035.8752,,,<vehicleRide.vehicleRide object at 0x000001B47788F128>,932243.625,638286.0625,150088.0
1527979040.729,,5.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A5F8>,,0.0,,,1527979040.729,,,,882386.375,613100.6875,150088.0
1527979050.717,,15.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736EAC8>,,0.0,,,1527979050.717,,,,752988.0625,547735.1875,150088.0
1527979060.714,,25.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365F98>,,0.0,,,1527979060.714,,,,623701.5625,482426.25,150088.0
1527979070.719,,34.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774414A8>,,0.0,,,1527979070.719,,,,494317.46875,417067.9375,150088.0
1527979073.655,,,,,,,,,,,,,0.0,,,1527979073.655,,<vehicleLeave.vehicleLeave object at 0x000001B4777BBC18>,,456389.6875,397908.78125,150088.0
1527979073.66,,,,,,,,,,,,,0.0,,,1527979073.66,,,<vehicleRide.vehicleRide object at 0x000001B477B6B390>,457128.90625,397273.53125,150015.78125
1527979080.737,,44.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F978>,,0.0,,,1527979080.737,,,,442674.03125,396001.40625,129324.7421875
1527979090.79,,54.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928E48>,,0.0,,,1527979090.79,,,,421770.03125,423972.625,94159.859375
