,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978954.775,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47732CCC0>,,0.0,,,1527978954.775,,,,561388.3125,129575.1953125,25676.900390625
1527978964.776,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47733A8D0>,,0.0,,,1527978964.776,,,,561388.3125,129575.1953125,25676.900390625
1527978974.797,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477361748>,,0.0,,,1527978974.797,,,,561388.3125,129575.1953125,25676.900390625
1527978984.755,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739B4E0>,,0.0,,,1527978984.755,,,,561332.875,131153.921875,25680.119140625
1527978994.759,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD518>,,0.0,,,1527978994.759,,,,561083.0625,132115.6875,25767.76953125
1527979004.76,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0A90>,,0.0,,,1527979004.76,,,,559747.75,132320.859375,25864.46875
1527979014.767,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499198>,,0.0,,,1527979014.767,,,,560782.375,137755.96875,25667.669921875
1527979024.751,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470588>,,0.0,,,1527979024.751,,,,556726.0,136353.828125,25670.62890625
1527979034.78,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FA58>,,0.0,,,1527979034.78,,,,551370.5625,134952.296875,25623.478515625
1527979035.708,,,,,,,,,,,,,0.0,,,1527979035.708,,,<vehicleRide.vehicleRide object at 0x000001B477C4A940>,932243.625,638286.0625,150088.0
1527979035.709,,,,,,<itemEquip.itemEquip object at 0x000001B476E49BE0>,,,,,,,0.0,,,1527979035.709,,,,932243.625,638286.0625,150088.0
1527979035.7091,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CA780>,,,,,,0.0,,,1527979035.7091,,,,932243.625,638286.0625,150088.0
1527979045.308,,9.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738AF28>,,0.0,,,1527979045.308,,,,819808.625,581489.625,150088.0
1527979055.305,,19.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365438>,,0.0,,,1527979055.305,,,,692228.6875,517042.6875,150088.0
1527979065.313,,29.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456908>,,0.0,,,1527979065.313,,,,563190.3125,451859.03125,150088.0
1527979074.862,,,,,,,,,,,,,0.0,,,1527979074.862,,<vehicleLeave.vehicleLeave object at 0x000001B4777BBDD8>,,440910.625,390089.53125,150088.0
1527979074.867,,,,,,,,,,,,,0.0,,,1527979074.867,,,<vehicleRide.vehicleRide object at 0x000001B477B6B550>,439988.78125,387924.84375,150015.78125
1527979075.319,,39.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441DD8>,,0.0,,,1527979075.319,,,,438776.0625,387220.9375,149732.96875
1527979085.322,,48.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779282E8>,,0.0,,,1527979085.322,,,,423455.125,356645.25,115557.40625
1527979095.297,,58.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D7B8>,,0.0,,,1527979095.297,,,,420368.34375,338999.34375,57191.73828125
1527979105.324,,68.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933C88>,,0.0,,,1527979105.324,,,,418365.1875,336215.9375,12042.7978515625
1527979114.143,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB4780>,,,,,0.0,,,1527979114.143,,,,424465.46875,326555.40625,1557.73779296875
1527979114.1430998,,,,,,,,,,,,,0.0,,,1527979114.1430998,,<vehicleLeave.vehicleLeave object at 0x000001B4778077B8>,,424465.46875,326555.40625,1557.73779296875
1527979115.323,,77.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936048>,,0.0,,,1527979115.323,,,,424574.0625,326326.21875,1406.1400146484375
1527979117.075,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DF780>,,,,,,0.0,,,1527979117.075,,,,425012.46875,325481.03125,1406.1400146484375
1527979117.821,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DFB70>,,,,,,0.0,,,1527979117.821,,,,425003.28125,325492.65625,1406.1400146484375
1527979119.781,,,,,,<itemEquip.itemEquip object at 0x000001B476E600B8>,,,,,,,0.0,,,1527979119.781,,,,425118.3125,324760.53125,1406.1400146484375
1527979119.7810998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770E5630>,,,,,,0.0,,,1527979119.7810998,,,,425118.3125,324760.53125,1406.1400146484375
1527979125.348,,87.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477941668>,,0.0,,,1527979125.348,,,,423229.59375,324924.65625,1398.1500244140625
1527979135.315,,96.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946B00>,,0.0,,,1527979135.315,,,,423487.5,326335.3125,1069.179931640625
1527979137.17,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D16E10>,0.0,,,1527979137.17,,,,423502.625,326310.9375,1069.179931640625
1527979137.246,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D16EF0>,0.0,,,1527979137.246,,,,423502.625,326310.9375,1069.179931640625
1527979137.367,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D16048>,0.0,,,1527979137.367,,,,423502.625,326310.9375,1069.179931640625
1527979197.415,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FD6CF8>,,,,,0.0,,,1527979197.415,,,,423502.625,326310.9375,1069.179931640625
