,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978974.593,,-61.105000019073486,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DC3FD0>,,0.0,,,1527978974.593,Foot,,,,796546.6875,20176.599609375,528.5299682617188
1527978984.584,,-51.11399984359741,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DF3BE0>,,0.0,,,1527978984.584,Foot,,,,796546.6875,20176.599609375,528.5299682617188
1527978994.589,,-41.10899996757507,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AAD30>,,0.0,,,1527978994.589,Foot,,,,796546.6875,20176.599609375,528.5299682617188
1527979004.577,,-31.121000051498413,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094302E8>,,0.0,,,1527979004.577,Foot,,,,796546.6875,20176.599609375,528.5299682617188
1527979014.609,,-21.08899998664856,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009436860>,,0.0,,,1527979014.609,Foot,,,,796546.6875,20176.599609375,528.5299682617188
1527979024.585,,-11.11299991607666,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943BDA0>,,0.0,,,1527979024.585,Foot,,,,796546.6875,20176.599609375,528.5299682617188
1527979034.61,,-1.0880000591278076,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094442B0>,,0.0,,,1527979034.61,Foot,,,,796546.6875,20176.599609375,528.5299682617188
1527979035.855,,0.15700006484985352,1,,,,,<itemEquip.itemEquip object at 0x0000016008855DA0>,,,,,,,0.0,,,1527979035.855,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8551,,0.15709996223449707,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B5E438>,,,,,,0.0,,,1527979035.8551,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8552,,0.15720009803771973,1,,,,,,,,,,,,0.0,,,1527979035.8552,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009276550>,932243.625,638286.0625,150088.0
1527979045.107,,9.409000158309937,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944A780>,,0.0,,,1527979045.107,DummyTransportAircraft_C,,,,822067.1875,582630.5,150088.0
1527979055.095,,19.397000074386597,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944FC50>,,0.0,,,1527979055.095,DummyTransportAircraft_C,,,,694650.5625,518266.0625,150088.0
1527979065.126,,29.42799997329712,1,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094520F0>,,0.0,,,1527979065.126,DummyTransportAircraft_C,,,,565519.25,453035.46875,150088.0
1527979075.105,,39.40700006484985,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600945D630>,,0.0,,,1527979075.105,DummyTransportAircraft_C,,,,437780.28125,388508.25,150088.0
1527979085.131,,49.43300008773804,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009461B00>,,0.0,,,1527979085.131,DummyTransportAircraft_C,,,,308706.5,323306.6875,150088.0
1527979088.739,,53.04100012779236,1,,,,,,,,,,,,0.0,,,1527979088.739,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097F8438>,,263135.625,300286.59375,150088.0
1527979088.742,,53.04400014877319,1,,,,,,,,,,,,0.0,,,1527979088.742,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x000001600969DB70>,263601.96875,298078.3125,150015.78125
1527979095.124,,59.426000118255615,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009466FD0>,,0.0,,,1527979095.124,ParachutePlayer_C,,,,247816.65625,300912.875,128347.1640625
1527979105.111,,69.41300010681152,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094704E0>,,0.0,,,1527979105.111,ParachutePlayer_C,,,,217697.078125,309335.53125,90428.1171875
1527979115.11,,79.41199994087219,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094739B0>,,0.0,,,1527979115.11,ParachutePlayer_C,,,,186073.234375,314280.09375,52977.90234375
1527979125.179,,89.48099994659424,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947BE80>,,0.0,,,1527979125.179,ParachutePlayer_C,,,,170089.875,316156.5625,34650.72265625
1527979135.134,,99.43600010871887,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009484390>,,0.0,,,1527979135.134,ParachutePlayer_C,,,,155282.21875,317839.78125,17203.515625
1527979144.916,,109.21799993515015,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A51710>,,,,,0.0,,,1527979144.916,ParachutePlayer_C,,,,149650.890625,317405.03125,2617.674560546875
1527979144.9160998,,109.21809983253479,0,,,,,,,,,,,,0.0,,,1527979144.9160998,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160092DE2E8>,,149650.890625,317405.03125,2617.674560546875
1527979145.15,,109.4520001411438,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094887B8>,,0.0,,,1527979145.15,Foot,,,,149672.78125,317398.4375,2650.719970703125
1527979155.162,,119.46399998664856,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600948EB38>,,0.0,,,1527979155.162,Foot,,,,151380.90625,318951.3125,2518.280029296875
1527979157.019,,121.32100009918213,0,,,,,<itemEquip.itemEquip object at 0x00000160086C9588>,,,,,,,0.0,,,1527979157.019,Foot,,,,151075.6875,318412.59375,2518.280029296875
1527979157.02,,121.32200002670288,0,Item_Back_E_01_Lv1_C,,,,,<itemPickup.itemPickup object at 0x0000016008BA6C88>,,,,,,0.0,,,1527979157.02,Foot,,,,151075.6875,318412.59375,2518.280029296875
1527979158.693,,122.99500012397766,0,,,,,<itemEquip.itemEquip object at 0x00000160086C9AC8>,,,,,,,0.0,,,1527979158.693,Foot,,,,151217.25,318264.5625,2518.280029296875
1527979158.694,,122.99600005149841,0,Item_Weapon_UZI_C,,,,,<itemPickup.itemPickup object at 0x0000016008BAD978>,,,,,,0.0,,,1527979158.694,Foot,,,,151217.25,318264.5625,2518.280029296875
1527979159.874,,124.17600011825562,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BADF28>,,,,,,0.0,,,1527979159.874,Foot,,,,151258.25,318258.65625,2518.280029296875
1527979160.605,,124.90700006484985,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BB21D0>,,,,,,0.0,,,1527979160.605,Foot,,,,151258.25,318258.65625,2518.280029296875
1527979161.246,,125.54800009727478,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BB24A8>,,,,,,0.0,,,1527979161.246,Foot,,,,151258.25,318258.65625,2518.280029296875
1527979165.123,,129.42499995231628,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009493DD8>,,0.0,,,1527979165.123,Foot,,,,151135.640625,318367.21875,2518.280029296875
1527979175.113,,139.41499996185303,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009496198>,,0.0,,,1527979175.113,Foot,,,,149566.40625,318655.03125,2518.280029296875
