,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978959.123,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477334DA0>,,0.0,,,1527978959.123,,,,797860.875,20056.548828125,528.5
1527978969.12,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773432E8>,,0.0,,,1527978969.12,,,,801264.25,23250.958984375,584.7596435546875
1527978979.132,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477376DA0>,,0.0,,,1527978979.132,,,,798375.75,26999.138671875,-77.48999786376953
1527978979.571,,,,,,,,,,,,,1.0,,<swimStart.swimStart object at 0x000001B477ADC080>,1527978979.571,,,,798347.3125,27113.232421875,-267.6920471191406
1527978983.6,,,,,,,,,,,,,0.0,<swimEnd.swimEnd object at 0x000001B476F90160>,,1527978983.6,,,,798609.1875,27544.771484375,-280.5828552246094
1527978983.996,,,,,,,,,,,,,1.0,,<swimStart.swimStart object at 0x000001B4780BCDD8>,1527978983.996,,,,798707.5,27522.236328125,-284.3110656738281
1527978984.342,,,,,,,,,,,,,0.0,<swimEnd.swimEnd object at 0x000001B476F90320>,,1527978984.342,,,,798734.625,27493.69140625,-261.25457763671875
1527978989.156,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477465128>,,0.0,,,1527978989.156,,,,798931.3125,27329.1484375,-71.6199951171875
1527978999.149,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BDEF0>,,0.0,,,1527978999.149,,,,799195.75,27236.6796875,224.0806121826172
1527979009.145,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774994E0>,,0.0,,,1527979009.145,,,,799206.9375,27110.388671875,475.2599792480469
