,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978954.406,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477328390>,,0.0,,,1527978954.406,,,,561146.3125,129547.5,25676.900390625
1527978964.387,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477338400>,,0.0,,,1527978964.387,,,,561146.3125,129547.5,25676.900390625
1527978974.445,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47735CE80>,,0.0,,,1527978974.445,,,,561146.3125,129547.5,25676.900390625
1527978984.384,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739BE48>,,0.0,,,1527978984.384,,,,561146.3125,129547.5,25676.900390625
1527978994.392,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD320>,,0.0,,,1527978994.392,,,,561146.3125,129547.5,25676.900390625
1527979004.39,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0828>,,0.0,,,1527979004.39,,,,561146.3125,129547.5,25676.900390625
1527979014.413,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499DA0>,,0.0,,,1527979014.413,,,,561343.0625,129450.0859375,25676.900390625
1527979024.415,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470390>,,0.0,,,1527979024.415,,,,561229.875,127214.9765625,25775.71875
1527979034.398,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F7F0>,,0.0,,,1527979034.398,,,,560262.125,125175.34375,25678.4296875
1527979035.7,,,,,,<itemEquip.itemEquip object at 0x000001B476E499E8>,,,,,,,0.0,,,1527979035.7,,,,932243.625,638286.0625,150088.0
1527979035.7001,,,,,,,,,,,,,0.0,,,1527979035.7001,,,<vehicleRide.vehicleRide object at 0x000001B477C4A780>,932243.625,638286.0625,150088.0
1527979035.701,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CA5C0>,,,,,,0.0,,,1527979035.701,,,,932243.625,638286.0625,150088.0
1527979044.939,,9.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738ACF8>,,0.0,,,1527979044.939,,,,823903.625,583558.1875,150088.0
1527979054.929,,19.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365240>,,0.0,,,1527979054.929,,,,696663.25,519282.75,150088.0
1527979061.1,,,,,,,,,,,,,0.0,,,1527979061.1,,<vehicleLeave.vehicleLeave object at 0x000001B476F902E8>,,618625.625,479862.125,150088.0
1527979061.105,,,,,,,,,,,,,0.0,,,1527979061.105,,,<vehicleRide.vehicleRide object at 0x000001B477B607F0>,618244.375,480812.96875,150015.78125
1527979064.972,,29.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456710>,,0.0,,,1527979064.972,,,,612162.875,473483.0,136967.625
1527979074.932,,38.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441B70>,,0.0,,,1527979074.932,,,,614649.5625,444700.125,97111.546875
1527979084.947,,48.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F160>,,0.0,,,1527979084.947,,,,620263.9375,414350.71875,58222.03125
1527979094.95,,58.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D550>,,0.0,,,1527979094.95,,,,623034.375,396710.4375,29140.44140625
1527979104.947,,67.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933A58>,,0.0,,,1527979104.947,,,,626211.625,383581.375,11391.98828125
1527979110.024,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB07B8>,,,,,0.0,,,1527979110.024,,,,625369.375,378240.53125,4085.743408203125
1527979110.0240998,,,,,,,,,,,,,0.0,,,1527979110.0240998,,<vehicleLeave.vehicleLeave object at 0x000001B4778071D0>,,625369.375,378240.53125,4085.743408203125
1527979115.031,,77.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936EF0>,,0.0,,,1527979115.031,,,,626423.0625,378576.4375,3857.099853515625
1527979115.296,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774F5048>,,,,0.0,,,1527979115.296,,,,626570.625,378583.03125,3857.099853515625
