,armorDestroy,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978982.196,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EE7160>,,,,1527978982.196,,,,344311.0,170965.890625,1453.4000244140625
1527978992.23,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA249BE0>,,,,1527978992.23,,,,344311.0,170965.890625,1453.4000244140625
1527979002.212,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4C7048>,,,,1527979002.212,,,,344311.0,170965.890625,1453.4000244140625
1527979012.232,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4D1748>,,,,1527979012.232,,,,344311.0,170965.890625,1453.4000244140625
1527979022.226,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4D5C88>,,,,1527979022.226,,,,344311.0,170965.890625,1453.4000244140625
1527979032.18,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4DA080>,,,,1527979032.18,,,,344311.0,170965.890625,1453.4000244140625
1527979035.79,,,,,<itemEquip.itemEquip object at 0x00000184B99BF198>,,,,,,,,,1527979035.79,,,,932243.625,638286.0625,150088.0
1527979035.7900999,,,,,,<itemPickup.itemPickup object at 0x00000184B9C389E8>,,,,,,,,1527979035.7900999,,,,932243.625,638286.0625,150088.0
1527979035.7902,,,,,,,,,,,,,,1527979035.7902,,,<vehicleRide.vehicleRide object at 0x00000184BA3ADBA8>,932243.625,638286.0625,150088.0
1527979042.73,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4E56A0>,,,,1527979042.73,,,,856638.9375,600094.4375,150088.0
1527979052.726,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9C5BB70>,,,,1527979052.726,,,,725389.625,533793.9375,150088.0
1527979062.72,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4ED1D0>,,,,1527979062.72,,,,597204.0,469041.0,150088.0
1527979072.718,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4F6550>,,,,1527979072.718,,,,468823.875,404189.90625,150088.0
1527979082.728,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4FBA20>,,,,1527979082.728,,,,339378.84375,338800.78125,150088.0
1527979092.756,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA500EF0>,,,,1527979092.756,,,,209868.28125,273378.625,150088.0
1527979101.318,,,,,,,,,,,,,,1527979101.318,,<vehicleLeave.vehicleLeave object at 0x00000184BA7E48D0>,,100005.421875,217881.5,150088.0
