,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978975.411,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477361080>,,0.0,,,1527978975.411,,,,562271.9375,128662.5859375,25676.875
1527978985.424,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773E4400>,,0.0,,,1527978985.424,,,,562271.9375,128662.5859375,25676.875
1527978995.41,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD6D8>,,0.0,,,1527978995.41,,,,562272.0,128662.59375,25676.87890625
1527979005.394,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0C50>,,0.0,,,1527979005.394,,,,562272.0,128662.59375,25676.87890625
1527979015.474,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480208>,,0.0,,,1527979015.474,,,,562272.0,128662.59375,25676.87890625
1527979025.403,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470748>,,0.0,,,1527979025.403,,,,562111.375,129784.5859375,25676.87890625
1527979035.416,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774F58D0>,,,,0.0,,,1527979035.416,,,,561074.75,128645.859375,25684.8203125
1527979035.425,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FC18>,,0.0,,,1527979035.425,,,,561074.75,128645.859375,25684.8203125
1527979035.857,,,,,,<itemEquip.itemEquip object at 0x000001B476E5A390>,,,,,,,0.0,,,1527979035.857,,,,932243.625,638286.0625,150088.0
1527979035.8571,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D2A20>,,,,,,0.0,,,1527979035.8571,,,,932243.625,638286.0625,150088.0
1527979035.8572001,,,,,,,,,,,,,0.0,,,1527979035.8572001,,,<vehicleRide.vehicleRide object at 0x000001B47788FBE0>,932243.625,638286.0625,150088.0
1527979045.941,,10.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A0B8>,,0.0,,,1527979045.941,,,,812608.625,577852.5,150088.0
1527979055.915,,20.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773655F8>,,0.0,,,1527979055.915,,,,684613.0625,513195.71875,150088.0
1527979065.946,,30.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456AC8>,,0.0,,,1527979065.946,,,,555080.6875,447762.46875,150088.0
1527979075.932,,39.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441F98>,,0.0,,,1527979075.932,,,,427188.0,383157.59375,150088.0
1527979085.96,,49.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779284A8>,,0.0,,,1527979085.96,,,,298178.15625,317988.34375,150088.0
1527979091.289,,,,,,,,,,,,,0.0,,,1527979091.289,,<vehicleLeave.vehicleLeave object at 0x000001B4777D2CF8>,,229082.21875,283084.5625,150088.0
1527979091.292,,,,,,,,,,,,,0.0,,,1527979091.292,,,<vehicleRide.vehicleRide object at 0x000001B477B7B390>,229280.671875,281328.96875,150015.78125
1527979095.963,,59.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D978>,,0.0,,,1527979095.963,,,,220788.890625,279973.34375,130654.828125
1527979105.97,,68.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933E48>,,0.0,,,1527979105.97,,,,215978.875,283356.3125,67290.96875
1527979116.001,,78.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C358>,,0.0,,,1527979116.001,,,,214739.359375,284192.375,15694.470703125
1527979125.979,,87.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477941828>,,0.0,,,1527979125.979,,,,203601.84375,291516.90625,1569.583740234375
1527979126.278,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB9D30>,,,,,0.0,,,1527979126.278,,,,203414.09375,291622.03125,1365.32373046875
1527979126.2781,,,,,,,,,,,,,0.0,,,1527979126.2781,,<vehicleLeave.vehicleLeave object at 0x000001B477807048>,,203414.09375,291622.03125,1365.32373046875
1527979129.116,,,,,,<itemEquip.itemEquip object at 0x000001B476E67898>,,,,,,,0.0,,,1527979129.116,,,,202589.96875,292285.65625,1256.699951171875
1527979129.117,,,,,,,<itemPickup.itemPickup object at 0x000001B4770F1160>,,,,,,0.0,,,1527979129.117,,,,202589.96875,292285.65625,1256.699951171875
1527979136.009,,97.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946CC0>,,0.0,,,1527979136.009,,,,199039.953125,291784.21875,1256.699951171875
1527979138.128,,,,,,,<itemPickup.itemPickup object at 0x000001B477100C50>,,,,,,0.0,,,1527979138.128,,,,198928.03125,291207.0625,1256.699951171875
1527979138.476,,,,,,,<itemPickup.itemPickup object at 0x000001B477100160>,,,,,,0.0,,,1527979138.476,,,,198932.890625,291206.84375,1256.699951171875
1527979139.139,,,,,,,<itemPickup.itemPickup object at 0x000001B4771055C0>,,,,,,0.0,,,1527979139.139,,,,198946.96875,291206.34375,1256.699951171875
1527979139.633,,,,,,,<itemPickup.itemPickup object at 0x000001B4771059B0>,,,,,,0.0,,,1527979139.633,,,,198957.65625,291205.9375,1256.699951171875
1527979140.111,,,,,,,<itemPickup.itemPickup object at 0x000001B477105E10>,,,,,,0.0,,,1527979140.111,,,,198976.09375,291205.21875,1256.699951171875
1527979142.05,,,,,,<itemEquip.itemEquip object at 0x000001B476E73278>,,,,,,,0.0,,,1527979142.05,,,,198962.078125,291254.0,1256.699951171875
1527979142.051,,,,,,,<itemPickup.itemPickup object at 0x000001B47710AA90>,,,,,,0.0,,,1527979142.051,,,,198962.078125,291254.0,1256.699951171875
1527979142.726,,,,,,<itemEquip.itemEquip object at 0x000001B476E734A8>,,,,,,,0.0,,,1527979142.726,,,,198969.46875,291253.75,1256.699951171875
1527979142.727,,,,,,,<itemPickup.itemPickup object at 0x000001B47710A0F0>,,,,,,0.0,,,1527979142.727,,,,198969.46875,291253.75,1256.699951171875
1527979145.959,,107.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794C128>,,0.0,,,1527979145.959,,,,199066.71875,291801.0,1256.699951171875
1527979155.948,,116.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477957400>,,0.0,,,1527979155.948,,,,198850.75,290888.0625,1348.8299560546875
1527979162.893,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477519630>,,,,0.0,,,1527979162.893,,,,201092.171875,289134.8125,1256.699951171875
1527979163.011,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477519828>,,,,0.0,,,1527979163.011,,,,201073.3125,289147.625,1256.699951171875
1527979163.124,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775198D0>,,,,0.0,,,1527979163.124,,,,201055.09375,289148.96875,1256.699951171875
1527979163.228,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477519A20>,,,,0.0,,,1527979163.228,,,,201048.171875,289132.3125,1256.699951171875
1527979163.331,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D1E9B0>,0.0,,,1527979163.331,,,,201047.4375,289119.375,1256.699951171875
1527979163.332,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D1EA90>,0.0,,,1527979163.332,,,,201047.4375,289119.375,1256.699951171875
1527979163.335,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477519CC0>,,,,0.0,,,1527979163.335,,,,201048.078125,289108.59375,1256.699951171875
1527979163.396,,,,,,,,,,<playerKill.playerKill object at 0x000001B476E14B00>,,,0.0,,,1527979163.396,,,,201049.09375,289098.46875,1256.699951171875
1527979163.455,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477519D68>,,,,0.0,,,1527979163.455,,,,201049.46875,289088.15625,1256.699951171875
1527979163.56,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477519E10>,,,,0.0,,,1527979163.56,,,,201037.9375,289072.46875,1256.699951171875
1527979163.658,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477519F60>,,,,0.0,,,1527979163.658,,,,201022.203125,289076.9375,1256.699951171875
1527979163.796,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775190F0>,,,,0.0,,,1527979163.796,,,,201004.46875,289089.875,1256.699951171875
1527979163.896,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47751F198>,,,,0.0,,,1527979163.896,,,,200984.171875,289104.75,1256.699951171875
1527979164.018,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47751F240>,,,,0.0,,,1527979164.018,,,,200963.890625,289119.15625,1256.699951171875
1527979165.976,,126.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47795A668>,,0.0,,,1527979165.976,,,,201556.953125,289241.125,1256.699951171875
1527979167.509,,,,,,,<itemPickup.itemPickup object at 0x000001B47712D6A0>,,,,,,0.0,,,1527979167.509,,,,201401.921875,289760.125,1256.699951171875
1527979171.064,,,,,<itemDrop.itemDrop object at 0x000001B476D8F9E8>,,,,,,,,0.0,,,1527979171.064,,,,202308.171875,289367.0625,1256.699951171875
1527979171.0640998,,,,,,<itemEquip.itemEquip object at 0x000001B476E80208>,,,,,,,0.0,,,1527979171.0640998,,,,202308.171875,289367.0625,1256.699951171875
1527979171.0642,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FD09E8>,,,,,0.0,,,1527979171.0642,,,,202308.171875,289367.0625,1256.699951171875
1527979171.065,,,,,,,<itemPickup.itemPickup object at 0x000001B4771316A0>,,,,,,0.0,,,1527979171.065,,,,202308.171875,289367.0625,1256.699951171875
1527979171.741,,,,,,<itemEquip.itemEquip object at 0x000001B476E803C8>,,,,,,,0.0,,,1527979171.741,,,,202324.359375,289331.6875,1256.699951171875
1527979171.7410998,,,,,,,<itemPickup.itemPickup object at 0x000001B4771318D0>,,,,,,0.0,,,1527979171.7410998,,,,202324.359375,289331.6875,1256.699951171875
1527979175.943,,136.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477960898>,,0.0,,,1527979175.943,,,,202665.375,289449.3125,1256.699951171875
1527979185.952,,145.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477965A20>,,0.0,,,1527979185.952,,,,207094.46875,289843.21875,1249.5634765625
1527979190.553,,,,,<itemDrop.itemDrop object at 0x000001B476D8FEB8>,,,,,,,,0.0,,,1527979190.553,,,,207160.671875,289685.0625,1445.8399658203125
1527979190.5530999,,,,,,,<itemPickup.itemPickup object at 0x000001B47714A400>,,,,,,0.0,,,1527979190.5530999,,,,207160.671875,289685.0625,1445.8399658203125
1527979190.5532,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FD0240>,,,,,0.0,,,1527979190.5532,,,,207160.671875,289685.0625,1445.8399658203125
1527979190.554,,,,,,<itemEquip.itemEquip object at 0x000001B476E86898>,,,,,,,0.0,,,1527979190.554,,,,207160.671875,289685.0625,1445.8399658203125
1527979190.5540998,,,,,,,<itemPickup.itemPickup object at 0x000001B47714A470>,,,,,,0.0,,,1527979190.5540998,,,,207160.671875,289685.0625,1445.8399658203125
1527979191.233,,,,,,,<itemPickup.itemPickup object at 0x000001B47714A9B0>,,,,,,0.0,,,1527979191.233,,,,207149.8125,289695.34375,1445.8399658203125
