,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978967.404,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47733E4E0>,,0.0,,,1527978967.404,,,,562432.3125,129498.3984375,25676.87890625
1527978977.433,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477370FD0>,,0.0,,,1527978977.433,,,,562432.3125,129498.3984375,25676.87890625
1527978987.437,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E8240>,,,,0.0,,,1527978987.437,,,,562294.0,129639.7109375,25676.87890625
1527978987.446,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774B1860>,,0.0,,,1527978987.446,,,,562294.0,129639.7109375,25676.87890625
1527978987.995,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E82E8>,,,,0.0,,,1527978987.995,,,,562276.3125,129623.4296875,25676.87890625
1527978988.409,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E8390>,,,,0.0,,,1527978988.409,,,,562276.3125,129623.4296875,25676.87890625
1527978988.908,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E8438>,,,,0.0,,,1527978988.908,,,,562276.3125,129623.4296875,25676.87890625
1527978989.386,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E84E0>,,,,0.0,,,1527978989.386,,,,562276.3125,129623.4296875,25676.87890625
1527978989.931,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E8588>,,,,0.0,,,1527978989.931,,,,562276.3125,129623.4296875,25676.87890625
1527978990.404,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E8630>,,,,0.0,,,1527978990.404,,,,562276.3125,129623.4296875,25676.87890625
1527978990.765,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E86D8>,,,,0.0,,,1527978990.765,,,,562276.3125,129623.4296875,25676.87890625
1527978991.135,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E8780>,,,,0.0,,,1527978991.135,,,,562276.3125,129623.4296875,25676.87890625
