,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978955.755,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47732F5C0>,,0.0,,,1527978955.755,,,,344556.625,170716.171875,1458.510009765625
1527978965.776,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47733A160>,,0.0,,,1527978965.776,,,,344556.625,170716.171875,1458.510009765625
1527978975.767,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477364A58>,,0.0,,,1527978975.767,,,,344556.625,170716.171875,1458.510009765625
1527978985.77,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739BB00>,,0.0,,,1527978985.77,,,,344556.625,170716.171875,1458.510009765625
1527978995.781,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD8D0>,,0.0,,,1527978995.781,,,,344556.625,170716.171875,1458.510009765625
1527979005.772,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0E48>,,0.0,,,1527979005.772,,,,344556.625,170716.171875,1458.510009765625
1527979015.764,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480400>,,0.0,,,1527979015.764,,,,344556.625,170716.171875,1458.510009765625
1527979025.79,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470940>,,0.0,,,1527979025.79,,,,344556.625,170716.171875,1458.510009765625
1527979035.718,,,,,,,,,,,,,0.0,,,1527979035.718,,,<vehicleRide.vehicleRide object at 0x000001B477C4AB70>,932243.625,638286.0625,150088.0
1527979035.719,,,,,,<itemEquip.itemEquip object at 0x000001B476E49EB8>,,,,,,,0.0,,,1527979035.719,,,,932243.625,638286.0625,150088.0
1527979035.7191,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CA9B0>,,,,,,0.0,,,1527979035.7191,,,,932243.625,638286.0625,150088.0
1527979036.692,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FE10>,,0.0,,,1527979036.692,,,,932243.625,638286.0625,150088.0
1527979046.311,,10.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E320>,,0.0,,,1527979046.311,,,,808367.6875,575710.1875,150088.0
1527979056.31,,20.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773657F0>,,0.0,,,1527979056.31,,,,679775.625,510752.0625,150088.0
1527979064.901,,,,,,,,,,,,,0.0,,,1527979064.901,,<vehicleLeave.vehicleLeave object at 0x000001B4777BB5F8>,,568086.0,454332.09375,150088.0
1527979064.907,,,,,,,,,,,,,0.0,,,1527979064.907,,,<vehicleRide.vehicleRide object at 0x000001B477B60D30>,569789.8125,453682.15625,150015.78125
1527979066.309,,30.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456CC0>,,0.0,,,1527979066.309,,,,565745.0,451726.53125,147562.765625
1527979076.315,,40.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441080>,,0.0,,,1527979076.315,,,,553236.1875,453261.90625,99074.8359375
1527979086.353,,49.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779286A0>,,0.0,,,1527979086.353,,,,575256.375,467474.65625,55923.92578125
1527979096.305,,59.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792DB70>,,0.0,,,1527979096.305,,,,591115.5625,477234.125,20756.421875
1527979106.351,,69.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779331D0>,,0.0,,,1527979106.351,,,,603925.625,482884.625,3241.22265625
1527979108.561,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB0550>,,,,,0.0,,,1527979108.561,,,,604211.125,481153.65625,1553.542236328125
1527979108.5611,,,,,,,,,,,,,0.0,,,1527979108.5611,,<vehicleLeave.vehicleLeave object at 0x000001B4777E6128>,,604211.125,481153.65625,1553.542236328125
1527979112.726,,,,,,<itemEquip.itemEquip object at 0x000001B476E606D8>,,,,,,,0.0,,,1527979112.726,,,,603406.875,480765.0625,1026.1500244140625
1527979112.727,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DCE80>,,,,,,0.0,,,1527979112.727,,,,603406.875,480765.0625,1026.1500244140625
1527979113.065,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DC128>,,,,,,0.0,,,1527979113.065,,,,603406.625,480764.1875,1026.1500244140625
1527979113.372,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DC080>,,,,,,0.0,,,1527979113.372,,,,603406.625,480764.1875,1026.1500244140625
