,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978972.315,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477355B70>,,0.0,,,1527978972.315,,,,561154.6875,128414.59375,25676.900390625
1527978982.324,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47737E860>,,0.0,,,1527978982.324,,,,561154.6875,128414.59375,25676.900390625
1527978992.292,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477744D30>,,0.0,,,1527978992.292,,,,561154.6875,128414.59375,25676.900390625
1527979002.363,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B02E8>,,0.0,,,1527979002.363,,,,561300.1875,127103.8203125,25824.19921875
1527979012.299,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499898>,,0.0,,,1527979012.299,,,,561834.1875,127586.578125,25676.869140625
1527979022.3,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480DD8>,,0.0,,,1527979022.3,,,,565245.0625,122920.9609375,25670.6796875
1527979032.334,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F320>,,0.0,,,1527979032.334,,,,568443.625,120389.65625,25668.939453125
1527979035.765,,,,,,<itemEquip.itemEquip object at 0x000001B476E51BE0>,,,,,,,0.0,,,1527979035.765,,,,932243.625,638286.0625,150088.0
1527979035.7651,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF4E0>,,,,,,0.0,,,1527979035.7651,,,,932243.625,638286.0625,150088.0
1527979035.7652001,,,,,,,,,,,,,0.0,,,1527979035.7652001,,,<vehicleRide.vehicleRide object at 0x000001B4778736A0>,932243.625,638286.0625,150088.0
1527979042.831,,7.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A7F0>,,0.0,,,1527979042.831,,,,855236.6875,599386.0,150088.0
1527979052.828,,17.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736ECC0>,,0.0,,,1527979052.828,,,,723984.5,533084.125,150088.0
1527979062.82,,27.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365080>,,0.0,,,1527979062.82,,,,595835.0625,468349.5,150088.0
1527979072.85,,36.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774416A0>,,0.0,,,1527979072.85,,,,467227.125,403383.28125,150088.0
1527979082.859,,46.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742FB70>,,0.0,,,1527979082.859,,,,337794.71875,338000.59375,150088.0
1527979089.777,,,,,,,,,,,,,0.0,,,1527979089.777,,<vehicleLeave.vehicleLeave object at 0x000001B4777D2B38>,,249244.515625,293269.5,150088.0
1527979089.781,,,,,,,,,,,,,0.0,,,1527979089.781,,,<vehicleRide.vehicleRide object at 0x000001B477B7B240>,248869.453125,294410.46875,150015.78125
1527979092.834,,56.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779281D0>,,0.0,,,1527979092.834,,,,240904.71875,293937.25,143104.6875
1527979102.902,,65.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933550>,,0.0,,,1527979102.902,,,,216973.03125,319155.78125,107908.3515625
1527979112.843,,75.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936A20>,,0.0,,,1527979112.843,,,,197073.046875,347544.28125,73149.9140625
1527979122.873,,84.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793CEF0>,,0.0,,,1527979122.873,,,,177115.1875,376347.0,38030.296875
1527979132.868,,94.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946400>,,0.0,,,1527979132.868,,,,166269.9375,392231.40625,17173.8515625
1527979142.891,,104.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794C828>,,0.0,,,1527979142.891,,,,159687.703125,408854.1875,5656.38916015625
1527979148.612,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FC60B8>,,,,,0.0,,,1527979148.612,,,,158552.0625,412815.28125,3279.305908203125
1527979148.6121,,,,,,,,,,,,,0.0,,,1527979148.6121,,<vehicleLeave.vehicleLeave object at 0x000001B477BEAAC8>,,158552.0625,412815.28125,3279.305908203125
1527979151.973,,,,,,<itemEquip.itemEquip object at 0x000001B476E774A8>,,,,,,,0.0,,,1527979151.973,,,,157730.65625,412858.46875,2857.56982421875
1527979151.974,,,,,,,<itemPickup.itemPickup object at 0x000001B477117B70>,,,,,,0.0,,,1527979151.974,,,,157730.65625,412858.46875,2857.56982421875
1527979152.863,,113.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477951BA8>,,0.0,,,1527979152.863,,,,157794.578125,413002.9375,2857.56982421875
1527979154.1,,,,,,<itemEquip.itemEquip object at 0x000001B476E77668>,,,,,,,0.0,,,1527979154.1,,,,157921.703125,413527.90625,2857.56982421875
1527979154.1000998,,,,,,,<itemPickup.itemPickup object at 0x000001B47711C5C0>,,,,,,0.0,,,1527979154.1000998,,,,157921.703125,413527.90625,2857.56982421875
1527979154.564,,,,,,,<itemPickup.itemPickup object at 0x000001B47711C710>,,,,,,0.0,,,1527979154.564,,,,157882.046875,413496.03125,2857.56982421875
1527979155.092,,,,,,,<itemPickup.itemPickup object at 0x000001B47711CA20>,,,,,,0.0,,,1527979155.092,,,,157882.21875,413496.125,2857.56982421875
