,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978972.97,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477359AC8>,,0.0,,,1527978972.97,,,,344019.5,170771.734375,1471.9642333984375
1527978982.951,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47737E320>,,0.0,,,1527978982.951,,,,344019.5,170771.734375,1471.9599609375
1527978992.98,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477744F60>,,0.0,,,1527978992.98,,,,344019.5,170771.734375,1471.9599609375
1527979002.972,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0518>,,0.0,,,1527979002.972,,,,344019.5,170771.734375,1471.9599609375
1527979012.954,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499AC8>,,0.0,,,1527979012.954,,,,344019.5,170771.734375,1471.9599609375
1527979022.997,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480198>,,0.0,,,1527979022.997,,,,344019.5,170771.734375,1471.9599609375
1527979032.993,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F518>,,0.0,,,1527979032.993,,,,344019.5,170771.734375,1471.9599609375
1527979035.77,,,,,,<itemEquip.itemEquip object at 0x000001B476E51D30>,,,,,,,0.0,,,1527979035.77,,,,932243.625,638286.0625,150088.0
1527979035.7700999,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF630>,,,,,,0.0,,,1527979035.7700999,,,,932243.625,638286.0625,150088.0
1527979035.7702,,,,,,,,,,,,,0.0,,,1527979035.7702,,,<vehicleRide.vehicleRide object at 0x000001B4778737F0>,932243.625,638286.0625,150088.0
1527979043.501,,7.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A9E8>,,0.0,,,1527979043.501,,,,845540.375,594488.0,150088.0
1527979053.494,,17.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736EEB8>,,0.0,,,1527979053.494,,,,714481.0,528283.4375,150088.0
1527979063.477,,27.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774563C8>,,0.0,,,1527979063.477,,,,587004.125,463888.53125,150088.0
1527979071.671,,,,,,,,,,,,,0.0,,,1527979071.671,,<vehicleLeave.vehicleLeave object at 0x000001B4777BB9E8>,,482026.0,410858.90625,150088.0
1527979071.679,,,,,,,,,,,,,0.0,,,1527979071.679,,,<vehicleRide.vehicleRide object at 0x000001B477B60080>,483268.71875,411271.96875,150015.78125
1527979073.487,,37.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441898>,,0.0,,,1527979073.487,,,,477753.75,408695.65625,145896.625
1527979083.542,,47.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742FD68>,,0.0,,,1527979083.542,,,,470516.21875,387420.3125,103148.8359375
1527979093.515,,56.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D278>,,0.0,,,1527979093.515,,,,490125.21875,361118.0625,64753.9453125
1527979103.505,,66.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933748>,,0.0,,,1527979103.505,,,,491869.09375,355768.25,16061.5927734375
1527979111.855,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB0978>,,,,,0.0,,,1527979111.855,,,,488316.125,346416.0625,2906.588623046875
1527979111.8551,,,,,,,,,,,,,0.0,,,1527979111.8551,,<vehicleLeave.vehicleLeave object at 0x000001B477807208>,,488316.125,346416.0625,2906.588623046875
1527979113.569,,76.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936C18>,,0.0,,,1527979113.569,,,,488674.28125,346380.71875,2422.64990234375
1527979119.207,,,,,,,<itemPickup.itemPickup object at 0x000001B4770E52B0>,,,,,,0.0,,,1527979119.207,,,,487906.78125,346419.84375,1980.5299072265625
1527979119.859,,,,,,,<itemPickup.itemPickup object at 0x000001B4770E56A0>,,,,,,0.0,,,1527979119.859,,,,487902.28125,346424.1875,1980.5299072265625
1527979123.55,,85.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C160>,,0.0,,,1527979123.55,,,,487233.375,346506.625,1980.5299072265625
1527979128.405,,,,,,<itemEquip.itemEquip object at 0x000001B476E675F8>,,,,,,,0.0,,,1527979128.405,,,,487837.09375,345793.78125,1980.5299072265625
1527979128.4050999,,,,,,,<itemPickup.itemPickup object at 0x000001B4770F1A20>,,,,,,0.0,,,1527979128.4050999,,,,487837.09375,345793.78125,1980.5299072265625
1527979129.041,,,,,,,<itemPickup.itemPickup object at 0x000001B4770F1E80>,,,,,,0.0,,,1527979129.041,,,,487830.875,345754.625,1980.5299072265625
1527979129.983,,,,,,<itemEquip.itemEquip object at 0x000001B476E679E8>,,,,,,,0.0,,,1527979129.983,,,,487830.875,345754.625,1980.5299072265625
1527979129.9831,,,,,,,<itemPickup.itemPickup object at 0x000001B4770F75C0>,,,,,,0.0,,,1527979129.9831,,,,487830.875,345754.625,1980.5299072265625
1527979130.629,,,,,,,<itemPickup.itemPickup object at 0x000001B4770F78D0>,,,,,,0.0,,,1527979130.629,,,,487830.875,345754.625,1980.5299072265625
1527979131.746,,,,,<itemDrop.itemDrop object at 0x000001B476D8ABA8>,,,,,,,,0.0,,,1527979131.746,,,,487830.875,345754.625,1980.5299072265625
1527979132.166,,,<itemAttach.itemAttach object at 0x000001B476BAD748>,,,,,,,,,,0.0,,,1527979132.166,,,,487836.28125,345761.78125,1980.5299072265625
