,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978954.607,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47732C9B0>,,0.0,,,1527978954.607,,,,797241.125,19406.599609375,528.5
1527978964.6,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477338320>,,0.0,,,1527978964.6,,,,797241.125,19406.599609375,528.5
1527978974.662,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477359438>,,0.0,,,1527978974.662,,,,797241.125,19406.599609375,528.5
1527978984.584,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BA358>,,0.0,,,1527978984.584,,,,797241.125,19406.599609375,528.5
1527978994.589,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD400>,,0.0,,,1527978994.589,,,,797241.125,19406.599609375,528.5
1527979004.623,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0978>,,0.0,,,1527979004.623,,,,797241.125,19406.599609375,528.5
1527979014.61,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499EF0>,,0.0,,,1527979014.61,,,,797241.125,19406.599609375,528.5
1527979024.618,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470470>,,0.0,,,1527979024.618,,,,797241.125,19406.599609375,528.5
1527979034.611,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F940>,,0.0,,,1527979034.611,,,,797241.125,19406.599609375,528.5
1527979035.806,,,,,,<itemEquip.itemEquip object at 0x000001B476E55748>,,,,,,,0.0,,,1527979035.806,,,,932243.625,638286.0625,150088.0
1527979035.8061,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CFEF0>,,,,,,0.0,,,1527979035.8061,,,,932243.625,638286.0625,150088.0
1527979035.8062,,,,,,,,,,,,,0.0,,,1527979035.8062,,,<vehicleRide.vehicleRide object at 0x000001B477873128>,932243.625,638286.0625,150088.0
1527979045.14,,9.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738AE10>,,0.0,,,1527979045.14,,,,821686.5,582438.1875,150088.0
1527979055.129,,19.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365320>,,0.0,,,1527979055.129,,,,694247.625,518062.5625,150088.0
1527979065.127,,29.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774567F0>,,0.0,,,1527979065.127,,,,565519.25,453035.46875,150088.0
1527979075.152,,39.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441CC0>,,0.0,,,1527979075.152,,,,437145.21875,388187.40625,150088.0
1527979084.649,,,,,,,,,,,,,0.0,,,1527979084.649,,<vehicleLeave.vehicleLeave object at 0x000001B4777D2908>,,314438.6875,326202.28125,150088.0
