,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978954.906,,-80.79200005531311,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D92A58>,,0.0,,,1527978954.906,Foot,,,,343994.21875,171258.375,1453.429931640625
1527978964.879,,-70.81900000572205,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D9C3C8>,,0.0,,,1527978964.879,Foot,,,,343994.21875,171258.375,1453.429931640625
1527978974.907,,-60.79099988937378,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DC60F0>,,0.0,,,1527978974.907,Foot,,,,343994.21875,171258.375,1453.429931640625
1527978984.945,,-50.753000020980835,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DFCCC0>,,0.0,,,1527978984.945,Foot,,,,343994.21875,171258.375,1453.429931640625
1527978994.894,,-40.80399990081787,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AAF60>,,0.0,,,1527978994.894,Foot,,,,343994.21875,171258.375,1453.429931640625
1527979004.893,,-30.805000066757202,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094304E0>,,0.0,,,1527979004.893,Foot,,,,343994.21875,171258.375,1453.429931640625
1527979014.905,,-20.792999982833862,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009436A90>,,0.0,,,1527979014.905,Foot,,,,343994.21875,171258.375,1453.429931640625
1527979024.883,,-10.815000057220459,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943BF60>,,0.0,,,1527979024.883,Foot,,,,343994.21875,171258.375,1453.429931640625
1527979034.93,,-0.7679998874664307,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094444A8>,,0.0,,,1527979034.93,Foot,,,,343994.21875,171258.375,1453.429931640625
1527979035.71,,0.012000083923339844,1,,,,,,,,,,,,0.0,,,1527979035.71,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009343390>,932243.625,638286.0625,150088.0
1527979035.711,,0.013000011444091797,1,,,,,<itemEquip.itemEquip object at 0x00000160088D6358>,,,,,,,0.0,,,1527979035.711,DummyTransportAircraft_C,,,,932243.625,638286.0625,150088.0
1527979035.7110999,,0.013099908828735352,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B56278>,,,,,,0.0,,,1527979035.7110999,DummyTransportAircraft_C,,,,932243.625,638286.0625,150088.0
1527979045.442,,9.74399995803833,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944A9B0>,,0.0,,,1527979045.442,DummyTransportAircraft_C,,,,818314.6875,580734.9375,150088.0
1527979055.413,,19.71500015258789,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944FE48>,,0.0,,,1527979055.413,DummyTransportAircraft_C,,,,690778.8125,516310.3125,150088.0
1527979065.419,,29.72099995613098,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459320>,,0.0,,,1527979065.419,DummyTransportAircraft_C,,,,561597.375,451054.40625,150088.0
1527979066.493,,30.795000076293945,1,,,,,,,,,,,,0.0,,,1527979066.493,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097E2208>,,548211.8125,444292.6875,150088.0
1527979066.499,,30.801000118255615,1,,,,,,,,,,,,0.0,,,1527979066.499,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x000001600928D940>,546792.625,444121.625,150015.78125
1527979075.423,,39.72500014305115,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600945D7F0>,,0.0,,,1527979075.423,ParachutePlayer_C,,,,548876.0625,416477.125,121005.40625
1527979085.482,,49.78400015830994,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009461D30>,,0.0,,,1527979085.482,ParachutePlayer_C,,,,569028.375,388868.59375,81855.7578125
1527979095.45,,59.75200009346008,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946B208>,,0.0,,,1527979095.45,ParachutePlayer_C,,,,574038.8125,384103.59375,22400.693359375
1527979105.432,,69.73399996757507,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094706D8>,,0.0,,,1527979105.432,ParachutePlayer_C,,,,578443.4375,379428.03125,4372.78076171875
1527979107.955,,72.25699996948242,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A37D30>,,,,,0.0,,,1527979107.955,ParachutePlayer_C,,,,576666.125,380052.90625,1966.754638671875
1527979107.956,,72.25800013542175,0,,,,,,,,,,,,0.0,,,1527979107.956,Foot,,<vehicleLeave.vehicleLeave object at 0x000001600929D898>,,576666.125,380052.90625,1966.754638671875
1527979115.474,,79.77600002288818,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009473B70>,,0.0,,,1527979115.474,Foot,,,,577699.75,382787.71875,2103.97998046875
1527979117.731,,82.0329999923706,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000160097A7748>,0.0,,,1527979117.731,Foot,,,,578024.75,383256.0625,2066.320068359375
1527979122.266,,86.5680000782013,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F5E080>,,,,0.0,,,1527979122.266,Foot,,,,577989.125,383623.59375,2206.780029296875
1527979122.474,,86.77600002288818,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x0000016009850470>,0.0,,,1527979122.474,Foot,,,,577999.3125,383590.71875,2143.169921875
1527979122.707,,87.0090000629425,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F641D0>,,,,0.0,,,1527979122.707,Foot,,,,578008.5625,383580.21875,2100.2900390625
1527979122.98,,87.28200006484985,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x0000016009850630>,0.0,,,1527979122.98,Foot,,,,578014.6875,383576.21875,2115.329833984375
1527979125.317,,89.61899995803833,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F64320>,,,,0.0,,,1527979125.317,Foot,,,,577881.1875,383848.78125,2203.579833984375
1527979125.32,,89.62199997901917,0,,,,,,,,,<playerKill.playerKill object at 0x0000016008609DD8>,,,0.0,,,1527979125.32,Foot,,,,577881.1875,383848.78125,2203.579833984375
1527979125.506,,89.80800008773804,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947B198>,,0.0,,,1527979125.506,Foot,,,,577911.3125,383878.90625,2167.510009765625
1527979135.453,,99.75500011444092,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009484588>,,0.0,,,1527979135.453,Foot,,,,576689.1875,388044.3125,2198.989990234375
1527979145.441,,109.74300003051758,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009488940>,,0.0,,,1527979145.441,Foot,,,,572389.4375,385516.59375,1450.0499267578125
1527979151.555,,115.85700011253357,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x0000016009858C50>,0.0,,,1527979151.555,Foot,,,,574033.6875,382634.34375,1455.5699462890625
1527979155.443,,119.74500012397766,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600948EC88>,,0.0,,,1527979155.443,Foot,,,,574033.6875,382634.34375,1455.5699462890625
