,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978980.051,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477376748>,,0.0,,,1527978980.051,,,,343812.0625,170676.5625,1453.43310546875
1527978990.062,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774B11D0>,,0.0,,,1527978990.062,,,,343812.0625,170676.5625,1453.429931640625
1527979000.056,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD198>,,0.0,,,1527979000.056,,,,343812.0625,170676.5625,1453.429931640625
1527979010.069,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774995F8>,,0.0,,,1527979010.069,,,,343812.0625,170676.5625,1453.429931640625
1527979020.072,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480B70>,,0.0,,,1527979020.072,,,,343812.0625,170676.5625,1453.429931640625
1527979030.053,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470160>,,0.0,,,1527979030.053,,,,343812.0625,170676.5625,1453.429931640625
1527979035.785,,,,,,<itemEquip.itemEquip object at 0x000001B476E551D0>,,,,,,,0.0,,,1527979035.785,,,,932243.625,638286.0625,150088.0
1527979035.7851,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF9B0>,,,,,,0.0,,,1527979035.7851,,,,932243.625,638286.0625,150088.0
1527979035.7852,,,,,,,,,,,,,0.0,,,1527979035.7852,,,<vehicleRide.vehicleRide object at 0x000001B477873B70>,932243.625,638286.0625,150088.0
1527979040.563,,5.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A5C0>,,0.0,,,1527979040.563,,,,884321.5625,614078.25,150088.0
1527979050.584,,14.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736EA90>,,0.0,,,1527979050.584,,,,754765.1875,548632.875,150088.0
1527979060.576,,24.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365F60>,,0.0,,,1527979060.576,,,,625502.1875,483335.78125,150088.0
1527979070.572,,34.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441470>,,0.0,,,1527979070.572,,,,496129.8125,417983.40625,150088.0
1527979080.592,,44.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F940>,,0.0,,,1527979080.592,,,,366607.71875,352555.40625,150088.0
1527979090.615,,54.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928E10>,,0.0,,,1527979090.615,,,,237906.28125,287542.0,150088.0
1527979092.286,,,,,,,,,,,,,0.0,,,1527979092.286,,<vehicleLeave.vehicleLeave object at 0x000001B4777D2EB8>,,215969.59375,276460.6875,150088.0
1527979092.289,,,,,,,,,,,,,0.0,,,1527979092.289,,,<vehicleRide.vehicleRide object at 0x000001B477B7B470>,215107.859375,276723.75,150015.78125
1527979100.615,,63.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933320>,,0.0,,,1527979100.615,,,,203878.578125,271463.9375,109393.75
1527979110.636,,73.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779367F0>,,0.0,,,1527979110.636,,,,180327.5,274707.71875,61601.140625
1527979120.623,,82.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793CCC0>,,0.0,,,1527979120.623,,,,176350.609375,275389.875,13593.4912109375
1527979130.247,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FC1A20>,,,,,0.0,,,1527979130.247,,,,164172.234375,276364.3125,1256.154541015625
1527979130.2470999,,,,,,,,,,,,,0.0,,,1527979130.2470999,,<vehicleLeave.vehicleLeave object at 0x000001B477BEA3C8>,,164172.234375,276364.3125,1256.154541015625
1527979130.63,,92.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477941080>,,0.0,,,1527979130.63,,,,164118.0,276353.0625,1264.3900146484375
1527979134.922,,,,,,<itemEquip.itemEquip object at 0x000001B476E67048>,,,,,,,0.0,,,1527979134.922,,,,163169.859375,276756.5,1159.0599365234375
1527979134.923,,,,,,,<itemPickup.itemPickup object at 0x000001B4770FDE10>,,,,,,0.0,,,1527979134.923,,,,163169.859375,276756.5,1159.0599365234375
1527979139.142,,,,,,<itemEquip.itemEquip object at 0x000001B476E6CA58>,,,,,,,0.0,,,1527979139.142,,,,163763.65625,277391.9375,1159.0599365234375
1527979139.143,,,,,,,<itemPickup.itemPickup object at 0x000001B477105630>,,,,,,0.0,,,1527979139.143,,,,163763.65625,277391.9375,1159.0599365234375
1527979139.502,,,,,,,<itemPickup.itemPickup object at 0x000001B4771058D0>,,,,,,0.0,,,1527979139.502,,,,163759.0,277388.3125,1159.0599365234375
1527979139.718,,,,,,,<itemPickup.itemPickup object at 0x000001B477105B00>,,,,,,0.0,,,1527979139.718,,,,163759.0,277388.3125,1159.0599365234375
1527979140.035,,,,,,,<itemPickup.itemPickup object at 0x000001B477105DA0>,,,,,,0.0,,,1527979140.035,,,,163759.0,277388.3125,1159.0599365234375
1527979140.606,,101.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794C5F8>,,0.0,,,1527979140.606,,,,163774.203125,277394.75,1159.0599365234375
1527979148.493,,,,,<itemDrop.itemDrop object at 0x000001B476D8AEB8>,,,,,,,,0.0,,,1527979148.493,,,,164201.015625,276878.65625,1159.0599365234375
