,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978957.913,,-77.78499984741211,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D951D0>,,0.0,,,1527978957.913,Foot,,,,561601.125,129106.125,25804.529296875
1527978967.913,,-67.78499984741211,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DA34E0>,,0.0,,,1527978967.913,Foot,,,,561347.0,129221.1328125,25908.03125
1527978977.954,,-57.74399995803833,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DD2390>,,0.0,,,1527978977.954,Foot,,,,561376.4375,129241.8046875,25914.529296875
1527978987.943,,-47.75499987602234,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008F2E198>,,0.0,,,1527978987.943,Foot,,,,561759.6875,129258.1875,26081.369140625
1527978997.918,,-37.77999997138977,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942D748>,,0.0,,,1527978997.918,Foot,,,,561295.9375,129235.4296875,25914.529296875
1527979002.835,,-32.86299991607666,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F4C080>,,,,0.0,,,1527979002.835,Foot,,,,561897.9375,129130.5234375,25676.87890625
1527979007.911,,-27.786999940872192,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009430CC0>,,0.0,,,1527979007.911,Foot,,,,562680.0625,128251.6484375,25676.87890625
1527979016.045,,-19.652999877929688,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F51E48>,,,,0.0,,,1527979016.045,Foot,,,,560495.1875,126245.265625,25676.888671875
1527979017.316,,-18.381999969482422,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F51EF0>,,,,0.0,,,1527979017.316,Foot,,,,560329.5625,126362.265625,25676.888671875
1527979017.943,,-17.75499987602234,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943B278>,,0.0,,,1527979017.943,Foot,,,,560336.375,126360.796875,25676.888671875
1527979018.285,,-17.412999868392944,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F51160>,,,,0.0,,,1527979018.285,Foot,,,,560346.9375,126358.515625,25676.888671875
1527979027.91,,-7.787999868392944,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943F7B8>,,0.0,,,1527979027.91,Foot,,,,559644.25,125788.375,25650.419921875
1527979035.73,,0.032000064849853516,1,,,,,<itemEquip.itemEquip object at 0x00000160088D6400>,,,,,,,0.0,,,1527979035.73,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7301,,0.03209996223449707,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B56748>,,,,,,0.0,,,1527979035.7301,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7302,,0.03220009803771973,1,,,,,,,,,,,,0.0,,,1527979035.7302,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009343860>,932243.625,638286.0625,150088.0
1527979038.445,,2.746999979019165,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009444C88>,,0.0,,,1527979038.445,DummyTransportAircraft_C,,,,909892.125,626995.1875,150088.0
1527979048.447,,12.749000072479248,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944A048>,,0.0,,,1527979048.447,DummyTransportAircraft_C,,,,782455.3125,562620.5625,150088.0
1527979055.297,,19.598999977111816,1,,,,,,,,,,,,0.0,,,1527979055.297,Foot,,<vehicleLeave.vehicleLeave object at 0x0000016008D864A8>,,692228.6875,517042.6875,150088.0
1527979055.303,,19.605000019073486,1,,,,,,,,,,,,0.0,,,1527979055.303,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x0000016009276BE0>,693609.5,516617.375,150015.78125
1527979058.447,,22.749000072479248,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009452668>,,0.0,,,1527979058.447,ParachutePlayer_C,,,,687168.4375,508938.84375,141751.03125
1527979068.461,,32.76300001144409,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459B38>,,0.0,,,1527979068.461,ParachutePlayer_C,,,,686148.1875,474307.0,106709.9765625
1527979078.462,,42.763999938964844,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600945D198>,,0.0,,,1527979078.462,ParachutePlayer_C,,,,690022.1875,439619.03125,71754.2109375
1527979088.496,,52.79800009727478,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009466518>,,0.0,,,1527979088.496,ParachutePlayer_C,,,,687715.0625,404946.0625,36601.87109375
1527979098.482,,62.78400015830994,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946B9E8>,,0.0,,,1527979098.482,ParachutePlayer_C,,,,687103.75,388584.1875,19420.373046875
1527979108.461,,72.76300001144409,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009470EB8>,,0.0,,,1527979108.461,ParachutePlayer_C,,,,688513.875,371465.25,6808.60595703125
1527979114.057,,78.35899996757507,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A3B128>,,,,,0.0,,,1527979114.057,ParachutePlayer_C,,,,688478.5625,365048.34375,1176.1376953125
1527979114.058,,78.3600001335144,0,,,,,,,,,,,,0.0,,,1527979114.058,Foot,,<vehicleLeave.vehicleLeave object at 0x000001600929D048>,,688478.5625,365048.34375,1176.1376953125
1527979118.483,,82.78500008583069,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947B3C8>,,0.0,,,1527979118.483,Foot,,,,688485.5625,362672.4375,1137.469970703125
1527979128.473,,92.77500009536743,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947F898>,,0.0,,,1527979128.473,Foot,,,,684816.5625,357750.34375,1263.6300048828125
1527979138.5,,102.80200004577637,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009484CF8>,,0.0,,,1527979138.5,Foot,,,,681133.8125,352958.78125,2102.1298828125
1527979144.581,,108.88300013542175,0,Item_Attach_Weapon_Magazine_Extended_Medium_C,,,,,<itemPickup.itemPickup object at 0x0000016008B99748>,,,,,,0.0,,,1527979144.581,Foot,,,,680808.875,352354.59375,2204.25
1527979145.38,,109.68200016021729,0,Item_Attach_Weapon_Stock_AR_Composite_C,,,,,<itemPickup.itemPickup object at 0x0000016008B99B38>,,,,,,0.0,,,1527979145.38,Foot,,,,680807.25,352353.59375,2204.25
1527979148.445,,112.74699997901917,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009488128>,,0.0,,,1527979148.445,Foot,,,,681025.8125,351316.40625,2250.780029296875
1527979158.496,,122.79800009727478,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009493390>,,0.0,,,1527979158.496,Foot,,,,683691.8125,345761.03125,2627.760009765625
1527979168.456,,132.75800013542175,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094965C0>,,0.0,,,1527979168.456,Foot,,,,684929.25,340648.125,2469.75
1527979178.504,,142.80599999427795,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600949D7F0>,,0.0,,,1527979178.504,Foot,,,,687067.0,335727.90625,1856.1099853515625
1527979188.495,,152.79699993133545,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A1940>,,0.0,,,1527979188.495,Foot,,,,683174.0,331428.9375,3053.889892578125
1527979198.473,,162.77500009536743,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A6A20>,,0.0,,,1527979198.473,Foot,,,,680709.6875,328072.5,3269.39990234375
1527979208.479,,172.7810001373291,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094AAA90>,,0.0,,,1527979208.479,Foot,,,,676466.6875,323592.75,3249.300048828125
1527979218.452,,182.7539999485016,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094B0AC8>,,0.0,,,1527979218.452,Foot,,,,671897.75,319228.375,3070.68994140625
1527979228.446,,192.7480001449585,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094B5A90>,,0.0,,,1527979228.446,Foot,,,,668004.5625,314263.0625,3388.2998046875
1527979238.469,,202.77100014686584,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094B89B0>,,0.0,,,1527979238.469,Foot,,,,666917.4375,310040.65625,3554.14990234375
1527979238.743,,203.04500007629395,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008C0A128>,,,,,,0.0,,,1527979238.743,Foot,,,,666978.0,310030.0,3554.14990234375
1527979239.363,,203.66499996185303,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008C0F2E8>,,,,,,0.0,,,1527979239.363,Foot,,,,666984.3125,310028.875,3554.14990234375
1527979239.985,,204.2869999408722,0,,,,,<itemEquip.itemEquip object at 0x000001600891DC18>,,,,,,,0.0,,,1527979239.985,Foot,,,,666984.3125,310028.875,3554.14990234375
1527979239.986,,204.28800010681152,0,Item_Weapon_M9_C,,,,,<itemPickup.itemPickup object at 0x0000016008C0F5F8>,,,,,,0.0,,,1527979239.986,Foot,,,,666984.3125,310028.875,3554.14990234375
1527979240.559,,204.86100006103516,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008C0F7B8>,,,,,,0.0,,,1527979240.559,Foot,,,,666984.3125,310028.875,3554.14990234375
1527979245.937,,210.239000082016,0,Item_Attach_Weapon_Muzzle_Suppressor_Small_C,,,,,<itemPickup.itemPickup object at 0x0000016008C14438>,,,,,,0.0,,,1527979245.937,Foot,,,,666300.1875,309300.3125,3903.159912109375
