,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978962.699,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477338A20>,,0.0,,,1527978962.699,,,,795727.5,19637.099609375,528.5299682617188
1527978972.72,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773559E8>,,0.0,,,1527978972.72,,,,796488.375,18464.119140625,528.5299682617188
1527978982.698,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773847B8>,,0.0,,,1527978982.698,,,,797660.375,19959.73046875,528.5299682617188
1527978992.707,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477744EB8>,,0.0,,,1527978992.707,,,,797660.375,19959.73046875,528.5299682617188
1527979002.687,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0470>,,0.0,,,1527979002.687,,,,797660.375,19959.73046875,528.5299682617188
1527979012.71,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499A20>,,0.0,,,1527979012.71,,,,797660.375,19959.73046875,528.5299682617188
1527979022.688,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480F60>,,0.0,,,1527979022.688,,,,797660.375,19959.73046875,528.5299682617188
1527979032.743,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F470>,,0.0,,,1527979032.743,,,,797660.375,19959.73046875,528.5299682617188
1527979035.747,,,,,,<itemEquip.itemEquip object at 0x000001B476E516A0>,,,,,,,0.0,,,1527979035.747,,,,932243.625,638286.0625,150088.0
1527979035.7470999,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CA550>,,,,,,0.0,,,1527979035.7470999,,,,932243.625,638286.0625,150088.0
1527979035.7472,,,,,,,,,,,,,0.0,,,1527979035.7472,,,<vehicleRide.vehicleRide object at 0x000001B477873240>,932243.625,638286.0625,150088.0
1527979043.233,,7.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A940>,,0.0,,,1527979043.233,,,,849462.8125,596469.4375,150088.015625
1527979053.225,,17.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736EE10>,,0.0,,,1527979053.225,,,,718291.375,530208.1875,150088.0
1527979063.212,,27.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456320>,,0.0,,,1527979063.212,,,,590594.9375,465702.40625,150088.0
1527979073.223,,37.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774417F0>,,0.0,,,1527979073.223,,,,461941.8125,400713.375,150088.0
1527979074.426,,,,,,,,,,,,,0.0,,,1527979074.426,,<vehicleLeave.vehicleLeave object at 0x000001B4777BBCF8>,,446405.3125,392865.125,150088.0
1527979074.431,,,,,,,,,,,,,0.0,,,1527979074.431,,,<vehicleRide.vehicleRide object at 0x000001B477B6B470>,446406.40625,394216.09375,150015.78125
1527979083.275,,46.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742FCC0>,,0.0,,,1527979083.275,,,,446773.96875,366241.03125,121221.6015625
1527979093.255,,56.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928080>,,0.0,,,1527979093.255,,,,462385.46875,335108.9375,86303.6640625
1527979103.277,,66.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779336A0>,,0.0,,,1527979103.277,,,,479115.71875,304445.90625,51255.359375
1527979113.255,,75.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936B70>,,0.0,,,1527979113.255,,,,488634.09375,288879.3125,13238.46484375
1527979120.612,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB9630>,,,,,0.0,,,1527979120.612,,,,494611.5625,281594.34375,1783.3046875
1527979120.6121,,,,,,,,,,,,,0.0,,,1527979120.6121,,<vehicleLeave.vehicleLeave object at 0x000001B477807E48>,,494611.5625,281594.34375,1783.3046875
1527979123.247,,85.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C048>,,0.0,,,1527979123.247,,,,495611.90625,281036.0625,1631.5599365234375
1527979133.174,,,,,,<itemEquip.itemEquip object at 0x000001B476E67F28>,,,,,,,0.0,,,1527979133.174,,,,496492.0625,280133.625,1691.3099365234375
1527979133.175,,,,,,,<itemPickup.itemPickup object at 0x000001B4770FD6A0>,,,,,,0.0,,,1527979133.175,,,,496492.0625,280133.625,1691.3099365234375
1527979133.286,,94.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946550>,,0.0,,,1527979133.286,,,,496492.0625,280133.625,1691.3099365234375
1527979133.759,,,,,,,<itemPickup.itemPickup object at 0x000001B4770FDA20>,,,,,,0.0,,,1527979133.759,,,,496492.0,280133.4375,1691.3099365234375
1527979134.497,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D168D0>,0.0,,,1527979134.497,,,,496583.90625,280034.71875,1691.3099365234375
1527979134.72,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D16A90>,0.0,,,1527979134.72,,,,496643.34375,280021.71875,1663.3099365234375
1527979143.305,,104.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794C978>,,0.0,,,1527979143.305,,,,496643.34375,280021.71875,1663.3099365234375
1527979153.32,,114.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477951CF8>,,0.0,,,1527979153.32,,,,496643.34375,280021.71875,1663.3099365234375
1527979163.244,,123.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477957F98>,,0.0,,,1527979163.244,,,,496643.34375,280021.71875,1663.3099365234375
1527979173.242,,133.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477960048>,,0.0,,,1527979173.242,,,,496643.34375,280021.71875,1663.3099365234375
1527979183.249,,143.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477965400>,,0.0,,,1527979183.249,,,,496643.34375,280021.71875,1663.3099365234375
1527979193.243,,152.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477969550>,,0.0,,,1527979193.243,,,,496643.34375,280021.71875,1663.3099365234375
1527979194.745,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FD69E8>,,,,,0.0,,,1527979194.745,,,,496643.34375,280021.71875,1663.3099365234375
