,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978954.406,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47732C8D0>,,0.0,,,1527978954.406,,,,343851.34375,170876.28125,1512.97998046875
1527978964.387,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773385C0>,,0.0,,,1527978964.387,,,,343851.34375,170876.28125,1512.97998046875
1527978974.445,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47735CC18>,,0.0,,,1527978974.445,,,,343851.34375,170876.28125,1512.97998046875
1527978984.383,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477392278>,,0.0,,,1527978984.383,,,,343851.34375,170876.28125,1512.97998046875
1527978994.391,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD2E8>,,0.0,,,1527978994.391,,,,343851.34375,170876.28125,1512.97998046875
1527979004.39,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0898>,,0.0,,,1527979004.39,,,,343851.34375,170876.28125,1512.97998046875
1527979014.414,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499DD8>,,0.0,,,1527979014.414,,,,343851.34375,170876.28125,1512.97998046875
1527979024.415,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470320>,,0.0,,,1527979024.415,,,,343851.34375,170876.28125,1512.97998046875
1527979034.398,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F828>,,0.0,,,1527979034.398,,,,343851.34375,170876.28125,1512.97998046875
1527979035.702,,,,,,,,,,,,,0.0,,,1527979035.702,,,<vehicleRide.vehicleRide object at 0x000001B477C4A7F0>,932243.625,638286.0625,150088.0
1527979035.703,,,,,,<itemEquip.itemEquip object at 0x000001B476E49860>,,,,,,,0.0,,,1527979035.703,,,,932243.625,638286.0625,150088.0
1527979035.7031,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CA630>,,,,,,0.0,,,1527979035.7031,,,,932243.625,638286.0625,150088.0
1527979044.939,,9.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738AD30>,,0.0,,,1527979044.939,,,,823903.625,583558.1875,150088.0
1527979054.929,,19.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365208>,,0.0,,,1527979054.929,,,,696663.25,519282.78125,150088.0
1527979064.972,,29.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774566D8>,,0.0,,,1527979064.972,,,,567659.25,454116.53125,150088.0
1527979074.932,,38.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441BA8>,,0.0,,,1527979074.932,,,,440303.40625,389782.84375,150088.0
1527979084.022,,,,,,,,,,,,,0.0,,,1527979084.022,,<vehicleLeave.vehicleLeave object at 0x000001B4777D2898>,,323262.5625,330659.71875,150088.0
1527979084.027,,,,,,,,,,,,,0.0,,,1527979084.027,,,<vehicleRide.vehicleRide object at 0x000001B477B6B128>,322064.34375,330806.46875,150015.78125
1527979084.947,,48.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F128>,,0.0,,,1527979084.947,,,,319364.46875,330044.625,148745.578125
1527979094.95,,58.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D588>,,0.0,,,1527979094.95,,,,293138.03125,351122.90625,113862.859375
1527979104.948,,67.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933A90>,,0.0,,,1527979104.948,,,,273679.8125,380103.75,78874.1328125
1527979115.032,,77.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936F28>,,0.0,,,1527979115.032,,,,252256.53125,406763.40625,39421.92578125
1527979124.988,,86.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477941400>,,0.0,,,1527979124.988,,,,241016.9375,412702.0,8733.560546875
1527979131.07,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FC1CC0>,,,,,0.0,,,1527979131.07,,,,242448.875,418822.375,680.1533813476562
1527979131.0700998,,,,,,,,,,,,,0.0,,,1527979131.0700998,,<vehicleLeave.vehicleLeave object at 0x000001B477BEA518>,,242448.875,418822.375,680.1533813476562
1527979134.944,,96.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779468D0>,,0.0,,,1527979134.944,,,,240841.390625,418986.5,526.97998046875
1527979144.926,,106.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794CD68>,,0.0,,,1527979144.926,,,,237491.828125,418355.75,579.1499633789062
1527979145.904,,,,,,,<itemPickup.itemPickup object at 0x000001B477112320>,,,,,,0.0,,,1527979145.904,,,,237491.828125,418355.75,579.1499633789062
1527979146.429,,,,,,,<itemPickup.itemPickup object at 0x000001B477112550>,,,,,,0.0,,,1527979146.429,,,,237491.828125,418355.75,579.1499633789062
1527979147.017,,,,,,,<itemPickup.itemPickup object at 0x000001B477112710>,,,,,,0.0,,,1527979147.017,,,,237491.828125,418355.75,579.1499633789062
1527979147.64,,,,,,<itemEquip.itemEquip object at 0x000001B476E73C88>,,,,,,,0.0,,,1527979147.64,,,,237491.828125,418355.75,579.1499633789062
1527979147.6401,,,,,,,<itemPickup.itemPickup object at 0x000001B477112B00>,,,,,,0.0,,,1527979147.6401,,,,237491.828125,418355.75,579.1499633789062
1527979150.737,,,,,,<itemEquip.itemEquip object at 0x000001B476E77208>,,,,,,,0.0,,,1527979150.737,,,,237734.8125,418207.625,579.1499633789062
1527979150.738,,,,,,,<itemPickup.itemPickup object at 0x000001B477117780>,,,,,,0.0,,,1527979150.738,,,,237734.8125,418207.625,579.1499633789062
1527979154.963,,115.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477951128>,,0.0,,,1527979154.963,,,,238150.59375,419513.1875,579.1499633789062
1527979156.422,,,,,<itemDrop.itemDrop object at 0x000001B476D8F2B0>,,,,,,,,0.0,,,1527979156.422,,,,238266.0,419551.1875,579.1499633789062
1527979156.4220998,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FCAB38>,,,,,0.0,,,1527979156.4220998,,,,238266.0,419551.1875,579.1499633789062
1527979156.423,,,,,,<itemEquip.itemEquip object at 0x000001B476E77978>,,,,,,,0.0,,,1527979156.423,,,,238266.0,419551.1875,579.1499633789062
1527979156.4231,,,,,,,<itemPickup.itemPickup object at 0x000001B47711CEF0>,,,,,,0.0,,,1527979156.4231,,,,238266.0,419551.1875,579.1499633789062
1527979164.962,,125.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47795A3C8>,,0.0,,,1527979164.962,,,,237978.734375,419968.46875,576.0499877929688
1527979172.319,,,,,,,<itemPickup.itemPickup object at 0x000001B477131A90>,,,,,,0.0,,,1527979172.319,,,,235769.65625,419401.21875,584.7899780273438
1527979173.11,,,,,,,<itemPickup.itemPickup object at 0x000001B477131B70>,,,,,,0.0,,,1527979173.11,,,,235769.65625,419401.21875,584.7899780273438
1527979174.95,,135.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779605F8>,,0.0,,,1527979174.95,,,,236096.390625,419429.71875,528.4299926757812
1527979184.945,,144.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477965780>,,0.0,,,1527979184.945,,,,237617.25,421967.1875,586.1499633789062
1527979190.214,,,,,,<itemEquip.itemEquip object at 0x000001B476E867B8>,,,,,,,0.0,,,1527979190.214,,,,236951.609375,421343.375,586.1499633789062
