,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978962.362,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477338780>,,0.0,,,1527978962.362,,,,343773.9375,171183.65625,1475.25
1527978972.36,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477346160>,,0.0,,,1527978972.36,,,,343773.9375,171183.65625,1475.25
1527978982.385,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47737E940>,,0.0,,,1527978982.385,,,,343773.9375,171183.65625,1475.25
1527978992.38,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477744DA0>,,0.0,,,1527978992.38,,,,343773.9375,171183.65625,1475.25
1527979002.426,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0358>,,0.0,,,1527979002.426,,,,343773.9375,171183.65625,1475.25
1527979012.368,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774998D0>,,0.0,,,1527979012.368,,,,343773.9375,171183.65625,1475.25
1527979022.373,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480E10>,,0.0,,,1527979022.373,,,,343773.9375,171183.65625,1475.25
1527979032.39,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F390>,,0.0,,,1527979032.39,,,,343773.9375,171183.65625,1475.25
1527979035.745,,,,,,<itemEquip.itemEquip object at 0x000001B476E51630>,,,,,,,0.0,,,1527979035.745,,,,932243.625,638286.0625,150088.0
1527979035.7450998,,,,,,,,,,,,,0.0,,,1527979035.7450998,,,<vehicleRide.vehicleRide object at 0x000001B4778731D0>,932243.625,638286.0625,150088.0
1527979035.746,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CA438>,,,,,,0.0,,,1527979035.746,,,,932243.625,638286.0625,150088.0
1527979042.897,,7.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A860>,,0.0,,,1527979042.897,,,,854282.625,598904.0625,150088.015625
1527979052.89,,17.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736ED30>,,0.0,,,1527979052.89,,,,723046.0625,532610.0625,150088.0
1527979062.261,,,,,,,,,,,,,0.0,,,1527979062.261,,<vehicleLeave.vehicleLeave object at 0x000001B4777BB3C8>,,604026.4375,472487.34375,150088.0
1527979062.269,,,,,,,,,,,,,0.0,,,1527979062.269,,,<vehicleRide.vehicleRide object at 0x000001B477B60B00>,604576.1875,473993.65625,150015.78125
1527979062.887,,27.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456240>,,0.0,,,1527979062.887,,,,602788.5,473320.96875,149470.953125
1527979072.919,,36.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774416D8>,,0.0,,,1527979072.919,,,,574184.1875,491229.25,114872.6640625
1527979082.927,,46.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742FBE0>,,0.0,,,1527979082.927,,,,554890.8125,512126.1875,85814.5625
1527979092.909,,56.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928160>,,0.0,,,1527979092.909,,,,544776.0625,523328.875,77870.7421875
1527979102.902,,65.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933588>,,0.0,,,1527979102.902,,,,532581.4375,536838.0625,68394.6640625
1527979112.939,,75.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936A90>,,0.0,,,1527979112.939,,,,520250.375,550498.75,58916.0703125
1527979122.943,,84.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793CF28>,,0.0,,,1527979122.943,,,,508335.65625,563698.5,50327.3046875
1527979132.963,,94.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946470>,,0.0,,,1527979132.963,,,,496118.375,577232.875,41166.5859375
1527979142.953,,104.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794C860>,,0.0,,,1527979142.953,,,,483244.53125,591630.875,30759.84765625
1527979152.915,,113.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477951BE0>,,0.0,,,1527979152.915,,,,470527.15625,605904.8125,21076.978515625
1527979162.913,,123.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477957EB8>,,0.0,,,1527979162.913,,,,457101.0,620243.125,9661.5009765625
1527979170.523,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FD0908>,,,,,0.0,,,1527979170.523,,,,448888.625,629298.625,1139.52734375
1527979170.5231,,,,,,,,,,,,,0.0,,,1527979170.5231,,<vehicleLeave.vehicleLeave object at 0x000001B477BEAEB8>,,448888.625,629298.625,1139.52734375
1527979172.928,,133.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47795A0B8>,,0.0,,,1527979172.928,,,,448864.4375,629465.375,987.8399658203124
1527979174.234,,,,,,<itemEquip.itemEquip object at 0x000001B476E80518>,,,,,,,0.0,,,1527979174.234,,,,448475.1875,629038.4375,987.8399658203124
1527979174.2340999,,,,,,,<itemPickup.itemPickup object at 0x000001B477131EF0>,,,,,,0.0,,,1527979174.2340999,,,,448475.1875,629038.4375,987.8399658203124
