,armorDestroy,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978972.72,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EC68D0>,,,,1527978972.72,,,,796972.125,21312.599609375,528.5299682617188
1527978982.698,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EF7F98>,,,,1527978982.698,,,,800711.8125,22442.359375,529.9500122070312
1527978992.764,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA249DD8>,,,,1527978992.764,,,,798470.5625,25057.83984375,1711.7999267578125
1527979002.72,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4CB390>,,,,1527979002.72,,,,798056.4375,25378.728515625,1877.159912109375
1527979012.71,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4D1940>,,,,1527979012.71,,,,798056.4375,25378.728515625,1877.159912109375
1527979022.721,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4D5E80>,,,,1527979022.721,,,,798056.4375,25378.728515625,1877.159912109375
1527979032.743,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4DF390>,,,,1527979032.743,,,,798094.8125,26214.740234375,1871.0999755859375
1527979034.695,,,,,,,,,,,,,<swimStart.swimStart object at 0x00000184BAC94D30>,1527979034.695,,,,798056.3125,27358.638671875,-443.7599792480469
1527979035.766,,,,,,,,,,,,,,1527979035.766,,,<vehicleRide.vehicleRide object at 0x00000184BA3AD5F8>,932243.625,638286.0625,150088.0
1527979035.767,,,,,<itemEquip.itemEquip object at 0x00000184B99B9B38>,,,,,,,,,1527979035.767,,,,932243.625,638286.0625,150088.0
1527979035.7670999,,,,,,<itemPickup.itemPickup object at 0x00000184B9C38438>,,,,,,,,1527979035.7670999,,,,932243.625,638286.0625,150088.0
1527979037.081,,,,,,,,,,,,<swimEnd.swimEnd object at 0x00000184B9E66278>,,1527979037.081,,,,931275.1875,637796.875,150088.0
1527979043.233,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4E5860>,,,,1527979043.233,,,,849462.8125,596469.4375,150088.015625
1527979053.225,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9C5BD30>,,,,1527979053.225,,,,718291.375,530208.1875,150088.0
1527979059.35,,,,,,,,,,,,,,1527979059.35,,<vehicleLeave.vehicleLeave object at 0x00000184B9E66C50>,,641387.875,491360.46875,150088.0
1527979059.355,,,,,,,,,,,,,,1527979059.355,,,<vehicleRide.vehicleRide object at 0x00000184BA2E43C8>,641671.9375,492608.75,150015.78125
1527979063.245,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4F2240>,,,,1527979063.245,,,,634245.3125,488908.15625,139851.15625
1527979073.223,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4F6710>,,,,1527979073.223,,,,629386.5,486696.84375,75759.7265625
1527979083.275,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4FBBE0>,,,,1527979083.275,,,,621485.6875,484371.34375,19159.3515625
1527979093.255,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA5001D0>,,,,1527979093.255,,,,610999.0625,480811.0,2514.71240234375
1527979098.475,,,,,,,<itemUnequip.itemUnequip object at 0x00000184B9B0F518>,,,,,,,1527979098.475,,,,610734.0625,478543.5625,790.9192504882812
1527979098.4750998,,,,,,,,,,,,,,1527979098.4750998,,<vehicleLeave.vehicleLeave object at 0x00000184BA7E4550>,,610734.0625,478543.5625,790.9192504882812
1527979103.277,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA50A5C0>,,,,1527979103.277,,,,612588.625,479350.0625,307.79998779296875
1527979107.965,,,,,,<itemPickup.itemPickup object at 0x00000184B9C441D0>,,,,,,,,1527979107.965,,,,613531.6875,480790.5625,333.55999755859375
1527979108.346,,,,,<itemEquip.itemEquip object at 0x00000184B99C5160>,,,,,,,,,1527979108.346,,,,613531.375,480791.15625,333.55999755859375
1527979108.347,,,,,,<itemPickup.itemPickup object at 0x00000184B9C44278>,,,,,,,,1527979108.347,,,,613531.375,480791.15625,333.55999755859375
1527979110.351,,,,,,<itemPickup.itemPickup object at 0x00000184B9C44668>,,,,,,,,1527979110.351,,,,613552.6875,480856.5625,333.55999755859375
1527979113.255,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA50FA90>,,,,1527979113.255,,,,613831.25,480772.9375,333.55999755859375
1527979118.706,,,,,,<itemPickup.itemPickup object at 0x00000184B9C49F98>,,,,,,,,1527979118.706,,,,613584.125,480998.625,679.969970703125
1527979123.247,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA514F60>,,,,1527979123.247,,,,614762.4375,481427.71875,679.969970703125
1527979129.982,,,,,,<itemPickup.itemPickup object at 0x00000184B9C61438>,,,,,,,,1527979129.982,,,,614096.75,480894.65625,1030.8099365234375
