,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978974.316,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773591D0>,,0.0,,,1527978974.316,,,,795599.5,21363.69921875,526.3200073242188
1527978984.282,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477392358>,,0.0,,,1527978984.282,,,,795599.5,21363.69921875,526.3200073242188
1527978994.287,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD278>,,0.0,,,1527978994.287,,,,795599.5,21363.69921875,526.3200073242188
1527979004.289,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B07F0>,,0.0,,,1527979004.289,,,,795599.5,21363.69921875,526.3200073242188
1527979014.366,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499D68>,,0.0,,,1527979014.366,,,,795599.5,21363.69921875,526.3200073242188
1527979024.307,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774702E8>,,0.0,,,1527979024.307,,,,795599.5,21363.69921875,526.3200073242188
1527979034.303,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F7B8>,,0.0,,,1527979034.303,,,,795599.5,21363.69921875,526.3200073242188
1527979035.775,,,,,,<itemEquip.itemEquip object at 0x000001B476E51E10>,,,,,,,0.0,,,1527979035.775,,,,932243.625,638286.0625,150088.0
1527979035.7751,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF710>,,,,,,0.0,,,1527979035.7751,,,,932243.625,638286.0625,150088.0
1527979035.7752001,,,,,,,,,,,,,0.0,,,1527979035.7752001,,,<vehicleRide.vehicleRide object at 0x000001B4778738D0>,932243.625,638286.0625,150088.0
1527979044.831,,9.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738AC88>,,0.0,,,1527979044.831,,,,825103.375,584164.25,150088.0
1527979054.842,,19.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E0F0>,,0.0,,,1527979054.842,,,,697962.4375,519939.03125,150088.0
1527979064.837,,29.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456668>,,0.0,,,1527979064.837,,,,569001.125,454794.3125,150088.0
1527979074.814,,38.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441B38>,,0.0,,,1527979074.814,,,,441453.3125,390363.65625,150088.0
1527979084.847,,48.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F198>,,0.0,,,1527979084.847,,,,312095.71875,325018.75,150088.0
1527979093.917,,,,,,,,,,,,,0.0,,,1527979093.917,,<vehicleLeave.vehicleLeave object at 0x000001B4777D20F0>,,194824.5,265779.25,150088.0
1527979093.92,,,,,,,,,,,,,0.0,,,1527979093.92,,,<vehicleRide.vehicleRide object at 0x000001B477B7B5C0>,194633.65625,266200.75,150015.78125
1527979094.858,,58.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D518>,,0.0,,,1527979094.858,,,,191828.515625,264770.40625,148658.0
1527979104.847,,67.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779339E8>,,0.0,,,1527979104.847,,,,176839.765625,260987.640625,87393.1328125
1527979114.943,,77.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936EB8>,,0.0,,,1527979114.943,,,,176835.890625,260988.78125,22190.17578125
1527979124.863,,86.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779413C8>,,0.0,,,1527979124.863,,,,169162.484375,270366.96875,3990.966552734375
1527979129.452,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FC1860>,,,,,0.0,,,1527979129.452,,,,166432.96875,274522.65625,1661.2626953125
1527979129.453,,,,,,,,,,,,,0.0,,,1527979129.453,,<vehicleLeave.vehicleLeave object at 0x000001B477BEA358>,,166432.96875,274522.65625,1661.2626953125
1527979134.944,,96.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946898>,,0.0,,,1527979134.944,,,,166728.265625,276462.125,1104.6600341796875
1527979139.665,,,,,,<itemEquip.itemEquip object at 0x000001B476E6CBA8>,,,,,,,0.0,,,1527979139.665,,,,166644.3125,277639.46875,1159.0599365234375
1527979139.666,,,,,,,<itemPickup.itemPickup object at 0x000001B477105A90>,,,,,,0.0,,,1527979139.666,,,,166644.3125,277639.46875,1159.0599365234375
1527979140.487,,,,,,,<itemPickup.itemPickup object at 0x000001B477105F60>,,,,,,0.0,,,1527979140.487,,,,166610.75,277641.28125,1159.0599365234375
1527979141.142,,,,,,,<itemPickup.itemPickup object at 0x000001B47710A390>,,,,,,0.0,,,1527979141.142,,,,166610.75,277641.28125,1159.0599365234375
