,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978982.637,,-53.06099987030029,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DE0390>,,0.0,,,1527978982.637,Foot,,,,561678.0625,129387.125,25676.869140625
1527978992.617,,-43.08099985122681,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AA7F0>,,0.0,,,1527978992.617,Foot,,,,561678.0625,129387.125,25676.869140625
1527979002.611,,-33.08699989318848,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942DD68>,,0.0,,,1527979002.611,Foot,,,,561678.0625,129387.125,25676.869140625
1527979012.565,,-23.132999897003174,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009436358>,,0.0,,,1527979012.565,Foot,,,,561678.0625,129387.125,25676.869140625
1527979022.587,,-13.111000061035156,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943B898>,,0.0,,,1527979022.587,Foot,,,,561678.0625,129387.125,25676.869140625
1527979032.582,,-3.115999937057495,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943FDA0>,,0.0,,,1527979032.582,Foot,,,,561678.0625,129387.125,25676.869140625
1527979035.865,,0.16700005531311035,1,,,,,<itemEquip.itemEquip object at 0x0000016008855CF8>,,,,,,,0.0,,,1527979035.865,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8651,,0.1670999526977539,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B5E668>,,,,,,0.0,,,1527979035.8651,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8652,,0.16720008850097656,1,,,,,,,,,,,,0.0,,,1527979035.8652,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009276780>,932243.625,638286.0625,150088.0
1527979043.1,,7.4019999504089355,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944A2B0>,,0.0,,,1527979043.1,DummyTransportAircraft_C,,,,851388.3125,597442.0625,150088.0
1527979053.096,,17.39800000190735,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944F780>,,0.0,,,1527979053.096,DummyTransportAircraft_C,,,,720194.875,531169.75,150088.0
1527979059.835,,24.13700008392334,1,,,,,,,,,,,,0.0,,,1527979059.835,Foot,,<vehicleLeave.vehicleLeave object at 0x0000016008D86898>,,635125.5625,488197.09375,150088.0
1527979059.841,,24.14300012588501,1,,,,,,,,,,,,0.0,,,1527979059.841,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x0000016009276128>,635343.9375,487468.1875,150015.78125
1527979063.11,,27.411999940872192,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009452C50>,,0.0,,,1527979063.11,ParachutePlayer_C,,,,629842.6875,484689.59375,136240.03125
1527979073.093,,37.394999980926514,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094590B8>,,0.0,,,1527979073.093,ParachutePlayer_C,,,,616263.3125,484948.3125,75403.625
