,armorDestroy,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978985.63,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9F069E8>,,,,1527978985.63,,,,796897.8125,19194.5,528.5
1527978995.616,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4C7710>,,,,1527978995.616,,,,796897.8125,19194.5,528.5
1527979005.668,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4CBC88>,,,,1527979005.668,,,,796897.8125,19194.5,528.5
1527979015.628,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4D5240>,,,,1527979015.628,,,,796897.8125,19194.5,528.5
1527979025.65,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4DA780>,,,,1527979025.65,,,,796897.8125,19194.5,528.5
1527979035.642,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4DFC50>,,,,1527979035.642,,,,796897.8125,19194.5,528.5
1527979035.801,,,,,<itemEquip.itemEquip object at 0x00000184B99BF4E0>,,,,,,,,,1527979035.801,,,,932243.625,638286.0625,150088.0
1527979035.8011,,,,,,<itemPickup.itemPickup object at 0x00000184B9C38C88>,,,,,,,,1527979035.8011,,,,932243.625,638286.0625,150088.0
1527979035.8012002,,,,,,,,,,,,,,1527979035.8012002,,,<vehicleRide.vehicleRide object at 0x00000184BA3ADE48>,932243.625,638286.0625,150088.0
1527979046.144,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4E5080>,,,,1527979046.144,,,,810309.0,576690.875,150088.0
1527979056.142,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4ED630>,,,,1527979056.142,,,,681833.5625,511791.625,150088.0
1527979066.142,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4F2B00>,,,,1527979066.142,,,,552546.3125,446482.25,150088.0
1527979076.178,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4F6FD0>,,,,1527979076.178,,,,423967.6875,381530.8125,150088.0
1527979076.373,,,,,,,,,,,,,,1527979076.373,,<vehicleLeave.vehicleLeave object at 0x00000184BA7AAF60>,,421418.5625,380243.125,150088.0
1527979076.377,,,,,,,,,,,,,,1527979076.377,,,<vehicleRide.vehicleRide object at 0x00000184BA2FC6D8>,419444.5625,380064.9375,150015.78125
1527979086.149,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA5004E0>,,,,1527979086.149,,,,408297.78125,359132.9375,107256.546875
1527979096.191,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA5069B0>,,,,1527979096.191,,,,414994.125,341447.25,52651.25
1527979106.247,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA50AE80>,,,,1527979106.247,,,,417067.21875,337014.28125,11000.5068359375
1527979113.457,,,,,,,<itemUnequip.itemUnequip object at 0x00000184B9B1A128>,,,,,,,1527979113.457,,,,419202.125,329593.5,1172.8994140625
1527979113.4571,,,,,,,,,,,,,,1527979113.4571,,<vehicleLeave.vehicleLeave object at 0x00000184BA84F470>,,419202.125,329593.5,1172.8994140625
1527979116.205,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA514390>,,,,1527979116.205,,,,418812.34375,329549.15625,727.2799682617188
1527979119.25,,,,,,<itemPickup.itemPickup object at 0x00000184B9C4F208>,,,,,,,,1527979119.25,,,,418130.5,329266.9375,727.2799682617188
1527979119.67,,,,,,<itemPickup.itemPickup object at 0x00000184B9C4F3C8>,,,,,,,,1527979119.67,,,,418130.5,329266.9375,727.2799682617188
1527979120.093,,,,,,<itemPickup.itemPickup object at 0x00000184B9C4F7B8>,,,,,,,,1527979120.093,,,,418130.5,329266.9375,727.2799682617188
1527979126.209,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA519860>,,,,1527979126.209,,,,417800.4375,328821.71875,1073.8099365234375
1527979131.15,,,,,<itemEquip.itemEquip object at 0x00000184B99D3A90>,,,,,,,,,1527979131.15,,,,417846.5625,330599.625,1073.8099365234375
1527979131.1501,,,,,,<itemPickup.itemPickup object at 0x00000184B9C61AC8>,,,,,,,,1527979131.1501,,,,417846.5625,330599.625,1073.8099365234375
1527979132.961,,,,,,<itemPickup.itemPickup object at 0x00000184B9C65358>,,,,,,,,1527979132.961,,,,417767.875,330760.21875,1102.43994140625
1527979133.493,,,,,,<itemPickup.itemPickup object at 0x00000184B9C65748>,,,,,,,,1527979133.493,,,,417838.59375,330599.21875,1073.8099365234375
1527979136.209,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA51ECF8>,,,,1527979136.209,,,,418156.90625,329822.5,1071.739990234375
1527979141.25,,,,,<itemEquip.itemEquip object at 0x00000184B99D9E80>,,,,,,,,,1527979141.25,,,,418357.84375,328964.75,1071.739990234375
1527979141.251,,,,,,<itemPickup.itemPickup object at 0x00000184B9C71438>,,,,,,,,1527979141.251,,,,418357.84375,328964.75,1071.739990234375
1527979141.772,,,,,<itemEquip.itemEquip object at 0x00000184B99D9080>,,,,,,,,,1527979141.772,,,,418357.84375,328964.75,1071.739990234375
1527979141.7721,,,,,,<itemPickup.itemPickup object at 0x00000184B9C717B8>,,,,,,,,1527979141.7721,,,,418357.84375,328964.75,1071.739990234375
1527979142.417,,,,,,<itemPickup.itemPickup object at 0x00000184B9C71DD8>,,,,,,,,1527979142.417,,,,418357.84375,328964.75,1071.739990234375
1527979146.204,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA523160>,,,,1527979146.204,,,,418355.03125,328935.40625,1071.739990234375
1527979151.253,,,,<itemDrop.itemDrop object at 0x00000184B98B6EF0>,,,,,,,,,,1527979151.253,,,,418359.34375,328888.4375,1071.739990234375
1527979152.004,,,,,,<itemPickup.itemPickup object at 0x00000184B9C80AC8>,,,,,,,,1527979152.004,,,,418359.34375,328888.4375,1071.739990234375
1527979156.206,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA52D438>,,,,1527979156.206,,,,418077.5,330101.59375,1071.739990234375
1527979161.062,,,,,,,,<playerAttack.playerAttack object at 0x00000184BA0841D0>,,,,,,1527979161.062,,,,418006.28125,330925.90625,1249.0499267578125
1527979161.593,,,,,,,,<playerAttack.playerAttack object at 0x00000184BA084278>,,,,,,1527979161.593,,,,418006.28125,330925.90625,1249.0499267578125
1527979162.237,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8F7438>,,,1527979162.237,,,,418006.28125,330925.90625,1249.0499267578125
1527979162.243,,,,,,,,<playerAttack.playerAttack object at 0x00000184BA0843C8>,,,,,,1527979162.243,,,,418006.28125,330925.90625,1249.0499267578125
1527979162.88,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8F7518>,,,1527979162.88,,,,418090.78125,330990.6875,1249.0499267578125
1527979162.895,,,,,,,,<playerAttack.playerAttack object at 0x00000184BA0845C0>,,,,,,1527979162.895,,,,418098.5,330990.6875,1249.0499267578125
1527979163.273,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8F76D8>,,,1527979163.273,,,,418110.625,330990.6875,1249.0499267578125
1527979163.562,,,,,,,,<playerAttack.playerAttack object at 0x00000184BA084DA0>,,,,,,1527979163.562,,,,418127.125,330984.40625,1249.0499267578125
1527979163.698,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8F7C18>,,,1527979163.698,,,,418143.34375,330974.40625,1249.0499267578125
1527979164.027,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8F7DD8>,,,1527979164.027,,,,418210.90625,330948.8125,1249.0499267578125
1527979164.094,,,,,,,,<playerAttack.playerAttack object at 0x00000184BA089278>,,,,,,1527979164.094,,,,418210.90625,330947.5625,1249.0499267578125
1527979164.603,,,,,,,,<playerAttack.playerAttack object at 0x00000184BA089320>,,,,,,1527979164.603,,,,418210.875,330947.65625,1249.0499267578125
1527979166.165,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA5326A0>,,,,1527979166.165,,,,418030.5625,330642.625,1197.1300048828125
1527979168.964,,,,,,,,<playerAttack.playerAttack object at 0x00000184BA089518>,,,,,,1527979168.964,,,,417962.625,330728.09375,1240.7099609375
1527979169.376,,,,,,,,<playerAttack.playerAttack object at 0x00000184BA0895C0>,,,,,,1527979169.376,,,,417966.3125,330863.1875,1249.0499267578125
1527979169.555,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8FB898>,,,1527979169.555,,,,417977.9375,330910.75,1249.0499267578125
1527979170.613,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8FBA58>,,,1527979170.613,,,,418210.90625,330845.09375,1249.0499267578125
1527979171.343,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8FBC18>,,,1527979171.343,,,,418205.46875,330626.34375,1364.8699951171875
1527979172.711,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8FBEB8>,,,1527979172.711,,,,418110.78125,330064.375,1409.5
1527979173.865,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8FFA58>,,,1527979173.865,,,,418149.21875,329970.03125,1409.5
1527979174.418,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8FFB38>,,,1527979174.418,,,,418131.34375,329912.9375,1409.5
1527979176.041,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000184BA8FFDD8>,,,1527979176.041,,,,418052.34375,329174.21875,1409.5
1527979176.167,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA5378D0>,,,,1527979176.167,,,,418052.34375,329174.21875,1409.5
1527979236.046,,,,,,,<itemUnequip.itemUnequip object at 0x00000184B9B4D320>,,,,,,,1527979236.046,,,,418052.34375,329174.21875,1409.5
1527979236.047,,,,,,,<itemUnequip.itemUnequip object at 0x00000184B9B4D240>,,,,,,,1527979236.047,,,,418052.34375,329174.21875,1409.5
1527979236.0470998,,,,,,,<itemUnequip.itemUnequip object at 0x00000184B9B4D128>,,,,,,,1527979236.0470998,,,,418052.34375,329174.21875,1409.5
