,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978955.521,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47732C358>,,0.0,,,1527978955.521,,,,796593.8125,18321.21875,528.5
1527978961.805,,,,,,,,,<playerAttack.playerAttack object at 0x000001B476FA5160>,,,,0.0,,,1527978961.805,,,,797177.6875,19909.58984375,528.5
1527978964.804,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E4AC8>,,,,0.0,,,1527978964.804,,,,797161.8125,19458.708984375,528.5
1527978965.534,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47733A4A8>,,0.0,,,1527978965.534,,,,797007.4375,19494.01953125,528.5
1527978966.756,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E4B70>,,,,0.0,,,1527978966.756,,,,797066.3125,19899.37890625,528.5
1527978975.627,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477364E80>,,0.0,,,1527978975.627,,,,796928.25,19657.12890625,528.5
1527978985.534,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774424E0>,,0.0,,,1527978985.534,,,,795395.1875,21015.19921875,498.2200012207031
1527978995.334,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E8D68>,,,,0.0,,,1527978995.334,,,,792745.4375,22399.080078125,824.3699951171875
1527978995.547,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD7F0>,,0.0,,,1527978995.547,,,,792750.25,22412.509765625,824.3699951171875
1527979005.567,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0D68>,,0.0,,,1527979005.567,,,,792750.25,22412.509765625,824.3699951171875
1527979015.553,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480320>,,0.0,,,1527979015.553,,,,792750.25,22412.509765625,824.3699951171875
1527979025.538,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470860>,,0.0,,,1527979025.538,,,,792750.25,22412.509765625,824.3699951171875
1527979035.589,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FD30>,,0.0,,,1527979035.589,,,,792750.25,22412.509765625,824.3699951171875
1527979035.716,,,,,,,,,,,,,0.0,,,1527979035.716,,,<vehicleRide.vehicleRide object at 0x000001B477C4AB00>,932243.625,638286.0625,150088.0
1527979035.717,,,,,,<itemEquip.itemEquip object at 0x000001B476E49AC8>,,,,,,,0.0,,,1527979035.717,,,,932243.625,638286.0625,150088.0
1527979035.7171,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CA940>,,,,,,0.0,,,1527979035.7171,,,,932243.625,638286.0625,150088.0
1527979046.075,,10.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E240>,,0.0,,,1527979046.075,,,,811077.5625,577079.125,150088.0
1527979056.082,,20.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365710>,,0.0,,,1527979056.082,,,,682681.0,512219.65625,150088.0
1527979066.069,,30.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456BA8>,,0.0,,,1527979066.069,,,,553557.625,446993.09375,150088.0
1527979076.081,,40.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441160>,,0.0,,,1527979076.081,,,,425218.15625,382162.5,150088.0
1527979077.878,,,,,,,,,,,,,0.0,,,1527979077.878,,<vehicleLeave.vehicleLeave object at 0x000001B4777D2588>,,402516.1875,370694.59375,150088.0
1527979077.886,,,,,,,,,,,,,0.0,,,1527979077.886,,,<vehicleRide.vehicleRide object at 0x000001B477B6BCC0>,404228.375,370307.59375,150015.78125
1527979086.088,,49.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928588>,,0.0,,,1527979086.088,,,,394748.53125,349743.8125,115822.125
1527979096.074,,59.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792DA58>,,0.0,,,1527979096.074,,,,394014.84375,319876.59375,76643.65625
1527979106.153,,69.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933F60>,,0.0,,,1527979106.153,,,,391577.09375,300591.40625,21847.865234375
1527979116.141,,78.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C470>,,0.0,,,1527979116.141,,,,392655.65625,288832.21875,3042.616455078125
1527979117.662,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB42E8>,,,,,0.0,,,1527979117.662,,,,392558.9375,288327.09375,1573.2880859375
