,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978980.597,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47737AF98>,,0.0,,,1527978980.597,,,,796890.6875,19410.08984375,528.5
1527978990.569,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477744B38>,,0.0,,,1527978990.569,,,,792534.6875,18690.048828125,606.8900146484375
1527979000.558,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD160>,,0.0,,,1527979000.558,,,,792339.8125,19005.310546875,820.6499633789062
1527979010.569,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774996A0>,,0.0,,,1527979010.569,,,,793249.125,22046.529296875,526.3399658203125
1527979020.55,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480BE0>,,0.0,,,1527979020.55,,,,797272.25,19482.869140625,528.5299682617188
1527979030.555,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774700F0>,,0.0,,,1527979030.555,,,,796372.125,20085.66015625,528.5299682617188
1527979035.787,,,,,,<itemEquip.itemEquip object at 0x000001B476E55208>,,,,,,,0.0,,,1527979035.787,,,,932243.625,638286.0625,150088.0
1527979035.7870998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CFA20>,,,,,,0.0,,,1527979035.7870998,,,,932243.625,638286.0625,150088.0
1527979035.7872,,,,,,,,,,,,,0.0,,,1527979035.7872,,,<vehicleRide.vehicleRide object at 0x000001B477873BE0>,932243.625,638286.0625,150088.0
1527979041.099,,5.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A630>,,0.0,,,1527979041.099,,,,878142.25,610956.75,150088.0
1527979051.085,,15.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736EB00>,,0.0,,,1527979051.085,,,,748055.5625,545243.5625,150088.0
1527979055.961,,,,,,,,,,,,,0.0,,,1527979055.961,,<vehicleLeave.vehicleLeave object at 0x000001B476F90C18>,,684208.4375,512991.25,150088.0
1527979055.968,,,,,,,,,,,,,0.0,,,1527979055.968,,,<vehicleRide.vehicleRide object at 0x000001B477B60390>,682677.8125,513102.59375,150015.78125
