,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978955.655,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47732FF60>,,0.0,,,1527978955.655,,,,561300.1875,128158.140625,25682.869140625
1527978965.669,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47733A080>,,0.0,,,1527978965.669,,,,562030.0625,125089.21875,25676.87890625
1527978975.698,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477369E80>,,0.0,,,1527978975.698,,,,560896.375,121707.9609375,25614.150390625
1527978985.666,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477442438>,,0.0,,,1527978985.666,,,,560301.8125,120874.4140625,25563.169921875
1527978995.68,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD898>,,0.0,,,1527978995.68,,,,556081.375,118141.109375,23934.349609375
1527979005.668,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0E10>,,0.0,,,1527979005.668,,,,555631.3125,117546.4609375,23525.55859375
1527979015.664,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774803C8>,,0.0,,,1527979015.664,,,,555631.3125,117546.4609375,23525.55859375
1527979025.688,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470908>,,0.0,,,1527979025.688,,,,555631.3125,117546.4609375,23525.55859375
1527979035.696,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FDD8>,,0.0,,,1527979035.696,,,,555631.3125,117546.4609375,23525.55859375
1527979035.823,,,,,,<itemEquip.itemEquip object at 0x000001B476E55B00>,,,,,,,0.0,,,1527979035.823,,,,932243.625,638286.0625,150088.0
1527979035.8230999,,,,,,,,,,,,,0.0,,,1527979035.8230999,,,<vehicleRide.vehicleRide object at 0x000001B47788F470>,932243.625,638286.0625,150088.0
1527979035.824,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D22B0>,,,,,,0.0,,,1527979035.824,,,,932243.625,638286.0625,150088.0
1527979046.211,,10.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E2E8>,,0.0,,,1527979046.211,,,,809538.375,576301.5625,150088.0
1527979056.209,,20.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773657B8>,,0.0,,,1527979056.209,,,,681018.5625,511379.90625,150088.0
1527979066.211,,30.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456C88>,,0.0,,,1527979066.211,,,,551689.5625,446049.40625,150088.0
1527979076.217,,40.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441048>,,0.0,,,1527979076.217,,,,423234.5625,381160.46875,150088.0
1527979086.219,,49.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928668>,,0.0,,,1527979086.219,,,,294979.5625,316372.53125,150088.0
1527979091.865,,,,,,,,,,,,,0.0,,,1527979091.865,,<vehicleLeave.vehicleLeave object at 0x000001B4777D2DD8>,,221421.546875,279214.75,150088.0
1527979091.868,,,,,,,,,,,,,0.0,,,1527979091.868,,,<vehicleRide.vehicleRide object at 0x000001B477B7B400>,221471.34375,276680.78125,150015.78125
1527979096.25,,59.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792DB38>,,0.0,,,1527979096.25,,,,215040.34375,273624.84375,130379.640625
1527979106.248,,69.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933198>,,0.0,,,1527979106.248,,,,214445.15625,273564.9375,65613.484375
1527979116.285,,78.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C518>,,0.0,,,1527979116.285,,,,212720.9375,274629.5,15098.5029296875
1527979126.117,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB9B38>,,,,,0.0,,,1527979126.117,,,,206544.140625,269072.21875,1298.951416015625
1527979126.1171,,,,,,,,,,,,,0.0,,,1527979126.1171,,<vehicleLeave.vehicleLeave object at 0x000001B4778070F0>,,206544.140625,269072.21875,1298.951416015625
1527979126.288,,88.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779419E8>,,0.0,,,1527979126.288,,,,206544.140625,269072.21875,1360.951416015625
1527979136.28,,97.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946E80>,,0.0,,,1527979136.28,,,,201954.8125,269740.1875,1267.449951171875
1527979146.248,,107.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477951278>,,0.0,,,1527979146.248,,,,197507.09375,271545.375,1147.179931640625
1527979154.06,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D1E390>,0.0,,,1527979154.06,,,,196604.71875,274974.4375,1140.929931640625
1527979156.255,,116.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779575C0>,,0.0,,,1527979156.255,,,,196604.71875,274974.4375,1140.929931640625
