,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978973.612,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477359828>,,0.0,,,1527978973.612,,,,344277.625,170778.515625,1453.429931640625
1527978983.613,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47737E400>,,0.0,,,1527978983.613,,,,344277.625,170778.515625,1453.429931640625
1527978993.618,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477744048>,,0.0,,,1527978993.618,,,,344277.625,170778.515625,1453.429931640625
1527979003.775,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0668>,,0.0,,,1527979003.775,,,,344277.625,170778.515625,1453.429931640625
1527979013.621,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499C18>,,0.0,,,1527979013.621,,,,344277.625,170778.515625,1453.429931640625
1527979023.626,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480048>,,0.0,,,1527979023.626,,,,344277.625,170778.515625,1453.429931640625
1527979033.695,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F668>,,0.0,,,1527979033.695,,,,344277.625,170778.515625,1453.429931640625
1527979035.771,,,,,,,,,,,,,0.0,,,1527979035.771,,,<vehicleRide.vehicleRide object at 0x000001B477873860>,932243.625,638286.0625,150088.0
1527979035.772,,,,,,<itemEquip.itemEquip object at 0x000001B476E51DA0>,,,,,,,0.0,,,1527979035.772,,,,932243.625,638286.0625,150088.0
1527979035.7721,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF6A0>,,,,,,0.0,,,1527979035.7721,,,,932243.625,638286.0625,150088.0
1527979044.134,,8.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738AB38>,,0.0,,,1527979044.134,,,,835897.125,589616.6875,150088.0
1527979054.164,,18.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E198>,,0.0,,,1527979054.164,,,,705985.1875,523991.75,150088.0
1527979064.165,,28.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456518>,,0.0,,,1527979064.165,,,,577885.8125,459282.4375,150088.0
1527979074.15,,38.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774419E8>,,0.0,,,1527979074.15,,,,449999.375,394680.71875,150088.0
1527979078.05,,,,,,,,,,,,,0.0,,,1527979078.05,,<vehicleLeave.vehicleLeave object at 0x000001B4777D2668>,,399921.96875,369384.125,150088.0
1527979078.055,,,,,,,,,,,,,0.0,,,1527979078.055,,,<vehicleRide.vehicleRide object at 0x000001B477B6BDA0>,400894.3125,370756.09375,150015.78125
1527979084.208,,47.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742FEB8>,,0.0,,,1527979084.208,,,,394446.4375,367521.75,117269.234375
1527979094.239,,57.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D3C8>,,0.0,,,1527979094.239,,,,381080.65625,381238.09375,66354.4140625
1527979104.182,,67.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933898>,,0.0,,,1527979104.182,,,,377891.125,383273.71875,17262.8828125
1527979114.209,,76.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936D68>,,0.0,,,1527979114.209,,,,368099.125,388169.65625,5022.38720703125
1527979115.314,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB4C18>,,,,,0.0,,,1527979115.314,,,,367628.15625,388257.28125,4373.56591796875
1527979115.3140998,,,,,,,,,,,,,0.0,,,1527979115.3140998,,<vehicleLeave.vehicleLeave object at 0x000001B4778079E8>,,367628.15625,388257.28125,4373.56591796875
1527979120.89,,,,,,,<itemPickup.itemPickup object at 0x000001B4770E5F60>,,,,,,0.0,,,1527979120.89,,,,366454.75,389038.46875,4236.5
1527979121.698,,,,,,<itemEquip.itemEquip object at 0x000001B476E65438>,,,,,,,0.0,,,1527979121.698,,,,366441.78125,389039.1875,4236.5
1527979121.6980999,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EA240>,,,,,,0.0,,,1527979121.6980999,,,,366441.78125,389039.1875,4236.5
1527979122.211,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EA4E0>,,,,,,0.0,,,1527979122.211,,,,366441.78125,389039.1875,4236.5
1527979124.198,,86.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477941278>,,0.0,,,1527979124.198,,,,366445.34375,389605.0625,4236.5
1527979126.184,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774FFA20>,,,,0.0,,,1527979126.184,,,,366426.03125,390000.0625,4135.72998046875
1527979126.772,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774FFC18>,,,,0.0,,,1527979126.772,,,,366426.03125,390000.0625,4135.72998046875
1527979127.241,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774FF0F0>,,,,0.0,,,1527979127.241,,,,366426.03125,390000.0625,4135.72998046875
