,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978956.798,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47732F0F0>,,0.0,,,1527978956.798,,,,562383.8125,129331.8984375,25676.900390625
1527978966.808,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47733EF98>,,0.0,,,1527978966.808,,,,562357.0,129196.515625,25676.900390625
1527978976.878,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736C9E8>,,0.0,,,1527978976.878,,,,561757.0,127019.3203125,25821.66015625
1527978986.809,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47746FF60>,,0.0,,,1527978986.809,,,,564337.8125,127202.7734375,25790.919921875
1527978996.839,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BDB70>,,0.0,,,1527978996.839,,,,569409.375,125301.515625,25678.439453125
1527979006.825,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B00B8>,,0.0,,,1527979006.825,,,,571294.875,121551.71875,25933.259765625
1527979016.827,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774806A0>,,0.0,,,1527979016.827,,,,567961.5625,121736.828125,25783.76953125
1527979026.797,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470BE0>,,0.0,,,1527979026.797,,,,565540.125,123477.8359375,25670.62890625
1527979035.723,,,,,,<itemEquip.itemEquip object at 0x000001B476E49908>,,,,,,,0.0,,,1527979035.723,,,,932243.625,638286.0625,150088.0
1527979035.7231,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CAB00>,,,,,,0.0,,,1527979035.7231,,,,932243.625,638286.0625,150088.0
1527979035.7232,,,,,,,,,,,,,0.0,,,1527979035.7232,,,<vehicleRide.vehicleRide object at 0x000001B477C4ACC0>,932243.625,638286.0625,150088.0
1527979037.347,,1.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F160>,,0.0,,,1527979037.347,,,,927702.6875,635992.25,150087.984375
1527979047.346,,11.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E5C0>,,0.0,,,1527979047.346,,,,796045.1875,569485.5,150088.0
1527979057.344,,21.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365A90>,,0.0,,,1527979057.344,,,,666888.875,504242.3125,150088.0
1527979067.328,,31.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456F60>,,0.0,,,1527979067.328,,,,537976.125,439122.0625,150088.0
1527979070.817,,,,,,,,,,,,,0.0,,,1527979070.817,,<vehicleLeave.vehicleLeave object at 0x000001B4777BB978>,,493018.5,416411.75,150088.0
1527979070.823,,,,,,,,,,,,,0.0,,,1527979070.823,,,<vehicleRide.vehicleRide object at 0x000001B477B60048>,494083.0,415556.0625,150015.78125
1527979077.342,,41.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F470>,,0.0,,,1527979077.342,,,,487791.46875,414691.75,119070.671875
1527979087.352,,50.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928940>,,0.0,,,1527979087.352,,,,489708.78125,423183.09375,61486.8359375
1527979097.388,,60.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792DE10>,,0.0,,,1527979097.388,,,,491272.25,431235.125,16781.80078125
1527979107.379,,70.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936320>,,0.0,,,1527979107.379,,,,492769.875,443976.5625,2049.518798828125
1527979107.857,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FAA240>,,,,,0.0,,,1527979107.857,,,,492781.21875,443957.03125,2026.97216796875
1527979107.8571,,,,,,,,,,,,,0.0,,,1527979107.8571,,<vehicleLeave.vehicleLeave object at 0x000001B4777E6E48>,,492781.21875,443957.03125,2026.97216796875
1527979117.367,,79.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C7F0>,,0.0,,,1527979117.367,,,,491449.90625,444812.0,1806.239990234375
1527979127.398,,89.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477941CC0>,,0.0,,,1527979127.398,,,,490902.34375,445092.5,1811.159912109375
1527979137.406,,98.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946080>,,0.0,,,1527979137.406,,,,490902.34375,445092.5,1811.159912109375
1527979147.367,,108.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477951518>,,0.0,,,1527979147.367,,,,491009.875,445298.1875,2156.2099609375
1527979147.964,,,,,,<itemEquip.itemEquip object at 0x000001B476E73EB8>,,,,,,,0.0,,,1527979147.964,,,,491100.90625,445241.4375,2156.2099609375
1527979147.9641,,,,,,,<itemPickup.itemPickup object at 0x000001B477112E10>,,,,,,0.0,,,1527979147.9641,,,,491100.90625,445241.4375,2156.2099609375
1527979148.392,,,,,,,<itemPickup.itemPickup object at 0x000001B477112EF0>,,,,,,0.0,,,1527979148.392,,,,491137.75,445236.78125,2156.2099609375
1527979152.48,,,,,,,<itemPickup.itemPickup object at 0x000001B477117DA0>,,,,,,0.0,,,1527979152.48,,,,491466.21875,444810.90625,2156.2099609375
1527979152.898,,,,,,,<itemPickup.itemPickup object at 0x000001B477117F60>,,,,,,0.0,,,1527979152.898,,,,491465.3125,444811.0,2156.2099609375
1527979157.363,,118.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477957828>,,0.0,,,1527979157.363,,,,491306.75,444394.46875,2156.2099609375
1527979164.258,,,,,,,<itemPickup.itemPickup object at 0x000001B47712A4E0>,,,,,,0.0,,,1527979164.258,,,,491524.625,444257.03125,1806.239990234375
1527979167.373,,127.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47795AA58>,,0.0,,,1527979167.373,,,,491437.0625,443712.9375,1728.43994140625
1527979171.439,,,,,<itemDrop.itemDrop object at 0x000001B476D8FAC8>,,,,,,,,0.0,,,1527979171.439,,,,491068.21875,443146.34375,1766.14990234375
1527979172.027,,,,,,,<itemPickup.itemPickup object at 0x000001B477131940>,,,,,,0.0,,,1527979172.027,,,,491068.21875,443146.34375,1766.14990234375
1527979177.353,,137.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477960C88>,,0.0,,,1527979177.353,,,,490273.625,444931.125,1725.3299560546875
1527979187.377,,147.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477965DD8>,,0.0,,,1527979187.377,,,,486622.0,447529.0625,1206.1500244140625
