,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978978.568,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477370EF0>,,0.0,,,1527978978.568,,,,561104.25,129240.796875,25676.876953125
1527978988.611,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477465048>,,0.0,,,1527978988.611,,,,561104.25,129240.796875,25676.87890625
1527978998.533,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BDE80>,,0.0,,,1527978998.533,,,,561104.25,129240.796875,25676.87890625
1527979008.594,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499438>,,0.0,,,1527979008.594,,,,561104.25,129240.796875,25676.87890625
1527979018.566,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774809B0>,,0.0,,,1527979018.566,,,,561104.25,129240.796875,25676.87890625
1527979028.566,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470EF0>,,0.0,,,1527979028.566,,,,561104.25,129240.796875,25676.87890625
1527979035.783,,,,,,,,,,,,,0.0,,,1527979035.783,,,<vehicleRide.vehicleRide object at 0x000001B477873B00>,932243.625,638286.0625,150088.0
1527979035.784,,,,,,<itemEquip.itemEquip object at 0x000001B476E519B0>,,,,,,,0.0,,,1527979035.784,,,,932243.625,638286.0625,150088.0
1527979035.7840998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF940>,,,,,,0.0,,,1527979035.7840998,,,,932243.625,638286.0625,150088.0
1527979039.067,,3.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A400>,,0.0,,,1527979039.067,,,,900133.625,622065.6875,150088.0
1527979049.084,,13.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E8D0>,,0.0,,,1527979049.084,,,,774398.25,558550.5625,150088.0
1527979059.066,,23.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365DA0>,,0.0,,,1527979059.066,,,,645022.125,493196.28125,150088.0
1527979069.066,,33.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774412B0>,,0.0,,,1527979069.066,,,,515431.15625,427733.53125,150088.0
1527979079.093,,42.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F780>,,0.0,,,1527979079.093,,,,386151.90625,362428.1875,150088.0
1527979089.1,,52.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928C50>,,0.0,,,1527979089.1,,,,258340.265625,297864.25,150088.0
1527979095.745,,,,,,,,,,,,,0.0,,,1527979095.745,,<vehicleLeave.vehicleLeave object at 0x000001B4777E6438>,,171082.796875,253786.171875,150088.0
1527979095.748,,,,,,,,,,,,,0.0,,,1527979095.748,,,<vehicleRide.vehicleRide object at 0x000001B477B7B780>,171292.03125,254297.25,150015.78125
1527979099.153,,62.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D0F0>,,0.0,,,1527979099.153,,,,165550.734375,251671.640625,137658.9375
1527979109.166,,71.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936630>,,0.0,,,1527979109.166,,,,162301.65625,263684.375,83742.953125
1527979119.132,,81.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793CB00>,,0.0,,,1527979119.132,,,,163861.796875,275402.5,29346.48828125
