,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978955.322,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47732C438>,,0.0,,,1527978955.322,,,,562552.1875,128545.5,25676.900390625
1527978965.347,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47733AE80>,,0.0,,,1527978965.347,,,,562552.1875,128545.5,25676.900390625
1527978968.379,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E4C18>,,,,0.0,,,1527978968.379,,,,562521.9375,128852.3671875,25759.240234375
1527978969.432,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E4CC0>,,,,0.0,,,1527978969.432,,,,562458.5625,128879.2265625,25768.26953125
1527978972.573,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4774E4EB8>,,,,0.0,,,1527978972.573,,,,562260.125,129452.09375,25760.25
1527978975.355,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477364F60>,,0.0,,,1527978975.355,,,,562204.875,129482.1953125,25676.87890625
1527978985.335,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773920F0>,,0.0,,,1527978985.335,,,,562204.875,129482.1953125,25676.87890625
1527978995.344,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD6A0>,,0.0,,,1527978995.344,,,,562204.875,129482.1953125,25676.87890625
1527979005.359,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0C18>,,0.0,,,1527979005.359,,,,560488.4375,129821.2265625,25629.87890625
1527979015.39,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499080>,,0.0,,,1527979015.39,,,,561020.4375,127059.1640625,25824.19921875
1527979025.368,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470710>,,0.0,,,1527979025.368,,,,562732.3125,126299.0703125,25732.009765625
1527979035.372,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FBE0>,,0.0,,,1527979035.372,,,,562822.25,126186.140625,25949.05859375
1527979035.816,,,,,,<itemEquip.itemEquip object at 0x000001B476E55940>,,,,,,,0.0,,,1527979035.816,,,,932243.625,638286.0625,150088.0
1527979035.8161,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF128>,,,,,,0.0,,,1527979035.8161,,,,932243.625,638286.0625,150088.0
