,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978976.601,,-59.09699988365173,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DCF828>,,0.0,,,1527978976.601,Foot,,,,797089.125,19488.69921875,528.5
1527978986.597,,-49.1010000705719,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008ECA4E0>,,0.0,,,1527978986.597,Foot,,,,797089.125,19488.69921875,528.5
1527978996.604,,-39.0939998626709,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942D4A8>,,0.0,,,1527978996.604,Foot,,,,797089.125,19488.69921875,528.5
1527979006.613,,-29.085000038146973,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009430A20>,,0.0,,,1527979006.613,Foot,,,,797089.125,19488.69921875,528.5
1527979016.594,,-19.103999853134155,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009436F98>,,0.0,,,1527979016.594,Foot,,,,797089.125,19488.69921875,528.5
1527979026.586,,-9.111999988555908,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943F518>,,0.0,,,1527979026.586,Foot,,,,797089.125,19488.69921875,528.5
1527979035.78,,0.0820000171661377,1,,,,,<itemEquip.itemEquip object at 0x00000160088DBA58>,,,,,,,0.0,,,1527979035.78,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7800999,,0.08209991455078125,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B592E8>,,,,,,0.0,,,1527979035.7800999,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7802,,0.0822000503540039,1,,,,,,,,,,,,0.0,,,1527979035.7802,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x000001600925C400>,932243.625,638286.0625,150088.0
1527979037.182,,1.4839999675750732,1,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094449E8>,,0.0,,,1527979037.182,DummyTransportAircraft_C,,,,929632.125,636966.875,150088.0
1527979047.111,,11.413000106811523,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944AEB8>,,0.0,,,1527979047.111,DummyTransportAircraft_C,,,,798858.1875,570906.4375,150088.0
1527979057.11,,21.411999940872192,1,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094523C8>,,0.0,,,1527979057.11,DummyTransportAircraft_C,,,,669813.8125,505719.8125,150088.0
1527979067.141,,31.443000078201294,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459898>,,0.0,,,1527979067.141,DummyTransportAircraft_C,,,,540217.25,440254.1875,150088.0
1527979076.926,,41.22800016403198,1,,,,,,,,,,,,0.0,,,1527979076.926,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097E2C88>,,414521.15625,376758.875,150088.0
1527979076.931,,41.23300004005432,1,,,,,,,,,,,,0.0,,,1527979076.931,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x000001600969D400>,413807.25,377382.84375,150015.78125
1527979077.164,,41.46600008010864,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600945DD68>,,0.0,,,1527979077.164,ParachutePlayer_C,,,,413081.46875,377016.21875,149955.984375
1527979087.136,,51.437999963760376,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009466278>,,0.0,,,1527979087.136,ParachutePlayer_C,,,,404553.53125,351150.53125,115558.03125
1527979097.115,,61.41700005531311,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946B748>,,0.0,,,1527979097.115,ParachutePlayer_C,,,,411138.65625,335042.65625,54104.609375
1527979107.122,,71.42400002479553,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009470C18>,,0.0,,,1527979107.122,ParachutePlayer_C,,,,414365.625,331406.59375,11121.9140625
1527979114.402,,78.7039999961853,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A432E8>,,,,,0.0,,,1527979114.402,ParachutePlayer_C,,,,417120.15625,323936.9375,818.6682739257812
1527979114.403,,78.70500016212463,0,,,,,,,,,,,,0.0,,,1527979114.403,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160092B5208>,,417120.15625,323936.9375,818.6682739257812
1527979117.151,,81.45300006866455,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094730B8>,,0.0,,,1527979117.151,Foot,,,,416740.21875,324736.5625,666.9500122070312
1527979119.443,,83.74500012397766,0,,,,,<itemEquip.itemEquip object at 0x00000160088EC978>,,,,,,,0.0,,,1527979119.443,Foot,,,,416831.5,325513.03125,710.1099853515625
1527979119.444,,83.74600005149841,0,Item_Weapon_UZI_C,,,,,<itemPickup.itemPickup object at 0x0000016008B6CDD8>,,,,,,0.0,,,1527979119.444,Foot,,,,416831.5,325513.03125,710.1099853515625
1527979119.86,,84.16199994087219,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008B711D0>,,,,,,0.0,,,1527979119.86,Foot,,,,416821.28125,325518.5625,710.1099853515625
1527979120.419,,84.72099995613098,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008B71748>,,,,,,0.0,,,1527979120.419,Foot,,,,416828.5,325514.9375,710.1099853515625
1527979125.107,,89.40900015830994,0,,,,,<itemEquip.itemEquip object at 0x00000160088F0828>,,,,,,,0.0,,,1527979125.107,Foot,,,,416842.5,325847.8125,710.1099853515625
1527979125.1071,,89.40910005569458,0,Item_Head_F_01_Lv2_C,,,,,<itemPickup.itemPickup object at 0x0000016008B75048>,,,,,,0.0,,,1527979125.1071,Foot,,,,416842.5,325847.8125,710.1099853515625
1527979127.07,,91.37199997901917,0,,,,,<itemEquip.itemEquip object at 0x00000160088F0CF8>,,,,,,,0.0,,,1527979127.07,Foot,,,,416675.875,325586.9375,710.1099853515625
1527979127.0700998,,91.37209987640381,0,Item_Back_E_01_Lv1_C,,,,,<itemPickup.itemPickup object at 0x0000016008B79CF8>,,,,,,0.0,,,1527979127.0700998,Foot,,,,416675.875,325586.9375,710.1099853515625
1527979127.128,,91.4300000667572,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947F5F8>,,0.0,,,1527979127.128,Foot,,,,416686.34375,325582.28125,710.1099853515625
1527979129.823,,94.125,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F68A58>,,,,0.0,,,1527979129.823,Foot,,,,417333.90625,324668.875,666.9500122070312
1527979129.889,,94.19099998474121,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F68B00>,,,,0.0,,,1527979129.889,Foot,,,,417348.59375,324648.28125,666.9500122070312
1527979129.953,,94.25500011444092,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F68BA8>,,,,0.0,,,1527979129.953,Foot,,,,417356.59375,324645.0625,666.9500122070312
1527979130.301,,94.60300016403198,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F68DA0>,,,,0.0,,,1527979130.301,Foot,,,,417371.625,324654.5625,666.9500122070312
1527979130.302,,94.60400009155273,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F68E48>,,,,0.0,,,1527979130.302,Foot,,,,417371.625,324654.5625,666.9500122070312
1527979130.303,,94.60500001907349,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F68EF0>,,,,0.0,,,1527979130.303,Foot,,,,417371.625,324654.5625,666.9500122070312
1527979131.668,,95.97000002861023,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F6C908>,,,,0.0,,,1527979131.668,Foot,,,,417311.0,324294.75,666.9500122070312
1527979131.729,,96.0310001373291,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x0000016009850D30>,0.0,,,1527979131.729,Foot,,,,417307.78125,324281.90625,666.9500122070312
1527979131.736,,96.03800010681152,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F6CA58>,,,,0.0,,,1527979131.736,Foot,,,,417303.84375,324265.9375,666.9500122070312
1527979131.752,,96.05400013923645,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F6CB00>,,,,0.0,,,1527979131.752,Foot,,,,417300.0625,324250.78125,666.9500122070312
1527979131.827,,96.12899994850159,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F6CC50>,,,,0.0,,,1527979131.827,Foot,,,,417297.90625,324242.21875,666.9500122070312
1527979131.911,,96.21300005912781,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F6CCF8>,,,,0.0,,,1527979131.911,Foot,,,,417296.125,324235.15625,666.9500122070312
1527979131.92,,96.22200012207031,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x0000016009850128>,0.0,,,1527979131.92,Foot,,,,417295.40625,324232.5,666.9500122070312
1527979131.924,,96.2260000705719,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F6CE48>,,,,0.0,,,1527979131.924,Foot,,,,417295.40625,324232.5,666.9500122070312
1527979131.985,,96.28699994087219,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F6CEF0>,,,,0.0,,,1527979131.985,Foot,,,,417295.71875,324234.03125,666.9500122070312
1527979132.057,,96.35899996757507,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x0000016009854160>,0.0,,,1527979132.057,Foot,,,,417295.71875,324234.03125,666.9500122070312
1527979132.071,,96.3730001449585,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F6C080>,,,,0.0,,,1527979132.071,Foot,,,,417295.71875,324234.03125,666.9500122070312
1527979132.094,,96.39600014686584,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F70198>,,,,0.0,,,1527979132.094,Foot,,,,417295.71875,324234.03125,666.9500122070312
1527979132.172,,96.47399997711182,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F70278>,,,,0.0,,,1527979132.172,Foot,,,,417295.71875,324234.03125,666.9500122070312
1527979132.193,,96.49500012397766,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F70320>,,,,0.0,,,1527979132.193,Foot,,,,417295.71875,324234.03125,666.9500122070312
1527979137.14,,101.44200015068054,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009484A90>,,0.0,,,1527979137.14,Foot,,,,417295.71875,324234.03125,666.9500122070312
1527979192.12,,156.42199993133545,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A5C208>,,,,,0.0,,,1527979192.12,Foot,,,,417295.71875,324234.03125,666.9500122070312
1527979192.121,,156.42300009727478,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A5C2B0>,,,,,0.0,,,1527979192.121,Foot,,,,417295.71875,324234.03125,666.9500122070312
1527979192.1211,,156.42309999465942,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A5C080>,,,,,0.0,,,1527979192.1211,Foot,,,,417295.71875,324234.03125,666.9500122070312
