,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978959.539,,-76.15899991989136,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D99828>,,0.0,,,1527978959.539,Foot,,,,343502.59375,170953.625,1530.330322265625
1527978969.528,,-66.16999983787537,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DA8908>,,0.0,,,1527978969.528,Foot,,,,344310.4375,170965.0,1453.429931640625
1527978979.515,,-56.18299984931946,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DDCA58>,,0.0,,,1527978979.515,Foot,,,,348218.6875,171093.09375,2041.1199951171875
1527978989.516,,-46.181999921798706,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008F32898>,,0.0,,,1527978989.516,Foot,,,,350890.59375,172232.71875,2251.510009765625
1527978999.554,,-36.14400005340576,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942D940>,,0.0,,,1527978999.554,Foot,,,,355153.90625,174586.640625,3003.18994140625
1527979009.52,,-26.17799997329712,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009430EF0>,,0.0,,,1527979009.52,Foot,,,,360800.125,175588.4375,3523.909912109375
1527979019.526,,-16.17199993133545,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943B4A8>,,0.0,,,1527979019.526,Foot,,,,364210.875,171796.0625,2824.530029296875
1527979025.561,,-10.13699984550476,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F565C0>,,,,0.0,,,1527979025.561,Foot,,,,365136.1875,169699.75,2464.8798828125
1527979026.167,,-9.530999898910522,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F56710>,,,,0.0,,,1527979026.167,Foot,,,,365137.84375,169699.796875,2464.8798828125
1527979029.538,,-6.159999847412109,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943F9E8>,,0.0,,,1527979029.538,Foot,,,,365219.0625,168485.75,2367.22998046875
1527979035.74,,0.04200005531311035,1,,,,,<itemEquip.itemEquip object at 0x00000160088D63C8>,,,,,,,0.0,,,1527979035.74,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7401,,0.042099952697753906,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B56908>,,,,,,0.0,,,1527979035.7401,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7402,,0.04220008850097656,1,,,,,,,,,,,,0.0,,,1527979035.7402,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009343A20>,932243.625,638286.0625,150088.0
1527979040.064,,4.365999937057495,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009444EB8>,,0.0,,,1527979040.064,DummyTransportAircraft_C,,,,889958.625,616925.75,150088.0
1527979050.054,,14.355999946594238,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944F3C8>,,0.0,,,1527979050.054,DummyTransportAircraft_C,,,,761848.1875,552210.875,150088.0
1527979060.051,,24.353000164031982,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009452898>,,0.0,,,1527979060.051,DummyTransportAircraft_C,,,,632332.0,486785.90625,150088.0
1527979070.053,,34.355000019073486,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459D68>,,0.0,,,1527979070.053,DummyTransportAircraft_C,,,,502823.5625,421364.8125,150088.0
1527979074.926,,39.22800016403198,1,,,,,,,,,,,,0.0,,,1527979074.926,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097E2828>,,440303.4375,389782.8125,150088.0
1527979074.931,,39.23300004005432,1,,,,,,,,,,,,0.0,,,1527979074.931,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x000001600928DF60>,441179.78125,390475.78125,150015.78125
1527979080.051,,44.35300016403198,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009461278>,,0.0,,,1527979080.051,ParachutePlayer_C,,,,431571.15625,392118.65625,130327.9296875
1527979090.098,,54.40000009536743,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009466748>,,0.0,,,1527979090.098,ParachutePlayer_C,,,,417181.125,416015.21875,89084.9296875
1527979100.141,,64.4430000782013,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946BC18>,,0.0,,,1527979100.141,ParachutePlayer_C,,,,401401.78125,440782.46875,49070.46484375
1527979110.155,,74.45700001716614,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009470080>,,0.0,,,1527979110.155,ParachutePlayer_C,,,,391538.71875,458135.3125,22674.5078125
1527979120.113,,84.41499996185303,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947B5F8>,,0.0,,,1527979120.113,ParachutePlayer_C,,,,385999.875,471546.65625,5553.75
1527979123.082,,87.3840000629425,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A47400>,,,,,0.0,,,1527979123.082,ParachutePlayer_C,,,,384217.9375,473287.8125,2525.19287109375
1527979123.0821,,87.38409996032715,0,,,,,,,,,,,,0.0,,,1527979123.0821,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160092B5978>,,384217.9375,473287.8125,2525.19287109375
1527979128.049,,92.3510000705719,0,,,,,<itemEquip.itemEquip object at 0x00000160088F0F28>,,,,,,,0.0,,,1527979128.049,Foot,,,,382693.9375,473596.71875,2321.77001953125
1527979128.05,,92.35199999809265,0,Item_Weapon_Molotov_C,,,,,<itemPickup.itemPickup object at 0x0000016008B7F278>,,,,,,0.0,,,1527979128.05,Foot,,,,382693.9375,473596.71875,2321.77001953125
1527979128.876,,93.17799997329712,0,Item_Boost_EnergyDrink_C,,,,,<itemPickup.itemPickup object at 0x0000016008B7F7B8>,,,,,,0.0,,,1527979128.876,Foot,,,,382706.5625,473631.75,2321.77001953125
1527979130.138,,94.44000005722046,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947FAC8>,,0.0,,,1527979130.138,Foot,,,,382719.1875,473890.34375,2321.77001953125
1527979130.86,,95.16199994087219,0,,,,,<itemEquip.itemEquip object at 0x00000160088F5588>,,,,,,,0.0,,,1527979130.86,Foot,,,,382714.78125,473872.15625,2321.77001953125
1527979130.8600998,,95.16209983825684,0,Item_Back_C_02_Lv3_C,,,,,<itemPickup.itemPickup object at 0x0000016008B83438>,,,,,,0.0,,,1527979130.8600998,Foot,,,,382714.78125,473872.15625,2321.77001953125
1527979132.015,,96.31700015068054,0,Item_Attach_Weapon_Lower_AngledForeGrip_C,,,,,<itemPickup.itemPickup object at 0x0000016008B83B38>,,,,,,0.0,,,1527979132.015,Foot,,,,382484.84375,473878.21875,2321.77001953125
1527979132.96,,97.26200008392334,0,Item_Attach_Weapon_Stock_Shotgun_BulletLoops_C,,,,,<itemPickup.itemPickup object at 0x0000016008B83E48>,,,,,,0.0,,,1527979132.96,Foot,,,,382258.3125,473751.1875,2321.77001953125
1527979133.643,,97.9449999332428,0,Item_Boost_AdrenalineSyringe_C,,,,,<itemPickup.itemPickup object at 0x0000016008B87438>,,,,,,0.0,,,1527979133.643,Foot,,,,382258.3125,473751.1875,2321.77001953125
1527979140.072,,104.37400007247925,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009484EF0>,,0.0,,,1527979140.072,Foot,,,,382306.625,473167.3125,2321.77001953125
1527979142.061,,106.36300015449524,0,Item_Heal_Bandage_C,,,,,<itemPickup.itemPickup object at 0x0000016008B955F8>,,,,,,0.0,,,1527979142.061,Foot,,,,382423.875,473092.4375,2321.77001953125
1527979144.414,,108.71600008010864,0,Item_Heal_Bandage_C,,,,,<itemPickup.itemPickup object at 0x0000016008B99518>,,,,,,0.0,,,1527979144.414,Foot,,,,383117.90625,473673.75,2321.77001953125
1527979148.175,,112.47699999809265,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A51AC8>,,,,,0.0,,,1527979148.175,Foot,,,,383126.90625,473326.46875,2431.829833984375
1527979148.1750998,,112.4770998954773,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F797B8>,,,,0.0,,,1527979148.1750998,Foot,,,,383126.90625,473326.46875,2431.829833984375
1527979150.07,,114.37199997901917,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600948E2B0>,,0.0,,,1527979150.07,Foot,,,,382584.40625,473483.3125,2670.780029296875
1527979152.55,,116.85199999809265,0,Item_Attach_Weapon_Muzzle_FlashHider_Large_C,,,,,<itemPickup.itemPickup object at 0x0000016008BA2898>,,,,,,0.0,,,1527979152.55,Foot,,,,382422.875,473120.21875,2670.780029296875
1527979155.598,,119.90000009536743,0,Item_Attach_Weapon_Upper_Holosight_C,,,,,<itemPickup.itemPickup object at 0x0000016008BA66D8>,,,,,,0.0,,,1527979155.598,Foot,,,,382097.9375,473197.28125,2670.780029296875
1527979156.299,,120.6010000705719,0,,,,,<itemEquip.itemEquip object at 0x00000160086C93C8>,,,,,,,0.0,,,1527979156.299,Foot,,,,382097.9375,473197.28125,2670.780029296875
1527979156.2991,,120.60109996795654,0,Item_Weapon_Crossbow_C,,,,,<itemPickup.itemPickup object at 0x0000016008BA6908>,,,,,,0.0,,,1527979156.2991,Foot,,,,382097.9375,473197.28125,2670.780029296875
1527979156.943,,121.24500012397766,0,,<itemAttach.itemAttach object at 0x00000160086370F0>,,,,,,,,,,0.0,,,1527979156.943,Foot,,,,382097.9375,473197.28125,2670.780029296875
1527979156.9431,,121.2451000213623,0,Item_Attach_Weapon_Lower_QuickDraw_Large_Crossbow_C,,,,,<itemPickup.itemPickup object at 0x0000016008BA6BA8>,,,,,,0.0,,,1527979156.9431,Foot,,,,382097.9375,473197.28125,2670.780029296875
1527979157.544,,121.84599995613098,0,Item_Ammo_Bolt_C,,,,,<itemPickup.itemPickup object at 0x0000016008BA6F98>,,,,,,0.0,,,1527979157.544,Foot,,,,382097.9375,473197.28125,2670.780029296875
1527979159.41,,123.71200013160706,0,Item_Attach_Weapon_Magazine_Extended_Large_C,,,,,<itemPickup.itemPickup object at 0x0000016008BADD68>,,,,,,0.0,,,1527979159.41,Foot,,,,382109.90625,473443.03125,2670.780029296875
1527979160.057,,124.35899996757507,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009493588>,,0.0,,,1527979160.057,Foot,,,,382074.0,473391.46875,2670.780029296875
1527979165.046,,129.34800004959106,0,Item_Attach_Weapon_Upper_Scope6x_C,,,,,<itemPickup.itemPickup object at 0x0000016008BB6358>,,,,,,0.0,,,1527979165.046,Foot,,,,383179.1875,473808.1875,2670.780029296875
1527979165.593,,129.8949999809265,0,Item_Attach_Weapon_Upper_DotSight_01_C,,,,,<itemPickup.itemPickup object at 0x0000016008BB6518>,,,,,,0.0,,,1527979165.593,Foot,,,,383179.1875,473808.1875,2670.780029296875
1527979165.905,,130.20700001716614,0,Item_Boost_EnergyDrink_C,,,,,<itemPickup.itemPickup object at 0x0000016008BB67B8>,,,,,,0.0,,,1527979165.905,Foot,,,,383179.1875,473808.1875,2670.780029296875
1527979170.091,,134.393000125885,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094967B8>,,0.0,,,1527979170.091,Foot,,,,383310.46875,473391.65625,2670.780029296875
1527979180.075,,144.37700009346008,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600949D9B0>,,0.0,,,1527979180.075,Foot,,,,383084.9375,474656.15625,2340.389892578125
1527979182.474,,146.77600002288818,0,,<itemAttach.itemAttach object at 0x000001600863CD30>,,,,,,,,,,0.0,,,1527979182.474,Foot,,,,382951.28125,474724.0625,2293.679931640625
1527979190.058,,154.3600001335144,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A1B00>,,0.0,,,1527979190.058,Foot,,,,380102.75,474690.34375,2264.35986328125
1527979191.158,,155.46000003814697,0,Item_Heal_FirstAid_C,,,,,<itemPickup.itemPickup object at 0x0000016008BD52E8>,,,,,,0.0,,,1527979191.158,Foot,,,,380046.78125,474448.1875,2264.35986328125
1527979194.287,,158.58899998664856,0,Item_Attach_Weapon_Lower_AngledForeGrip_C,,,,,<itemPickup.itemPickup object at 0x0000016008BA94A8>,,,,,,0.0,,,1527979194.287,Foot,,,,379613.34375,474675.1875,2264.35986328125
1527979194.536,,158.8380000591278,0,Item_Attach_Weapon_Magazine_Extended_Large_C,,,,,<itemPickup.itemPickup object at 0x0000016008BA96D8>,,,,,,0.0,,,1527979194.536,Foot,,,,379613.34375,474675.1875,2264.35986328125
1527979200.09,,164.39199995994568,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A6BE0>,,0.0,,,1527979200.09,Foot,,,,380124.625,474355.03125,2264.35986328125
1527979202.275,,166.5770001411438,0,,,,,<itemEquip.itemEquip object at 0x00000160089133C8>,,,,,,,0.0,,,1527979202.275,Foot,,,,380877.5,474200.75,2264.35986328125
1527979202.276,,166.57800006866455,0,Item_Weapon_M9_C,,,,,<itemPickup.itemPickup object at 0x0000016008BE1978>,,,,,,0.0,,,1527979202.276,Foot,,,,380877.5,474200.75,2264.35986328125
1527979202.775,,167.0770001411438,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BE1BA8>,,,,,,0.0,,,1527979202.775,Foot,,,,380877.5,474200.5,2264.35986328125
1527979204.528,,168.83000016212463,0,Item_Attach_Weapon_Lower_ThumbGrip_C,,,,,<itemPickup.itemPickup object at 0x0000016008BE64A8>,,,,,,0.0,,,1527979204.528,Foot,,,,380642.0625,473903.5,2264.35986328125
1527979207.946,,172.2480001449585,0,,,,,<itemEquip.itemEquip object at 0x0000016008913908>,,,,,,,0.0,,,1527979207.946,Foot,,,,380915.75,474652.9375,2264.320068359375
1527979207.9461,,172.24810004234314,0,Item_Weapon_M16A4_C,,,,,<itemPickup.itemPickup object at 0x0000016008BE6C88>,,,,,,0.0,,,1527979207.9461,Foot,,,,380915.75,474652.9375,2264.320068359375
1527979208.725,,173.02699995040894,0,Item_Ammo_556mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BE6F98>,,,,,,0.0,,,1527979208.725,Foot,,,,380915.75,474652.9375,2264.320068359375
1527979208.987,,173.28900003433228,0,Item_Ammo_556mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BEB208>,,,,,,0.0,,,1527979208.987,Foot,,,,380915.75,474652.9375,2264.320068359375
1527979210.089,,174.39100003242493,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094AAC50>,,0.0,,,1527979210.089,Foot,,,,380915.75,474652.9375,2264.320068359375
1527979210.781,,175.0829999446869,0,,<itemAttach.itemAttach object at 0x00000160086496A0>,,,,,,,,,,0.0,,,1527979210.781,Foot,,,,380915.75,474652.9375,2264.320068359375
1527979211.593,,175.8949999809265,0,,<itemAttach.itemAttach object at 0x0000016008649160>,,,,,,,,,,0.0,,,1527979211.593,Foot,,,,380915.75,474652.9375,2264.320068359375
1527979212.652,,176.9539999961853,0,,<itemAttach.itemAttach object at 0x0000016008649978>,,,,,,,,,,0.0,,,1527979212.652,Foot,,,,380915.75,474652.9375,2264.320068359375
1527979220.102,,184.40400004386902,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094B0C88>,,0.0,,,1527979220.102,Foot,,,,380280.28125,474085.90625,2664.35986328125
1527979225.311,,189.61300015449524,0,,,<itemDetach.itemDetach object at 0x000001600873A470>,,,,,,,,,0.0,,,1527979225.311,Foot,,,,380020.9375,474450.5,2664.35986328125
1527979226.433,,190.7350001335144,0,Item_Ammo_Bolt_C,,,,,<itemPickup.itemPickup object at 0x0000016008BFEC88>,,,,,,0.0,,,1527979226.433,Foot,,,,380020.9375,474450.5,2664.35986328125
1527979226.434,,190.73600006103516,0,,,,<itemDrop.itemDrop object at 0x0000016008821C18>,,,,,,,,0.0,,,1527979226.434,Foot,,,,380020.9375,474450.5,2664.35986328125
1527979226.4341,,190.7360999584198,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A68198>,,,,,0.0,,,1527979226.4341,Foot,,,,380020.9375,474450.5,2664.35986328125
1527979228.471,,192.77300000190735,0,,<itemAttach.itemAttach object at 0x00000160086508D0>,,,,,,,,,,0.0,,,1527979228.471,Foot,,,,380020.9375,474450.5,2664.35986328125
1527979228.4710999,,192.773099899292,0,,,<itemDetach.itemDetach object at 0x000001600873A518>,,,,,,,,,0.0,,,1527979228.4710999,Foot,,,,380020.9375,474450.5,2664.35986328125
1527979230.048,,194.35000014305115,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094B5C18>,,0.0,,,1527979230.048,Foot,,,,380020.9375,474450.5,2664.35986328125
1527979230.408,,194.71000003814697,0,,,,,<itemEquip.itemEquip object at 0x000001600891D208>,,,,,,,0.0,,,1527979230.408,Foot,,,,380020.9375,474450.5,2664.35986328125
