,armorDestroy,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978969.902,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EBEEF0>,,,,1527978969.902,,,,562477.3125,128967.5,25676.87890625
1527978979.909,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EE37F0>,,,,1527978979.909,,,,562477.3125,128967.5,25676.87890625
1527978989.879,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA01F0B8>,,,,1527978989.879,,,,562477.3125,128967.5,25676.87890625
1527978999.934,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4C7EB8>,,,,1527978999.934,,,,562477.3125,128967.5,25676.87890625
1527979009.875,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4D14A8>,,,,1527979009.875,,,,562477.3125,128967.5,25676.87890625
1527979019.895,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4D5A20>,,,,1527979019.895,,,,562477.3125,128967.5,25676.87890625
1527979029.884,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4DAF60>,,,,1527979029.884,,,,562477.3125,128967.5,25676.87890625
1527979035.851,,,,,<itemEquip.itemEquip object at 0x00000184B99BF080>,,,,,,,,,1527979035.851,,,,932243.625,638286.0625,150088.0
1527979035.8511,,,,,,<itemPickup.itemPickup object at 0x00000184B9C3C7B8>,,,,,,,,1527979035.8511,,,,932243.625,638286.0625,150088.0
1527979035.8512,,,,,,,,,,,,,,1527979035.8512,,,<vehicleRide.vehicleRide object at 0x00000184BA2CC978>,932243.625,638286.0625,150088.0
1527979040.43,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4E5470>,,,,1527979040.43,,,,885836.4375,614843.4375,150088.0
1527979050.42,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9C5B940>,,,,1527979050.42,,,,757000.0,549761.8125,150088.0
1527979060.431,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4EDE10>,,,,1527979060.431,,,,627370.6875,484279.6875,150088.0
1527979070.405,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4F6320>,,,,1527979070.405,,,,498277.71875,419068.4375,150088.0
1527979080.414,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4FB7F0>,,,,1527979080.414,,,,369051.0,353789.65625,150088.0
1527979090.186,,,,,,,,,,,,,,1527979090.186,,<vehicleLeave.vehicleLeave object at 0x00000184BA7C8A90>,,243889.8125,290564.59375,150088.0
1527979090.189,,,,,,,,,,,,,,1527979090.189,,,<vehicleRide.vehicleRide object at 0x00000184BA7531D0>,243653.703125,289838.21875,150015.78125
1527979090.459,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA500CC0>,,,,1527979090.459,,,,242804.671875,289409.34375,149932.71875
1527979100.421,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA5060B8>,,,,1527979100.421,,,,228164.0625,282681.0,96949.9453125
1527979110.427,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA50F6A0>,,,,1527979110.427,,,,226826.0,281927.9375,33359.5625
1527979120.485,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA514B70>,,,,1527979120.485,,,,218234.6875,277111.65625,6797.9033203125
1527979127.668,,,,,,,<itemUnequip.itemUnequip object at 0x00000184B9B262B0>,,,,,,,1527979127.668,,,,212471.5,272498.46875,1597.58935546875
1527979127.6680999,,,,,,,,,,,,,,1527979127.6680999,,<vehicleLeave.vehicleLeave object at 0x00000184BA84F048>,,212471.5,272498.46875,1597.58935546875
1527979129.981,,,,,,<itemPickup.itemPickup object at 0x00000184B9C613C8>,,,,,,,,1527979129.981,,,,212731.3125,272906.4375,1445.8900146484375
1527979130.487,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA519208>,,,,1527979130.487,,,,212784.71875,272946.40625,1445.8900146484375
1527979133.052,,,,,,<itemPickup.itemPickup object at 0x00000184B9C65438>,,,,,,,,1527979133.052,,,,211715.296875,272676.3125,1445.8599853515625
1527979136.341,,,,,<itemEquip.itemEquip object at 0x00000184B99D92B0>,,,,,,,,,1527979136.341,,,,210814.9375,272781.5625,1440.3499755859375
1527979136.342,,,,,,<itemPickup.itemPickup object at 0x00000184B9C650F0>,,,,,,,,1527979136.342,,,,210814.9375,272781.5625,1440.3499755859375
1527979137.002,,,,,,<itemPickup.itemPickup object at 0x00000184B9C6A588>,,,,,,,,1527979137.002,,,,210722.0,272781.3125,1440.3499755859375
1527979137.59,,,,,,<itemPickup.itemPickup object at 0x00000184B9C6A828>,,,,,,,,1527979137.59,,,,210722.0,272781.3125,1440.3499755859375
1527979140.487,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA5234A8>,,,,1527979140.487,,,,210722.0,272781.3125,1440.3499755859375
1527979145.44,,,,,,<itemPickup.itemPickup object at 0x00000184B9C78160>,,,,,,,,1527979145.44,,,,210722.0,272781.3125,1440.3499755859375
1527979145.958,,,,,,<itemPickup.itemPickup object at 0x00000184B9C7C278>,,,,,,,,1527979145.958,,,,210722.0,272781.3125,1440.3499755859375
1527979147.116,,<itemAttach.itemAttach object at 0x00000184B93160F0>,,,,,,,,,,,,1527979147.116,,,,210722.0,272781.3125,1440.3499755859375
1527979147.117,,,,,,<itemPickup.itemPickup object at 0x00000184B9C7C748>,,,,,,,,1527979147.117,,,,210722.0,272781.3125,1440.3499755859375
1527979150.431,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA529828>,,,,1527979150.431,,,,211654.9375,272775.0625,1445.8199462890625
1527979160.457,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA52DB00>,,,,1527979160.457,,,,215623.609375,272049.625,1147.179931640625
1527979170.475,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA532D30>,,,,1527979170.475,,,,215429.515625,272414.5625,1445.8499755859375
1527979171.609,,,,,<itemEquip.itemEquip object at 0x00000184B99EA240>,,,,,,,,,1527979171.609,,,,215293.890625,272497.625,1445.8499755859375
1527979171.6090999,,,,,,<itemPickup.itemPickup object at 0x00000184B9C9C748>,,,,,,,,1527979171.6090999,,,,215293.890625,272497.625,1445.8499755859375
1527979175.576,,,,,<itemEquip.itemEquip object at 0x00000184B99EA710>,,,,,,,,,1527979175.576,,,,214391.234375,272674.9375,1445.8599853515625
1527979175.5760999,,,,,,<itemPickup.itemPickup object at 0x00000184B9CA25F8>,,,,,,,,1527979175.5760999,,,,214391.234375,272674.9375,1445.8599853515625
1527979176.328,,,,,,<itemPickup.itemPickup object at 0x00000184B9CA2908>,,,,,,,,1527979176.328,,,,214410.875,272674.625,1445.8599853515625
1527979180.433,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA537F28>,,,,1527979180.433,,,,214410.875,272674.625,1417.8599853515625
1527979182.152,,,,,,<itemPickup.itemPickup object at 0x00000184B9CAB438>,,,,,,,,1527979182.152,,,,214410.875,272674.625,1417.8599853515625
