,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978954.241,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B476B21A90>,,0.0,,,1527978954.241,,,,562124.4375,129113.1953125,25676.87890625
1527978964.282,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773386A0>,,0.0,,,1527978964.282,,,,562124.4375,129113.1953125,25676.87890625
1527978974.266,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47735CDA0>,,0.0,,,1527978974.266,,,,562124.4375,129113.1953125,25676.87890625
1527978984.281,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773924E0>,,0.0,,,1527978984.281,,,,562124.4375,129113.1953125,25676.87890625
1527978994.252,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD240>,,0.0,,,1527978994.252,,,,562124.4375,129113.1953125,25676.87890625
1527979004.289,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B07B8>,,0.0,,,1527979004.289,,,,562124.4375,129113.1953125,25676.87890625
1527979014.366,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499D30>,,0.0,,,1527979014.366,,,,562124.4375,129113.1953125,25676.87890625
1527979024.266,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774702B0>,,0.0,,,1527979024.266,,,,562124.4375,129113.1953125,25676.87890625
1527979034.303,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F780>,,0.0,,,1527979034.303,,,,562124.4375,129113.1953125,25676.87890625
1527979035.804,,,,,,<itemEquip.itemEquip object at 0x000001B476E556D8>,,,,,,,0.0,,,1527979035.804,,,,932243.625,638286.0625,150088.0
1527979035.8040998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CFE80>,,,,,,0.0,,,1527979035.8040998,,,,932243.625,638286.0625,150088.0
1527979035.8042,,,,,,,,,,,,,0.0,,,1527979035.8042,,,<vehicleRide.vehicleRide object at 0x000001B477873080>,932243.625,638286.0625,150088.0
1527979044.798,,9.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738AC50>,,0.0,,,1527979044.798,,,,825468.5625,584348.75,150088.0
1527979054.793,,19.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E080>,,0.0,,,1527979054.793,,,,698363.625,520141.78125,150088.0
1527979064.797,,28.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456630>,,0.0,,,1527979064.797,,,,569509.3125,455051.0625,150088.0
1527979074.814,,38.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441B00>,,0.0,,,1527979074.814,,,,441453.3125,390363.71875,150088.0
1527979076.439,,,,,,,,,,,,,0.0,,,1527979076.439,,<vehicleLeave.vehicleLeave object at 0x000001B4777D21D0>,,420713.625,379887.0625,150088.0
1527979076.442,,,,,,,,,,,,,0.0,,,1527979076.442,,,<vehicleRide.vehicleRide object at 0x000001B477B6B8D0>,418928.90625,379792.25,150015.78125
1527979084.799,,48.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742FFD0>,,0.0,,,1527979084.799,,,,413211.875,368785.6875,111027.2421875
1527979094.858,,58.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D4E0>,,0.0,,,1527979094.858,,,,417033.46875,343559.75,60616.4453125
1527979104.846,,67.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779339B0>,,0.0,,,1527979104.846,,,,418643.125,338193.125,14439.9560546875
1527979113.999,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB4630>,,,,,0.0,,,1527979113.999,,,,422111.53125,327336.1875,908.4812622070312
1527979113.9991,,,,,,,,,,,,,0.0,,,1527979113.9991,,<vehicleLeave.vehicleLeave object at 0x000001B4778076D8>,,422111.53125,327336.1875,908.4812622070312
