,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978965.992,,-69.7059998512268,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DA1358>,,0.0,,,1527978965.992,Foot,,,,797125.0625,19969.880859375,528.5347290039062
1527978975.976,,-59.72199988365173,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DCFC50>,,0.0,,,1527978975.976,Foot,,,,796246.6875,19784.759765625,528.5299682617188
1527978985.99,,-49.70799994468689,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008E156D8>,,0.0,,,1527978985.99,Foot,,,,795311.5625,17585.759765625,528.5299682617188
1527978995.983,,-39.71499991416931,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942D358>,,0.0,,,1527978995.983,Foot,,,,793951.125,17612.689453125,532.489990234375
1527979006.004,,-29.694000005722046,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094308D0>,,0.0,,,1527979006.004,Foot,,,,793062.4375,19085.740234375,872.22998046875
1527979010.056,,-25.64199995994568,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F51908>,,,,0.0,,,1527979010.056,Foot,,,,794720.8125,20283.759765625,526.3200073242188
1527979011.428,,-24.269999980926514,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F51B00>,,,,0.0,,,1527979011.428,Foot,,,,794811.0,20298.359375,526.3200073242188
1527979012.393,,-23.305000066757202,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F51BA8>,,,,0.0,,,1527979012.393,Foot,,,,794844.0,20280.369140625,526.3200073242188
1527979013.231,,-22.467000007629395,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F51C50>,,,,0.0,,,1527979013.231,Foot,,,,794850.0625,20271.638671875,526.3200073242188
1527979014.062,,-21.63599991798401,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F51CF8>,,,,0.0,,,1527979014.062,Foot,,,,794836.9375,20264.548828125,526.3200073242188
