,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978972.864,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773599E8>,,0.0,,,1527978972.864,,,,794871.6875,20625.419921875,526.3200073242188
1527978982.903,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773844A8>,,0.0,,,1527978982.903,,,,794871.6875,20625.419921875,526.3200073242188
1527978992.877,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477744F28>,,0.0,,,1527978992.877,,,,794871.6875,20625.419921875,526.3200073242188
1527979002.893,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B04E0>,,0.0,,,1527979002.893,,,,794871.6875,20625.419921875,526.3200073242188
1527979012.901,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499A90>,,0.0,,,1527979012.901,,,,794871.6875,20625.419921875,526.3200073242188
1527979022.892,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480FD0>,,0.0,,,1527979022.892,,,,794871.6875,20625.419921875,526.3200073242188
1527979032.862,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F4E0>,,0.0,,,1527979032.862,,,,794871.6875,20625.419921875,526.3200073242188
1527979035.768,,,,,,<itemEquip.itemEquip object at 0x000001B476E51CC0>,,,,,,,0.0,,,1527979035.768,,,,932243.625,638286.0625,150088.0
1527979035.7680998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF5C0>,,,,,,0.0,,,1527979035.7680998,,,,932243.625,638286.0625,150088.0
1527979035.7682,,,,,,,,,,,,,0.0,,,1527979035.7682,,,<vehicleRide.vehicleRide object at 0x000001B477873780>,932243.625,638286.0625,150088.0
1527979043.399,,7.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A9B0>,,0.0,,,1527979043.399,,,,847029.0625,595240.0,150088.0
1527979053.392,,17.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736EE80>,,0.0,,,1527979053.392,,,,715907.75,529004.125,150088.0
1527979060.979,,,,,,,,,,,,,0.0,,,1527979060.979,,<vehicleLeave.vehicleLeave object at 0x000001B476F90978>,,620209.375,480662.1875,150088.0
1527979060.986,,,,,,,,,,,,,0.0,,,1527979060.986,,,<vehicleRide.vehicleRide object at 0x000001B477B60780>,620526.5625,482459.59375,150015.78125
1527979063.414,,27.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456390>,,0.0,,,1527979063.414,,,,615963.875,480154.53125,141300.578125
1527979073.421,,37.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441860>,,0.0,,,1527979073.421,,,,613787.5625,479115.40625,76638.53125
1527979083.41,,47.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742FD30>,,0.0,,,1527979083.41,,,,613541.75,479023.5,18421.849609375
1527979093.439,,56.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D240>,,0.0,,,1527979093.439,,,,604652.5,469248.5625,2609.554443359375
1527979094.943,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FA5C50>,,,,,0.0,,,1527979094.943,,,,604197.875,468508.15625,1602.869140625
1527979094.9431,,,,,,,,,,,,,0.0,,,1527979094.9431,,<vehicleLeave.vehicleLeave object at 0x000001B4777E6358>,,604197.875,468508.15625,1602.869140625
1527979096.594,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D2128>,,,,,,0.0,,,1527979096.594,,,,604086.0,468629.1875,1423.1500244140625
1527979096.876,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D2160>,,,,,,0.0,,,1527979096.876,,,,604086.0,468629.1875,1423.1500244140625
1527979097.166,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D2080>,,,,,,0.0,,,1527979097.166,,,,604086.0,468629.1875,1423.1500244140625
1527979099.776,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D72B0>,,,,,,0.0,,,1527979099.776,,,,604471.0,467843.1875,1451.1500244140625
1527979103.424,,66.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933710>,,0.0,,,1527979103.424,,,,604350.25,467335.625,1276.699951171875
1527979105.666,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D7EF0>,,,,,,0.0,,,1527979105.666,,,,604486.8125,468091.1875,1073.1500244140625
1527979106.418,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D7048>,,,,,,0.0,,,1527979106.418,,,,604473.0,468092.15625,1073.1500244140625
1527979113.468,,75.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936BE0>,,0.0,,,1527979113.468,,,,604715.125,468138.0625,1200.5599365234375
1527979118.245,,,,,,<itemEquip.itemEquip object at 0x000001B476E60CF8>,,,,,,,0.0,,,1527979118.245,,,,604361.9375,467655.71875,723.1499633789062
1527979118.2450998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DFE10>,,,,,,0.0,,,1527979118.2450998,,,,604361.9375,467655.71875,723.1499633789062
1527979118.751,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DF080>,,,,,,0.0,,,1527979118.751,,,,604361.9375,467655.71875,723.1499633789062
1527979119.661,,,<itemAttach.itemAttach object at 0x000001B476BAD1D0>,,,,,,,,,,0.0,,,1527979119.661,,,,604361.9375,467655.71875,723.1499633789062
1527979120.318,,,,,,,<itemPickup.itemPickup object at 0x000001B4770E5A90>,,,,,,0.0,,,1527979120.318,,,,604361.9375,467655.71875,723.1499633789062
1527979123.475,,85.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C080>,,0.0,,,1527979123.475,,,,604009.8125,467994.4375,756.2099609375
1527979130.603,,,,,<itemDrop.itemDrop object at 0x000001B476D8AB38>,,,,,,,,0.0,,,1527979130.603,,,,603797.4375,468511.5625,751.1499633789062
1527979133.491,,,,,,,<itemPickup.itemPickup object at 0x000001B4770FD7F0>,,,,,,0.0,,,1527979133.491,,,,603893.75,467983.1875,728.2099609375
1527979133.492,,95.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779465C0>,,0.0,,,1527979133.492,,,,603893.75,467983.1875,728.2099609375
1527979143.453,,104.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794C9E8>,,0.0,,,1527979143.453,,,,600189.625,467481.28125,630.5299682617188
1527979147.341,,,,,,<itemEquip.itemEquip object at 0x000001B476E73BA8>,,,,,,,0.0,,,1527979147.341,,,,599869.25,468108.90625,666.7000122070312
1527979147.342,,,,,,,<itemPickup.itemPickup object at 0x000001B477112A20>,,,,,,0.0,,,1527979147.342,,,,599869.25,468108.90625,666.7000122070312
1527979153.451,,114.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477951D68>,,0.0,,,1527979153.451,,,,600219.0625,467844.1875,694.7000122070312
1527979158.405,,,,,,<itemEquip.itemEquip object at 0x000001B476E77EB8>,,,,,,,0.0,,,1527979158.405,,,,598831.25,467939.5,666.7000122070312
1527979158.4050999,,,,,,,<itemPickup.itemPickup object at 0x000001B47711FD30>,,,,,,0.0,,,1527979158.4050999,,,,598831.25,467939.5,666.7000122070312
1527979158.934,,,,,,,<itemPickup.itemPickup object at 0x000001B47711F048>,,,,,,0.0,,,1527979158.934,,,,598833.5625,467951.34375,666.7000122070312
1527979159.356,,,,,,,<itemPickup.itemPickup object at 0x000001B4771252B0>,,,,,,0.0,,,1527979159.356,,,,598832.75,467947.21875,666.7000122070312
1527979163.416,,123.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477957198>,,0.0,,,1527979163.416,,,,599321.9375,468036.625,694.7000122070312
1527979167.138,,,,,,,<itemPickup.itemPickup object at 0x000001B47712D5C0>,,,,,,0.0,,,1527979167.138,,,,600483.375,468435.46875,694.7000122070312
1527979169.514,,,,,,,<itemPickup.itemPickup object at 0x000001B47712DF60>,,,,,,0.0,,,1527979169.514,,,,600547.125,468534.84375,666.7000122070312
1527979173.422,,133.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477960278>,,0.0,,,1527979173.422,,,,600073.0,468575.875,953.5099487304688
1527979179.39,,,,,,<itemEquip.itemEquip object at 0x000001B476E80C18>,,,,,,,0.0,,,1527979179.39,,,,598943.9375,468060.1875,1014.739990234375
1527979179.3901,,,,,,,<itemPickup.itemPickup object at 0x000001B47713D8D0>,,,,,,0.0,,,1527979179.3901,,,,598943.9375,468060.1875,1014.739990234375
1527979179.941,,,,,,,<itemPickup.itemPickup object at 0x000001B47713DB00>,,,,,,0.0,,,1527979179.941,,,,598943.9375,468060.1875,1014.739990234375
1527979182.13,,,,,,,<itemPickup.itemPickup object at 0x000001B477140400>,,,,,,0.0,,,1527979182.13,,,,598709.6875,468004.625,1042.739990234375
1527979183.429,,143.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477965470>,,0.0,,,1527979183.429,,,,598763.625,467679.90625,1042.739990234375
1527979193.405,,153.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779695C0>,,0.0,,,1527979193.405,,,,600226.3125,468601.1875,941.5199584960938
1527979203.408,,162.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47796E668>,,0.0,,,1527979203.408,,,,600601.125,469069.71875,694.7000122070312
1527979209.981,,,,,<itemDrop.itemDrop object at 0x000001B476D94940>,,,,,,,,0.0,,,1527979209.981,,,,599844.8125,468109.3125,666.7000122070312
1527979211.718,,,,<itemDetach.itemDetach object at 0x000001B476CB02E8>,,,,,,,,,0.0,,,1527979211.718,,,,599858.125,468115.0625,666.7000122070312
1527979212.33,,,,,,,<itemPickup.itemPickup object at 0x000001B4771656A0>,,,,,,0.0,,,1527979212.33,,,,599858.125,468115.0625,666.7000122070312
1527979212.3300998,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FDBA58>,,,,,0.0,,,1527979212.3300998,,,,599858.125,468115.0625,666.7000122070312
1527979212.331,,,,,<itemDrop.itemDrop object at 0x000001B476D94A20>,,,,,,,,0.0,,,1527979212.331,,,,599858.125,468115.0625,666.7000122070312
1527979212.3311,,,,,,<itemEquip.itemEquip object at 0x000001B476E8D518>,,,,,,,0.0,,,1527979212.3311,,,,599858.125,468115.0625,666.7000122070312
1527979212.3312001,,,,,,,<itemPickup.itemPickup object at 0x000001B477165710>,,,,,,0.0,,,1527979212.3312001,,,,599858.125,468115.0625,666.7000122070312
1527979212.946,,,,,,,<itemPickup.itemPickup object at 0x000001B477165C50>,,,,,,0.0,,,1527979212.946,,,,599858.125,468115.0625,666.7000122070312
1527979213.195,,,,,,,<itemPickup.itemPickup object at 0x000001B477165E10>,,,,,,0.0,,,1527979213.195,,,,599858.125,468115.0625,666.7000122070312
1527979213.565,,172.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779736D8>,,0.0,,,1527979213.565,,,,599858.125,468115.0625,666.7000122070312
1527979213.606,,,<itemAttach.itemAttach object at 0x000001B476BBDF28>,,,,,,,,,,0.0,,,1527979213.606,,,,599858.125,468115.0625,666.7000122070312
1527979223.412,,182.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779796A0>,,0.0,,,1527979223.412,,,,599379.5,467998.28125,666.7000122070312
1527979233.419,,192.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47797C5F8>,,0.0,,,1527979233.419,,,,598840.9375,467800.84375,694.7000122070312
1527979234.575,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477549630>,,,,0.0,,,1527979234.575,,,,598732.125,468102.3125,694.7000122070312
1527979234.773,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775496D8>,,,,0.0,,,1527979234.773,,,,598735.5625,468110.9375,694.7000122070312
1527979234.852,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D308D0>,0.0,,,1527979234.852,,,,598742.625,468119.65625,694.7000122070312
1527979234.931,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477549828>,,,,0.0,,,1527979234.931,,,,598742.9375,468120.15625,694.7000122070312
1527979235.099,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775498D0>,,,,0.0,,,1527979235.099,,,,598742.9375,468120.15625,694.7000122070312
1527979235.293,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477549A20>,,,,0.0,,,1527979235.293,,,,598740.375,468122.34375,694.7000122070312
1527979235.47,,,,,,,,,,<playerKill.playerKill object at 0x000001B476F034A8>,,,0.0,,,1527979235.47,,,,598723.0,468126.3125,694.7000122070312
1527979235.472,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477549AC8>,,,,0.0,,,1527979235.472,,,,598723.0,468126.3125,694.7000122070312
1527979235.623,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477549B70>,,,,0.0,,,1527979235.623,,,,598693.5,468149.78125,694.7000122070312
1527979243.449,,201.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779824E0>,,0.0,,,1527979243.449,,,,599469.5,468026.71875,694.7000122070312
1527979253.433,,211.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477987390>,,0.0,,,1527979253.433,,,,598273.4375,468285.34375,574.3099975585938
