,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978969.071,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477346BA8>,,0.0,,,1527978969.071,,,,797405.6875,18925.900390625,528.5
1527978979.069,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477376F28>,,0.0,,,1527978979.069,,,,797405.6875,18925.900390625,528.5
1527978989.097,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774E4908>,,0.0,,,1527978989.097,,,,798726.125,22426.0703125,1083.77001953125
1527978999.093,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BDEB8>,,0.0,,,1527978999.093,,,,799254.3125,23050.330078125,528.5299682617188
1527979009.102,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774994A8>,,0.0,,,1527979009.102,,,,799254.3125,23050.330078125,528.5299682617188
1527979019.073,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480A20>,,0.0,,,1527979019.073,,,,799254.3125,23050.330078125,528.5299682617188
1527979029.063,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470F60>,,0.0,,,1527979029.063,,,,799254.3125,23050.330078125,528.5299682617188
1527979035.76,,,,,,<itemEquip.itemEquip object at 0x000001B476E51A58>,,,,,,,0.0,,,1527979035.76,,,,932243.625,638286.0625,150088.0
1527979035.7601,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF390>,,,,,,0.0,,,1527979035.7601,,,,932243.625,638286.0625,150088.0
1527979035.7602,,,,,,,,,,,,,0.0,,,1527979035.7602,,,<vehicleRide.vehicleRide object at 0x000001B477873550>,932243.625,638286.0625,150088.0
1527979039.609,,4.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A470>,,0.0,,,1527979039.609,,,,895145.0625,619545.6875,150088.015625
1527979049.583,,13.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E940>,,0.0,,,1527979049.583,,,,767951.875,555294.125,150088.0
1527979059.601,,23.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365E10>,,0.0,,,1527979059.601,,,,638137.6875,489718.65625,150088.0
1527979069.582,,33.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441320>,,0.0,,,1527979069.582,,,,508848.1875,424408.15625,150088.0
1527979074.063,,,,,,,,,,,,,0.0,,,1527979074.063,,<vehicleLeave.vehicleLeave object at 0x000001B4777BBC88>,,451101.375,395237.40625,150088.0
1527979074.068,,,,,,,,,,,,,0.0,,,1527979074.068,,,<vehicleRide.vehicleRide object at 0x000001B477B6B400>,451160.53125,396192.0,150015.78125
1527979079.636,,43.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F7F0>,,0.0,,,1527979079.636,,,,447426.0625,379008.1875,132694.96875
1527979089.605,,53.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928CC0>,,0.0,,,1527979089.605,,,,459034.8125,346202.3125,97784.0703125
1527979099.676,,62.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D048>,,0.0,,,1527979099.676,,,,472674.21875,313879.28125,62345.11328125
1527979109.641,,72.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779366A0>,,0.0,,,1527979109.641,,,,483939.28125,292547.03125,19050.599609375
1527979119.697,,81.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793CB70>,,0.0,,,1527979119.697,,,,492433.71875,280874.15625,2336.434326171875
1527979120.476,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB9550>,,,,,0.0,,,1527979120.476,,,,492749.1875,280345.0,1776.861328125
1527979120.4761,,,,,,,,,,,,,0.0,,,1527979120.4761,,<vehicleLeave.vehicleLeave object at 0x000001B477807DD8>,,492749.1875,280345.0,1776.861328125
1527979124.65,,,,,,<itemEquip.itemEquip object at 0x000001B476E65C88>,,,,,,,0.0,,,1527979124.65,,,,494166.59375,279811.125,1697.6199951171875
1527979124.6501,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EE390>,,,,,,0.0,,,1527979124.6501,,,,494166.59375,279811.125,1697.6199951171875
1527979125.106,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EE5C0>,,,,,,0.0,,,1527979125.106,,,,494174.65625,279734.21875,1697.6199951171875
1527979125.568,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EE860>,,,,,,0.0,,,1527979125.568,,,,494187.46875,279730.71875,1697.6199951171875
1527979128.096,,,,,,,<itemPickup.itemPickup object at 0x000001B4770F18D0>,,,,,,0.0,,,1527979128.096,,,,494550.3125,279919.3125,1697.6199951171875
1527979128.512,,,,,,,<itemPickup.itemPickup object at 0x000001B4770F1A90>,,,,,,0.0,,,1527979128.512,,,,494551.09375,279925.78125,1697.6199951171875
1527979129.636,,91.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779411D0>,,0.0,,,1527979129.636,,,,494811.34375,279996.5625,1776.0445556640625
1527979134.211,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477512240>,,,,0.0,,,1527979134.211,,,,496215.15625,280217.8125,1691.3099365234375
1527979134.498,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775124E0>,,,,0.0,,,1527979134.498,,,,496263.71875,280231.15625,1691.3099365234375
1527979134.722,,,,,,,,,,<playerKill.playerKill object at 0x000001B476C90F28>,,,0.0,,,1527979134.722,,,,496280.90625,280266.0,1691.3099365234375
1527979134.723,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775126D8>,,,,0.0,,,1527979134.723,,,,496280.90625,280266.0,1691.3099365234375
1527979134.986,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477512978>,,,,0.0,,,1527979134.986,,,,496277.5625,280244.0625,1691.3099365234375
1527979136.442,,,,,,<itemEquip.itemEquip object at 0x000001B476E6C438>,,,,,,,0.0,,,1527979136.442,,,,496576.0625,279996.34375,1691.3099365234375
1527979136.4420998,,,,,,,<itemPickup.itemPickup object at 0x000001B477100400>,,,,,,0.0,,,1527979136.4420998,,,,496576.0625,279996.34375,1691.3099365234375
1527979136.795,,,,,,,<itemPickup.itemPickup object at 0x000001B4771005C0>,,,,,,0.0,,,1527979136.795,,,,496576.0625,279996.34375,1691.3099365234375
1527979139.665,,101.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794C4E0>,,0.0,,,1527979139.665,,,,496472.875,279976.53125,1691.3099365234375
1527979149.753,,110.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477951860>,,0.0,,,1527979149.753,,,,496121.75,280235.3125,1691.3099365234375
1527979159.645,,120.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477957B38>,,0.0,,,1527979159.645,,,,493736.15625,279964.125,1697.6199951171875
1527979159.68,,,,,,<itemEquip.itemEquip object at 0x000001B476E7A208>,,,,,,,0.0,,,1527979159.68,,,,493738.375,279966.875,1697.6199951171875
1527979159.6801,,,,,,,<itemPickup.itemPickup object at 0x000001B477125400>,,,,,,0.0,,,1527979159.6801,,,,493738.375,279966.875,1697.6199951171875
1527979161.086,,,,,,,<itemPickup.itemPickup object at 0x000001B477125940>,,,,,,0.0,,,1527979161.086,,,,494049.625,280282.8125,1697.6199951171875
1527979163.523,,,,,,<itemEquip.itemEquip object at 0x000001B476E7A668>,,,,,,,0.0,,,1527979163.523,,,,493792.21875,280931.84375,1697.6199951171875
1527979163.5231,,,,,,,<itemPickup.itemPickup object at 0x000001B477125048>,,,,,,0.0,,,1527979163.5231,,,,493792.21875,280931.84375,1697.6199951171875
1527979164.047,,,,,,,<itemPickup.itemPickup object at 0x000001B47712A2B0>,,,,,,0.0,,,1527979164.047,,,,493810.0625,280990.40625,1697.6199951171875
1527979169.632,,129.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47795AD68>,,0.0,,,1527979169.632,,,,493701.5625,280704.53125,2097.619873046875
1527979169.969,,,,,<itemDrop.itemDrop object at 0x000001B476D8F978>,,,,,,,,0.0,,,1527979169.969,,,,493742.875,280771.9375,2097.619873046875
1527979169.9691,,,,,,<itemEquip.itemEquip object at 0x000001B476E7A0F0>,,,,,,,0.0,,,1527979169.9691,,,,493742.875,280771.9375,2097.619873046875
1527979169.9692001,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FD07F0>,,,,,0.0,,,1527979169.9692001,,,,493742.875,280771.9375,2097.619873046875
1527979169.97,,,,,,,<itemPickup.itemPickup object at 0x000001B477131240>,,,,,,0.0,,,1527979169.97,,,,493742.875,280771.9375,2097.619873046875
1527979170.739,,,,,,<itemEquip.itemEquip object at 0x000001B476E7A048>,,,,,,,0.0,,,1527979170.739,,,,493747.875,280812.15625,2097.619873046875
1527979170.7391,,,,,,,<itemPickup.itemPickup object at 0x000001B477131550>,,,,,,0.0,,,1527979170.7391,,,,493747.875,280812.15625,2097.619873046875
1527979174.566,,,,,,,<itemPickup.itemPickup object at 0x000001B477131128>,,,,,,0.0,,,1527979174.566,,,,494161.625,281000.46875,2097.619873046875
1527979178.606,,,,,,<itemEquip.itemEquip object at 0x000001B476E80BA8>,,,,,,,0.0,,,1527979178.606,,,,494087.90625,279614.9375,2069.619873046875
1527979178.6060998,,,,,,,<itemPickup.itemPickup object at 0x000001B47713D470>,,,,,,0.0,,,1527979178.6060998,,,,494087.90625,279614.9375,2069.619873046875
1527979179.619,,139.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477960F60>,,0.0,,,1527979179.619,,,,494416.28125,279710.28125,2097.619873046875
1527979189.618,,149.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477965160>,,0.0,,,1527979189.618,,,,494224.71875,275907.0625,1682.929931640625
1527979189.684,,,,,,<itemEquip.itemEquip object at 0x000001B476E865F8>,,,,,,,0.0,,,1527979189.684,,,,494224.71875,275907.0625,1682.929931640625
1527979189.6841,,,,,,,<itemPickup.itemPickup object at 0x000001B477145CC0>,,,,,,0.0,,,1527979189.6841,,,,494224.71875,275907.0625,1682.929931640625
1527979189.766,,,,,,,<itemPickup.itemPickup object at 0x000001B477145E10>,,,,,,0.0,,,1527979189.766,,,,494224.71875,275907.0625,1682.929931640625
1527979190.25,,,<itemAttach.itemAttach object at 0x000001B476BB7128>,,,,,,,,,,0.0,,,1527979190.25,,,,494224.71875,275907.0625,1682.929931640625
1527979190.2501,,,,,,,<itemPickup.itemPickup object at 0x000001B477145080>,,,,,,0.0,,,1527979190.2501,,,,494224.71875,275907.0625,1682.929931640625
1527979190.863,,,,,,,<itemPickup.itemPickup object at 0x000001B47714A6A0>,,,,,,0.0,,,1527979190.863,,,,494224.75,275906.96875,1682.929931640625
1527979194.528,,,,,,,<itemPickup.itemPickup object at 0x000001B47714FBE0>,,,,,,0.0,,,1527979194.528,,,,494689.46875,275741.8125,1682.929931640625
1527979199.62,,159.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477969080>,,0.0,,,1527979199.62,,,,494717.71875,276214.3125,1682.929931640625
1527979209.665,,168.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477973240>,,0.0,,,1527979209.665,,,,494186.0625,273689.75,1636.0899658203125
1527979219.606,,178.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477979278>,,0.0,,,1527979219.606,,,,494672.375,268106.15625,1502.3699951171875
1527979229.636,,188.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47797C208>,,0.0,,,1527979229.636,,,,495801.0,264318.78125,1518.3399658203125
1527979231.361,,,,,,,<itemPickup.itemPickup object at 0x000001B47717C5C0>,,,,,,0.0,,,1527979231.361,,,,496070.3125,264704.375,1518.3399658203125
