,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978981.242,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47737ABA8>,,0.0,,,1527978981.242,,,,796060.5625,22166.51953125,526.3200073242188
1527978991.281,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477744C50>,,0.0,,,1527978991.281,,,,798205.1875,24140.75,528.5299682617188
1527979001.223,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0208>,,0.0,,,1527979001.223,,,,798205.1875,24140.75,528.5299682617188
1527979011.222,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774997B8>,,0.0,,,1527979011.222,,,,798205.1875,24140.75,528.5299682617188
1527979021.229,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480CF8>,,0.0,,,1527979021.229,,,,798205.1875,24140.75,528.5299682617188
1527979031.226,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F278>,,0.0,,,1527979031.226,,,,798205.1875,24140.75,528.5299682617188
1527979035.788,,,,,,,,,,,,,0.0,,,1527979035.788,,,<vehicleRide.vehicleRide object at 0x000001B477873C50>,932243.625,638286.0625,150088.0
1527979035.789,,,,,,<itemEquip.itemEquip object at 0x000001B476E55278>,,,,,,,0.0,,,1527979035.789,,,,932243.625,638286.0625,150088.0
1527979035.7891,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CFA90>,,,,,,0.0,,,1527979035.7891,,,,932243.625,638286.0625,150088.0
1527979041.759,,6.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A748>,,0.0,,,1527979041.759,,,,869742.3125,606713.5625,150088.0
1527979051.757,,16.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736EC18>,,0.0,,,1527979051.757,,,,738870.0625,540603.5,150088.0
1527979061.734,,26.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773650B8>,,0.0,,,1527979061.734,,,,610267.5625,475640.03125,150088.0
1527979071.758,,35.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774415F8>,,0.0,,,1527979071.758,,,,480926.59375,410303.53125,150088.0
1527979077.422,,,,,,,,,,,,,0.0,,,1527979077.422,,<vehicleLeave.vehicleLeave object at 0x000001B4777D2438>,,408255.46875,373593.75,150088.0
1527979077.427,,,,,,,,,,,,,0.0,,,1527979077.427,,,<vehicleRide.vehicleRide object at 0x000001B477B6BB70>,406975.75,374302.40625,150015.78125
1527979081.79,,45.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742FAC8>,,0.0,,,1527979081.79,,,,397204.84375,366103.40625,136784.65625
1527979091.788,,55.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928F98>,,0.0,,,1527979091.788,,,,388299.34375,347504.34375,82800.65625
1527979101.816,,64.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779334A8>,,0.0,,,1527979101.816,,,,388553.5,345283.53125,22107.240234375
1527979111.796,,74.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936978>,,0.0,,,1527979111.796,,,,391323.15625,348307.0,3086.275146484375
1527979114.549,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB4940>,,,,,0.0,,,1527979114.549,,,,389250.46875,346590.53125,494.7552490234375
1527979114.5491,,,,,,,,,,,,,0.0,,,1527979114.5491,,<vehicleLeave.vehicleLeave object at 0x000001B477807898>,,389250.46875,346590.53125,494.7552490234375
1527979121.239,,,,,,,<itemPickup.itemPickup object at 0x000001B4770E5080>,,,,,,0.0,,,1527979121.239,,,,389541.5,345250.9375,229.55999755859375
1527979121.786,,83.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793CE48>,,0.0,,,1527979121.786,,,,389327.34375,345348.34375,229.55999755859375
1527979124.778,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EE470>,,,,,,0.0,,,1527979124.778,,,,390465.9375,346625.5,229.55999755859375
1527979125.799,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EE940>,,,,,,0.0,,,1527979125.799,,,,390472.78125,346628.21875,229.55999755859375
1527979129.256,,,,,,<itemEquip.itemEquip object at 0x000001B476E67908>,,,,,,,0.0,,,1527979129.256,,,,390251.90625,346451.5,229.55999755859375
1527979129.2561,,,,,,,<itemPickup.itemPickup object at 0x000001B4770F1048>,,,,,,0.0,,,1527979129.2561,,,,390251.90625,346451.5,229.55999755859375
1527979131.773,,93.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946358>,,0.0,,,1527979131.773,,,,390560.78125,347124.625,229.55999755859375
1527979134.246,,,,,,,<itemPickup.itemPickup object at 0x000001B4770FDC50>,,,,,,0.0,,,1527979134.246,,,,390702.78125,347167.21875,229.55999755859375
1527979141.773,,103.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794C780>,,0.0,,,1527979141.773,,,,390095.0,344866.0625,229.54998779296875
1527979151.756,,112.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477951B00>,,0.0,,,1527979151.756,,,,390091.0625,344318.625,229.54998779296875
1527979161.781,,122.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477957DA0>,,0.0,,,1527979161.781,,,,390091.1875,344318.625,229.54998779296875
1527979171.755,,131.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47795AFD0>,,0.0,,,1527979171.755,,,,390694.5,344016.625,214.5099945068359
1527979181.848,,141.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477965208>,,0.0,,,1527979181.848,,,,392577.75,345803.625,230.6999969482422
1527979191.134,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47752DB70>,,,,0.0,,,1527979191.134,,,,394116.34375,346621.59375,215.94000244140625
1527979191.548,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47752DC18>,,,,0.0,,,1527979191.548,,,,394047.5,346671.84375,215.94000244140625
1527979191.726,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47752DCC0>,,,,0.0,,,1527979191.726,,,,394022.875,346689.0,215.94000244140625
