,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978960.844,,-74.85399985313416,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D99C88>,,0.0,,,1527978960.844,Foot,,,,796507.6875,19418.599609375,528.5
1527978970.868,,-64.82999992370605,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DB1978>,,0.0,,,1527978970.868,Foot,,,,795412.0,19723.66015625,600.2099609375
1527978980.856,,-54.842000007629395,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DE0C88>,,0.0,,,1527978980.856,Foot,,,,789780.25,22375.7890625,543.510009765625
1527978990.879,,-44.819000005722046,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AA5C0>,,0.0,,,1527978990.879,Foot,,,,787663.0,23373.0703125,528.219970703125
1527979000.901,,-34.79699993133545,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942DB38>,,0.0,,,1527979000.901,Foot,,,,787663.0,23373.0703125,528.219970703125
1527979010.929,,-24.76900005340576,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094300B8>,,0.0,,,1527979010.929,Foot,,,,787663.0,23373.0703125,528.219970703125
1527979020.85,,-14.848000049591064,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943B668>,,0.0,,,1527979020.85,Foot,,,,787663.0,23373.0703125,528.219970703125
1527979030.897,,-4.800999879837036,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943FBA8>,,0.0,,,1527979030.897,Foot,,,,783055.5625,23084.298828125,1006.7999877929688
1527979035.833,,0.13499999046325684,1,,,,,<itemEquip.itemEquip object at 0x0000016008855828>,,,,,,,0.0,,,1527979035.833,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8330998,,0.1350998878479004,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B59F28>,,,,,,0.0,,,1527979035.8330998,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8332,,0.13520002365112305,1,,,,,,,,,,,,0.0,,,1527979035.8332,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x000001600925C160>,932243.625,638286.0625,150088.0
1527979041.391,,5.693000078201294,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009444128>,,0.0,,,1527979041.391,DummyTransportAircraft_C,,,,874442.0625,609087.625,150088.0
1527979051.39,,15.692000150680542,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944F588>,,0.0,,,1527979051.39,DummyTransportAircraft_C,,,,743886.5625,543137.625,150088.0
1527979061.393,,25.694999933242798,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009452A58>,,0.0,,,1527979061.393,DummyTransportAircraft_C,,,,615079.125,478070.65625,150088.0
1527979071.398,,35.700000047683716,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459F28>,,0.0,,,1527979071.398,DummyTransportAircraft_C,,,,485513.0625,412620.40625,150088.0
