,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978967.403,,-68.29499983787537,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DA3860>,,0.0,,,1527978967.403,Foot,,,,562198.8125,129011.5,25676.87890625
1527978977.433,,-58.264999866485596,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DD20F0>,,0.0,,,1527978977.433,Foot,,,,562198.8125,129011.5,25676.87890625
1527978987.446,,-48.251999855041504,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008EC6080>,,0.0,,,1527978987.446,Foot,,,,562198.8125,129011.5,25676.87890625
1527978997.424,,-38.2739999294281,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942D668>,,0.0,,,1527978997.424,Foot,,,,562198.8125,129011.5,25676.87890625
1527979007.42,,-28.277999877929688,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009430C18>,,0.0,,,1527979007.42,Foot,,,,562198.8125,129011.5,25676.87890625
1527979017.417,,-18.280999898910522,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094360F0>,,0.0,,,1527979017.417,Foot,,,,562198.8125,129011.5,25676.87890625
1527979027.407,,-8.29099988937378,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943F6D8>,,0.0,,,1527979027.407,Foot,,,,562198.8125,129011.5,25676.87890625
1527979035.849,,0.1510000228881836,1,,,,,<itemEquip.itemEquip object at 0x0000016008855C18>,,,,,,,0.0,,,1527979035.849,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8490999,,0.15109992027282715,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B5E2E8>,,,,,,0.0,,,1527979035.8490999,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8492,,0.1512000560760498,1,,,,,,,,,,,,0.0,,,1527979035.8492,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009276400>,932243.625,638286.0625,150088.0
1527979037.941,,2.243000030517578,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009444BE0>,,0.0,,,1527979037.941,DummyTransportAircraft_C,,,,919372.75,631784.375,150088.0
1527979047.949,,12.250999927520752,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944A128>,,0.0,,,1527979047.949,DummyTransportAircraft_C,,,,788691.3125,565770.6875,150088.0
1527979057.945,,22.246999979019165,1,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094525C0>,,0.0,,,1527979057.945,DummyTransportAircraft_C,,,,659307.25,500412.46875,150088.0
1527979066.245,,30.54699993133545,1,,,,,,,,,,,,0.0,,,1527979066.245,Foot,,<vehicleLeave.vehicleLeave object at 0x0000016008D862E8>,,551243.125,445823.96875,150088.0
1527979066.251,,30.55299997329712,1,,,,,,,,,,,,0.0,,,1527979066.251,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x000001600928D860>,550050.0625,443765.71875,150015.78125
1527979067.948,,32.25,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459A58>,,0.0,,,1527979067.948,ParachutePlayer_C,,,,546428.3125,441509.75,147910.984375
