,armorDestroy,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978967.535,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EAC208>,,,,1527978967.535,,,,343190.78125,170761.375,1475.0899658203125
1527978977.57,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9EDA1D0>,,,,1527978977.57,,,,343190.78125,170761.375,1475.0899658203125
1527978987.571,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9FCE9B0>,,,,1527978987.571,,,,343190.78125,170761.375,1475.0899658203125
1527978997.528,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4C7BE0>,,,,1527978997.528,,,,343190.78125,170761.375,1475.0899658203125
1527979007.566,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4CB048>,,,,1527979007.566,,,,343190.78125,170761.375,1475.0899658203125
1527979017.529,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4D5710>,,,,1527979017.529,,,,343190.78125,170761.375,1475.0899658203125
1527979027.525,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4DAC50>,,,,1527979027.525,,,,343190.78125,170761.375,1475.0899658203125
1527979035.758,,,,,<itemEquip.itemEquip object at 0x00000184B99B98D0>,,,,,,,,,1527979035.758,,,,932243.625,638286.0625,150088.0
1527979035.7580998,,,,,,,,,,,,,,1527979035.7580998,,,<vehicleRide.vehicleRide object at 0x00000184BA3AD3C8>,932243.625,638286.0625,150088.0
1527979035.759,,,,,,<itemPickup.itemPickup object at 0x00000184B9C38208>,,,,,,,,1527979035.759,,,,932243.625,638286.0625,150088.0
1527979038.046,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4DF0F0>,,,,1527979038.046,,,,917575.3125,630876.4375,150088.0
1527979048.047,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184B9C5B630>,,,,1527979048.047,,,,787447.4375,565142.3125,150088.0
1527979058.045,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4EDB00>,,,,1527979058.045,,,,658045.875,499775.21875,150088.0
1527979061.495,,,,,,,,,,,,,,1527979061.495,,<vehicleLeave.vehicleLeave object at 0x00000184B9E661D0>,,613426.0625,477235.5625,150088.0
1527979061.502,,,,,,,,,,,,,,1527979061.502,,,<vehicleRide.vehicleRide object at 0x00000184BA2E47B8>,613732.5,478183.0,150015.78125
1527979068.05,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4F2FD0>,,,,1527979068.05,,,,598946.875,462096.25,129324.9609375
1527979078.056,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA4FB4E0>,,,,1527979078.056,,,,591809.1875,427967.5,94339.4140625
1527979088.107,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA5009B0>,,,,1527979088.107,,,,586668.75,394816.59375,54091.26171875
1527979098.061,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA506E80>,,,,1527979098.061,,,,580915.5625,388625.53125,14089.7158203125
1527979106.342,,,,,,,<itemUnequip.itemUnequip object at 0x00000184B9B14C50>,,,,,,,1527979106.342,,,,577789.5,388787.09375,2316.940673828125
1527979106.3421,,,,,,,,,,,,,,1527979106.3421,,<vehicleLeave.vehicleLeave object at 0x00000184BA7E4B70>,,577789.5,388787.09375,2316.940673828125
1527979108.159,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA50F390>,,,,1527979108.159,,,,577341.6875,388201.15625,2175.3798828125
1527979118.108,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA514860>,,,,1527979118.108,,,,572930.625,384867.125,1450.0899658203125
1527979119.206,,,,,<itemEquip.itemEquip object at 0x00000184B99C9D30>,,,,,,,,,1527979119.206,,,,572632.125,384534.78125,1450.0899658203125
1527979119.2061,,,,,,<itemPickup.itemPickup object at 0x00000184B9C490F0>,,,,,,,,1527979119.2061,,,,572632.125,384534.78125,1450.0899658203125
1527979121.87,,,,,,<itemPickup.itemPickup object at 0x00000184B9C51208>,,,,,,,,1527979121.87,,,,571698.25,385457.1875,1450.0699462890625
1527979122.414,,,,,<itemEquip.itemEquip object at 0x00000184B99CE550>,,,,,,,,,1527979122.414,,,,571751.1875,385465.84375,1450.0699462890625
1527979122.4141,,,,,,<itemPickup.itemPickup object at 0x00000184B9C51518>,,,,,,,,1527979122.4141,,,,571751.1875,385465.84375,1450.0699462890625
1527979123.682,,,,,,<itemPickup.itemPickup object at 0x00000184B9C51E48>,,,,,,,,1527979123.682,,,,571993.0625,385216.34375,1450.0699462890625
1527979124.334,,,,,,<itemPickup.itemPickup object at 0x00000184B9C510F0>,,,,,,,,1527979124.334,,,,571947.75,385155.9375,1450.0699462890625
1527979128.12,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA519D30>,,,,1527979128.12,,,,572451.1875,385689.125,1450.0699462890625
1527979130.388,,,,,,<itemPickup.itemPickup object at 0x00000184B9C616D8>,,,,,,,,1527979130.388,,,,572422.1875,385745.3125,1450.0399169921875
1527979138.09,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA51E080>,,,,1527979138.09,,,,570067.5625,388770.3125,1457.919921875
1527979139.864,,,,,<itemEquip.itemEquip object at 0x00000184B99D9B00>,,,,,,,,,1527979139.864,,,,569748.125,389029.78125,1455.7999267578125
1527979139.865,,,,,,<itemPickup.itemPickup object at 0x00000184B9C6FAC8>,,,,,,,,1527979139.865,,,,569748.125,389029.78125,1455.7999267578125
1527979140.426,,,,,,<itemPickup.itemPickup object at 0x00000184B9C6FDD8>,,,,,,,,1527979140.426,,,,569754.125,389060.65625,1455.7999267578125
1527979141.064,,,,,,<itemPickup.itemPickup object at 0x00000184B9C71208>,,,,,,,,1527979141.064,,,,569754.125,389060.65625,1455.7999267578125
1527979148.113,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA529550>,,,,1527979148.113,,,,570414.1875,388890.1875,1443.6099853515625
1527979151.439,,,,,,,,<playerAttack.playerAttack object at 0x00000184BA080EF0>,,,,,,1527979151.439,,,,570775.5625,388565.5625,1443.6099853515625
1527979151.559,,,,,,,,,<playerKill.playerKill object at 0x00000184B9932198>,,,,,1527979151.559,,,,570775.5625,388565.5625,1443.6099853515625
1527979158.064,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA52D828>,,,,1527979158.064,,,,569419.5,388338.34375,1463.8299560546875
1527979167.075,,<itemAttach.itemAttach object at 0x00000184B931F1D0>,,,,,,,,,,,,1527979167.075,,,,568274.25,387351.34375,1462.4000244140625
1527979167.0751,,,,,,<itemPickup.itemPickup object at 0x00000184B9C982E8>,,,,,,,,1527979167.0751,,,,568274.25,387351.34375,1462.4000244140625
1527979168.086,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA532A58>,,,,1527979168.086,,,,568272.5625,387362.5625,1463.260009765625
1527979178.067,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA537C88>,,,,1527979178.067,,,,570826.5625,388515.1875,1454.409912109375
1527979188.117,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA53CDD8>,,,,1527979188.117,,,,573602.25,383371.1875,1452.6300048828125
1527979195.957,,,,,,<itemPickup.itemPickup object at 0x00000184B9CBC1D0>,,,,,,,,1527979195.957,,,,574723.4375,382181.5625,1461.52001953125
1527979196.676,,,,,<itemEquip.itemEquip object at 0x00000184B99EF080>,,,,,,,,,1527979196.676,,,,574723.4375,382181.5625,1461.52001953125
1527979196.677,,,,,,<itemPickup.itemPickup object at 0x00000184B9CBC438>,,,,,,,,1527979196.677,,,,574723.4375,382181.5625,1461.52001953125
1527979198.132,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA540EB8>,,,,1527979198.132,,,,574573.125,382294.5,1461.510009765625
1527979208.135,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA545F28>,,,,1527979208.135,,,,574401.875,382169.0,1433.510009765625
1527979217.558,,,,,<itemEquip.itemEquip object at 0x00000184B99F9D30>,,,,,,,,,1527979217.558,,,,574303.8125,381127.40625,1428.010009765625
1527979217.5581,,,,,,<itemPickup.itemPickup object at 0x00000184B9CD75F8>,,,,,,,,1527979217.5581,,,,574303.8125,381127.40625,1428.010009765625
1527979218.091,,,,,,,,,,<playerPosition.playerPosition object at 0x00000184BA54BF60>,,,,1527979218.091,,,,574360.1875,381071.5,1450.8499755859375
1527979220.304,,<itemAttach.itemAttach object at 0x00000184B932D7B8>,,,,,,,,,,,,1527979220.304,,,,574367.25,381007.5,1451.0299072265625
1527979220.3040998,,,,,,<itemPickup.itemPickup object at 0x00000184B9CD7BA8>,,,,,,,,1527979220.3040998,,,,574367.25,381007.5,1451.0299072265625
1527979227.21,,,,,,<itemPickup.itemPickup object at 0x00000184B9CE0588>,,,,,,,,1527979227.21,,,,574278.625,381326.21875,1452.97998046875
