,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978983.001,,-52.69700002670288,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DE5550>,,0.0,,,1527978983.001,Foot,,,,342821.46875,170592.34375,1457.159912109375
1527978992.981,,-42.717000007629395,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AA978>,,0.0,,,1527978992.981,Foot,,,,342243.625,176238.09375,1795.02001953125
1527979002.973,,-32.72499990463257,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942DEF0>,,0.0,,,1527979002.973,Foot,,,,342062.0,181483.84375,2229.260009765625
1527979012.99,,-22.70799994468689,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094364E0>,,0.0,,,1527979012.99,Foot,,,,340810.46875,186884.46875,4073.789794921875
1527979022.997,,-12.700999975204468,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943BA20>,,0.0,,,1527979022.997,Foot,,,,340546.6875,190846.875,6582.3798828125
1527979032.993,,-2.7049999237060547,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943FEF0>,,0.0,,,1527979032.993,Foot,,,,339623.3125,196899.703125,7824.7900390625
1527979035.869,,0.17100000381469727,1,,,,,<itemEquip.itemEquip object at 0x00000160088550B8>,,,,,,,0.0,,,1527979035.869,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8690999,,0.17109990119934082,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B5E748>,,,,,,0.0,,,1527979035.8690999,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8692,,0.17120003700256348,1,,,,,,,,,,,,0.0,,,1527979035.8692,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009276860>,932243.625,638286.0625,150088.0
1527979043.501,,7.802999973297119,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944A400>,,0.0,,,1527979043.501,DummyTransportAircraft_C,,,,845540.375,594488.0,150088.0
1527979053.494,,17.796000003814697,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944F8D0>,,0.0,,,1527979053.494,DummyTransportAircraft_C,,,,714481.0,528283.4375,150088.0
1527979063.513,,27.81500005722046,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009452DA0>,,0.0,,,1527979063.513,DummyTransportAircraft_C,,,,586558.0,463663.21875,150088.0
1527979072.659,,36.960999965667725,1,,,,,,,,,,,,0.0,,,1527979072.659,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097E24A8>,,469253.34375,404406.90625,150088.0
1527979072.664,,36.96600008010864,1,,,,,,,,,,,,0.0,,,1527979072.664,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x000001600928DBE0>,470068.09375,403199.0,150015.78125
1527979073.52,,37.82200002670288,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600945D2B0>,,0.0,,,1527979073.52,ParachutePlayer_C,,,,468102.25,402206.125,148893.328125
1527979083.542,,47.84400010108948,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009461780>,,0.0,,,1527979083.542,ParachutePlayer_C,,,,444080.625,422129.15625,113989.375
1527979093.515,,57.81700015068054,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009466C50>,,0.0,,,1527979093.515,ParachutePlayer_C,,,,438196.5625,433971.375,51632.0
1527979103.505,,67.80700016021729,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946B0F0>,,0.0,,,1527979103.505,ParachutePlayer_C,,,,436649.28125,438839.03125,12520.529296875
1527979112.474,,76.77600002288818,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A3B860>,,,,,0.0,,,1527979112.474,ParachutePlayer_C,,,,433964.03125,449373.90625,2462.870361328125
1527979112.4740999,,76.77609992027283,0,,,,,,,,,,,,0.0,,,1527979112.4740999,Foot,,<vehicleLeave.vehicleLeave object at 0x000001600929DD68>,,433964.03125,449373.90625,2462.870361328125
1527979113.569,,77.87100005149841,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009473630>,,0.0,,,1527979113.569,Foot,,,,433952.75,449566.375,2269.06005859375
1527979120.694,,84.99600005149841,0,,,,,<itemEquip.itemEquip object at 0x00000160088ECDD8>,,,,,,,0.0,,,1527979120.694,Foot,,,,432784.84375,451277.5625,2326.06005859375
1527979120.6941,,84.99609994888306,0,Item_Armor_E_01_Lv1_C,,,,,<itemPickup.itemPickup object at 0x0000016008B71828>,,,,,,0.0,,,1527979120.6941,Foot,,,,432784.84375,451277.5625,2326.06005859375
1527979122.8,,87.10199999809265,0,,,,,<itemEquip.itemEquip object at 0x00000160088F0358>,,,,,,,0.0,,,1527979122.8,Foot,,,,433172.1875,451200.0625,2326.06005859375
