,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978978.498,,-57.200000047683716,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DD8A58>,,0.0,,,1527978978.498,Foot,,,,561976.5625,129145.328125,25676.87890625
1527978988.473,,-47.22499990463257,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008ECF390>,,0.0,,,1527978988.473,Foot,,,,561976.5625,129145.328125,25676.87890625
1527978998.49,,-37.20799994468689,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942D828>,,0.0,,,1527978998.49,Foot,,,,561976.625,129145.296875,25676.900390625
1527979008.497,,-27.200999975204468,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009430DA0>,,0.0,,,1527979008.497,Foot,,,,561872.0625,129136.765625,25676.87890625
1527979018.468,,-17.230000019073486,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943B358>,,0.0,,,1527979018.468,Foot,,,,562181.375,131637.9375,25676.25
1527979028.566,,-7.131999969482422,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943F898>,,0.0,,,1527979028.566,Foot,,,,562181.375,131637.9375,25676.25
1527979035.863,,0.16499996185302734,1,,,,,<itemEquip.itemEquip object at 0x0000016008855F60>,,,,,,,0.0,,,1527979035.863,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8630998,,0.1650998592376709,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B5E5F8>,,,,,,0.0,,,1527979035.8630998,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8632,,0.16519999504089355,1,,,,,,,,,,,,0.0,,,1527979035.8632,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009276710>,932243.625,638286.0625,150088.0
1527979038.995,,3.296999931335449,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009444D68>,,0.0,,,1527979038.995,DummyTransportAircraft_C,,,,900791.125,622397.8125,150088.0
1527979049.016,,13.318000078201294,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944F278>,,0.0,,,1527979049.016,DummyTransportAircraft_C,,,,775246.75,558979.125,150088.0
1527979059.002,,23.30400013923645,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009452748>,,0.0,,,1527979059.002,DummyTransportAircraft_C,,,,646131.9375,493756.9375,150088.0
1527979062.104,,26.4060001373291,1,,,,,,,,,,,,0.0,,,1527979062.104,Foot,,<vehicleLeave.vehicleLeave object at 0x0000016008D86C88>,,605417.125,473189.84375,150088.0
1527979062.114,,26.41600012779236,1,,,,,,,,,,,,0.0,,,1527979062.114,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x000001600928D400>,606009.25,471496.1875,150015.78125
1527979069.001,,33.30299997329712,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459C18>,,0.0,,,1527979069.001,ParachutePlayer_C,,,,594482.5,468326.09375,112901.8984375
1527979079.004,,43.305999994277954,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600945D0B8>,,0.0,,,1527979079.004,ParachutePlayer_C,,,,594321.125,468536.59375,48165.36328125
1527979089.014,,53.31599998474121,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094665F8>,,0.0,,,1527979089.014,ParachutePlayer_C,,,,589581.9375,472456.125,10138.359375
1527979095.198,,59.5,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A31780>,,,,,0.0,,,1527979095.198,ParachutePlayer_C,,,,585410.0,478009.40625,1075.387451171875
1527979095.199,,59.50099992752075,0,,,,,,,,,,,,0.0,,,1527979095.199,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097F8D68>,,585410.0,478009.40625,1075.387451171875
1527979099.072,,63.37400007247925,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946BAC8>,,0.0,,,1527979099.072,Foot,,,,586174.75,479151.0625,932.1900024414062
1527979103.938,,68.24000000953674,0,Item_Ammo_12Guage_C,,,,,<itemPickup.itemPickup object at 0x0000016008B624A8>,,,,,,0.0,,,1527979103.938,Foot,,,,586379.375,478975.1875,990.1900024414062
1527979103.957,,68.2590000629425,0,,,,,<itemEquip.itemEquip object at 0x00000160088E7898>,,,,,,,0.0,,,1527979103.957,Foot,,,,586379.375,478975.1875,990.1900024414062
1527979103.9571,,68.25909996032715,0,Item_Weapon_Berreta686_C,,,,,<itemPickup.itemPickup object at 0x0000016008B62518>,,,,,,0.0,,,1527979103.9571,Foot,,,,586379.375,478975.1875,990.1900024414062
1527979104.292,,68.59400010108948,0,Item_Ammo_12Guage_C,,,,,<itemPickup.itemPickup object at 0x0000016008B625F8>,,,,,,0.0,,,1527979104.292,Foot,,,,586379.375,478975.1875,990.1900024414062
1527979104.846,,69.14800000190735,0,,,,,<itemEquip.itemEquip object at 0x00000160088E7978>,,,,,,,0.0,,,1527979104.846,Foot,,,,586372.1875,478954.03125,990.1900024414062
1527979104.8460999,,69.14809989929199,0,Item_Armor_E_01_Lv1_C,,,,,<itemPickup.itemPickup object at 0x0000016008B62748>,,,,,,0.0,,,1527979104.8460999,Foot,,,,586372.1875,478954.03125,990.1900024414062
1527979108.254,,72.55599999427795,0,Item_Attach_Weapon_Upper_ACOG_01_C,,,,,<itemPickup.itemPickup object at 0x0000016008B62D68>,,,,,,0.0,,,1527979108.254,Foot,,,,586436.0,478221.625,990.1900024414062
1527979109.046,,73.34800004959106,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009470F98>,,0.0,,,1527979109.046,Foot,,,,586716.4375,478215.78125,990.1900024414062
1527979119.066,,83.36800003051758,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947B4A8>,,0.0,,,1527979119.066,Foot,,,,586234.6875,477958.9375,1007.2599487304688
1527979126.608,,90.91000008583069,0,Item_Ammo_12Guage_C,,,,,<itemPickup.itemPickup object at 0x0000016008B79A58>,,,,,,0.0,,,1527979126.608,Foot,,,,586158.75,478175.15625,1340.18994140625
1527979127.199,,91.50099992752075,0,,,,,<itemEquip.itemEquip object at 0x00000160088F0D68>,,,,,,,0.0,,,1527979127.199,Foot,,,,586328.5625,478243.28125,1340.18994140625
1527979127.1990998,,91.5010998249054,0,Item_Head_E_02_Lv1_C,,,,,<itemPickup.itemPickup object at 0x0000016008B79D68>,,,,,,0.0,,,1527979127.1990998,Foot,,,,586328.5625,478243.28125,1340.18994140625
1527979129.043,,93.34500002861023,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947F978>,,0.0,,,1527979129.043,Foot,,,,586819.6875,478599.21875,1340.18994140625
1527979139.089,,103.39100003242493,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009484DD8>,,0.0,,,1527979139.089,Foot,,,,585536.375,479778.4375,933.1199951171876
1527979149.065,,113.36700010299683,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009488048>,,0.0,,,1527979149.065,Foot,,,,583932.0625,479718.34375,981.2099609375
1527979159.044,,123.34599995613098,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009493470>,,0.0,,,1527979159.044,Foot,,,,583198.8125,481623.5625,933.0899658203124
1527979169.048,,133.35000014305115,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094966A0>,,0.0,,,1527979169.048,Foot,,,,582376.4375,483188.875,982.0599975585938
1527979170.934,,135.23600006103516,0,Item_Boost_PainKiller_C,,,,,<itemPickup.itemPickup object at 0x0000016008BBA0F0>,,,,,,0.0,,,1527979170.934,Foot,,,,582932.375,483450.1875,982.0599975585938
1527979179.057,,143.35899996757507,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600949D898>,,0.0,,,1527979179.057,Foot,,,,581655.125,483731.78125,982.0599975585938
1527979183.636,,147.93799996376038,0,,,,,<itemEquip.itemEquip object at 0x000001600890CC18>,,,,,,,0.0,,,1527979183.636,Foot,,,,581547.0,484023.78125,982.0599975585938
1527979183.6360998,,147.93809986114502,0,Item_Weapon_Thompson_C,,,,,<itemPickup.itemPickup object at 0x0000016008BCB6D8>,,,,,,0.0,,,1527979183.6360998,Foot,,,,581547.0,484023.78125,982.0599975585938
1527979183.718,,148.0199999809265,0,Item_Ammo_45ACP_C,,,,,<itemPickup.itemPickup object at 0x0000016008BCB7B8>,,,,,,0.0,,,1527979183.718,Foot,,,,581547.0,484023.78125,982.0599975585938
1527979184.984,,149.28600001335144,0,Item_Ammo_45ACP_C,,,,,<itemPickup.itemPickup object at 0x0000016008BCB9E8>,,,,,,0.0,,,1527979184.984,Foot,,,,581547.0,484023.78125,982.0599975585938
1527979185.664,,149.96600008010864,0,Item_Ammo_45ACP_C,,,,,<itemPickup.itemPickup object at 0x0000016008BCBB38>,,,,,,0.0,,,1527979185.664,Foot,,,,581547.0,484023.78125,982.0599975585938
1527979189.023,,153.32500004768372,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A19E8>,,0.0,,,1527979189.023,Foot,,,,581692.875,483872.4375,982.0599975585938
1527979194.347,,158.6489999294281,0,Item_Attach_Weapon_Upper_DotSight_01_C,,,,,<itemPickup.itemPickup object at 0x0000016008BA9518>,,,,,,0.0,,,1527979194.347,Foot,,,,582190.6875,483867.5625,982.0599975585938
1527979199.065,,163.36700010299683,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A6AC8>,,0.0,,,1527979199.065,Foot,,,,582117.4375,483848.15625,1331.0599365234375
1527979209.082,,173.3840000629425,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094AAB38>,,0.0,,,1527979209.082,Foot,,,,581827.125,483756.65625,1331.0699462890625
1527979209.146,,173.44799995422363,0,,,,,<itemEquip.itemEquip object at 0x0000016008913BA8>,,,,,,,0.0,,,1527979209.146,Foot,,,,581827.125,483756.65625,1331.0699462890625
1527979209.1460998,,173.44809985160828,0,Item_Back_F_02_Lv2_C,,,,,<itemPickup.itemPickup object at 0x0000016008BEB358>,,,,,,0.0,,,1527979209.1460998,Foot,,,,581827.125,483756.65625,1331.0699462890625
1527979209.485,,173.7869999408722,0,Item_Boost_EnergyDrink_C,,,,,<itemPickup.itemPickup object at 0x0000016008BEB518>,,,,,,0.0,,,1527979209.485,Foot,,,,581827.125,483756.65625,1331.0699462890625
1527979212.92,,177.2220001220703,0,Item_Heal_Bandage_C,,,,,<itemPickup.itemPickup object at 0x0000016008BF0668>,,,,,,0.0,,,1527979212.92,Foot,,,,581551.8125,484059.21875,1331.0699462890625
