,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978955.488,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47732C278>,,0.0,,,1527978955.488,,,,343995.625,170036.171875,1453.429931640625
1527978965.5,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47733A7F0>,,0.0,,,1527978965.5,,,,343995.625,170036.171875,1453.429931640625
1527978975.538,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477361208>,,0.0,,,1527978975.538,,,,343995.625,170036.171875,1453.429931640625
1527978985.496,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477442630>,,0.0,,,1527978985.496,,,,343995.625,170036.171875,1453.429931640625
1527978995.515,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD748>,,0.0,,,1527978995.515,,,,343995.625,170036.171875,1453.429931640625
1527979005.497,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0CC0>,,0.0,,,1527979005.497,,,,343995.625,170036.171875,1453.429931640625
1527979015.552,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480278>,,0.0,,,1527979015.552,,,,343995.625,170036.171875,1453.429931640625
1527979025.506,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774707B8>,,0.0,,,1527979025.506,,,,343995.625,170036.171875,1453.429931640625
1527979035.537,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FC88>,,0.0,,,1527979035.537,,,,343995.625,170036.171875,1453.429931640625
1527979035.818,,,,,,<itemEquip.itemEquip object at 0x000001B476E559B0>,,,,,,,0.0,,,1527979035.818,,,,932243.625,638286.0625,150088.0
1527979035.8181,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF160>,,,,,,0.0,,,1527979035.8181,,,,932243.625,638286.0625,150088.0
1527979035.8182,,,,,,,,,,,,,0.0,,,1527979035.8182,,,<vehicleRide.vehicleRide object at 0x000001B47788F320>,932243.625,638286.0625,150088.0
