,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978954.406,,-81.29200005531311,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D8E400>,,0.0,,,1527978954.406,Foot,,,,794772.5625,20217.080078125,526.3200073242188
1527978964.387,,-71.3109998703003,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D9CBA8>,,0.0,,,1527978964.387,Foot,,,,794772.5625,20217.080078125,526.3200073242188
1527978974.445,,-61.253000020980835,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DC3E10>,,0.0,,,1527978974.445,Foot,,,,794772.5625,20217.080078125,526.3200073242188
1527978984.384,,-51.31399989128113,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DF3E48>,,0.0,,,1527978984.384,Foot,,,,794772.5625,20217.080078125,526.3200073242188
1527978994.391,,-41.306999921798706,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AAC50>,,0.0,,,1527978994.391,Foot,,,,794772.5625,20217.080078125,526.3200073242188
1527979004.39,,-31.307999849319458,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009430240>,,0.0,,,1527979004.39,Foot,,,,794772.5625,20217.080078125,526.3200073242188
1527979014.414,,-21.283999919891357,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094367F0>,,0.0,,,1527979014.414,Foot,,,,794772.5625,20217.080078125,526.3200073242188
1527979024.415,,-11.282999992370605,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943BCF8>,,0.0,,,1527979024.415,Foot,,,,794772.5625,20217.080078125,526.3200073242188
1527979034.398,,-1.2999999523162842,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009444240>,,0.0,,,1527979034.398,Foot,,,,794772.5625,20217.080078125,526.3200073242188
1527979035.704,,0.006000041961669922,1,,,,,,,,,,,,0.0,,,1527979035.704,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009343240>,932243.625,638286.0625,150088.0
1527979035.705,,0.006999969482421875,1,,,,,<itemEquip.itemEquip object at 0x00000160088D65C0>,,,,,,,0.0,,,1527979035.705,DummyTransportAircraft_C,,,,932243.625,638286.0625,150088.0
1527979035.7050998,,0.00709986686706543,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B51F28>,,,,,,0.0,,,1527979035.7050998,DummyTransportAircraft_C,,,,932243.625,638286.0625,150088.0
1527979044.939,,9.240999937057495,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944A6A0>,,0.0,,,1527979044.939,DummyTransportAircraft_C,,,,823903.625,583558.1875,150088.0
1527979054.929,,19.23099994659424,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944FB70>,,0.0,,,1527979054.929,DummyTransportAircraft_C,,,,696663.25,519282.75,150088.0
1527979064.972,,29.2739999294281,1,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094521D0>,,0.0,,,1527979064.972,DummyTransportAircraft_C,,,,567659.25,454116.5,150088.0
1527979074.932,,39.23399996757507,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600945D5C0>,,0.0,,,1527979074.932,DummyTransportAircraft_C,,,,440303.46875,389782.8125,150088.0
1527979077.687,,41.98900008201599,1,,,,,,,,,,,,0.0,,,1527979077.687,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097E2EB8>,,404870.1875,371883.6875,150088.0
