,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978976.804,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736C908>,,0.0,,,1527978976.804,,,,343939.90625,171392.9375,1453.429931640625
1527978986.809,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47745FBA8>,,0.0,,,1527978986.809,,,,343939.90625,171392.9375,1453.429931640625
1527978996.775,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BDB00>,,0.0,,,1527978996.775,,,,343939.90625,171392.9375,1453.429931640625
1527979006.793,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0128>,,0.0,,,1527979006.793,,,,343939.90625,171392.9375,1453.429931640625
1527979016.755,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480630>,,0.0,,,1527979016.755,,,,343939.90625,171392.9375,1453.429931640625
1527979026.764,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470B70>,,0.0,,,1527979026.764,,,,343939.90625,171392.9375,1453.429931640625
1527979035.782,,,,,,<itemEquip.itemEquip object at 0x000001B476E51160>,,,,,,,0.0,,,1527979035.782,,,,932243.625,638286.0625,150088.0
1527979035.7821,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF8D0>,,,,,,0.0,,,1527979035.7821,,,,932243.625,638286.0625,150088.0
1527979035.7822,,,,,,,,,,,,,0.0,,,1527979035.7822,,,<vehicleRide.vehicleRide object at 0x000001B477873A90>,932243.625,638286.0625,150088.0
1527979037.304,,1.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F1D0>,,0.0,,,1527979037.304,,,,928312.6875,636300.3125,150088.0
1527979047.28,,11.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E550>,,0.0,,,1527979047.28,,,,796847.75,569890.9375,150088.0
1527979055.799,,,,,,,,,,,,,0.0,,,1527979055.799,,<vehicleLeave.vehicleLeave object at 0x000001B476F90BA8>,,686068.375,513930.71875,150088.0
1527979055.806,,,,,,,,,,,,,0.0,,,1527979055.806,,,<vehicleRide.vehicleRide object at 0x000001B477B60320>,685467.5625,514468.0625,150015.78125
1527979057.277,,21.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365A20>,,0.0,,,1527979057.277,,,,681154.5,512575.9375,147300.390625
