,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978955.04,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47732C5F8>,,0.0,,,1527978955.04,,,,343298.4375,171288.9375,1457.5999755859375
1527978965.046,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47733ACF8>,,0.0,,,1527978965.046,,,,343298.4375,171288.9375,1457.5999755859375
1527978975.064,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773613C8>,,0.0,,,1527978975.064,,,,343298.4375,171288.9375,1457.5999755859375
1527978985.058,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47741BE48>,,0.0,,,1527978985.058,,,,343298.4375,171288.9375,1457.5999755859375
1527978995.064,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD5F8>,,0.0,,,1527978995.064,,,,343298.4375,171288.9375,1457.5999755859375
1527979005.035,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0B70>,,0.0,,,1527979005.035,,,,343298.4375,171288.9375,1457.5999755859375
1527979015.048,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774990B8>,,0.0,,,1527979015.048,,,,343298.4375,171288.9375,1457.5999755859375
1527979025.052,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470668>,,0.0,,,1527979025.052,,,,343298.4375,171288.9375,1457.5999755859375
1527979035.075,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FB38>,,0.0,,,1527979035.075,,,,343858.78125,171429.3125,1453.429931640625
1527979035.713,,,,,,<itemEquip.itemEquip object at 0x000001B476E49CC0>,,,,,,,0.0,,,1527979035.713,,,,932243.625,638286.0625,150088.0
1527979035.7131,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CA860>,,,,,,0.0,,,1527979035.7131,,,,932243.625,638286.0625,150088.0
1527979035.7132,,,,,,,,,,,,,0.0,,,1527979035.7132,,,<vehicleRide.vehicleRide object at 0x000001B477C4AA20>,932243.625,638286.0625,150088.0
1527979045.578,,9.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A198>,,0.0,,,1527979045.578,,,,816801.4375,579970.5625,150088.0
1527979055.564,,19.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365518>,,0.0,,,1527979055.564,,,,688939.3125,515381.0,150088.0
1527979065.579,,29.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774569E8>,,0.0,,,1527979065.579,,,,559935.9375,450215.03125,150088.0
1527979068.496,,,,,,,,,,,,,0.0,,,1527979068.496,,<vehicleLeave.vehicleLeave object at 0x000001B4777BB908>,,522746.1875,431428.6875,150088.0
1527979068.502,,,,,,,,,,,,,0.0,,,1527979068.502,,,<vehicleRide.vehicleRide object at 0x000001B477B60160>,523537.34375,430886.59375,150015.78125
1527979075.579,,39.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441EB8>,,0.0,,,1527979075.579,,,,510307.5625,422972.84375,111615.4375
1527979085.631,,49.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779283C8>,,0.0,,,1527979085.631,,,,508533.25,423950.6875,47803.2734375
1527979095.586,,58.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D898>,,0.0,,,1527979095.586,,,,500111.8125,429006.65625,13835.4482421875
1527979103.651,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FAA908>,,,,,0.0,,,1527979103.651,,,,491662.84375,435095.21875,1239.702392578125
1527979103.6511,,,,,,,,,,,,,0.0,,,1527979103.6511,,<vehicleLeave.vehicleLeave object at 0x000001B4777E6B38>,,491662.84375,435095.21875,1239.702392578125
1527979105.621,,68.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933D68>,,0.0,,,1527979105.621,,,,492110.1875,435253.5,1096.25
1527979112.667,,,,,,<itemEquip.itemEquip object at 0x000001B476E60668>,,,,,,,0.0,,,1527979112.667,,,,492871.34375,435307.71875,1124.0399169921875
1527979112.668,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DCE10>,,,,,,0.0,,,1527979112.668,,,,492871.34375,435307.71875,1124.0399169921875
1527979113.313,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DC048>,,,,,,0.0,,,1527979113.313,,,,492843.65625,435301.0625,1124.0399169921875
1527979114.009,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DF240>,,,,,,0.0,,,1527979114.009,,,,492880.5625,435244.625,1124.0399169921875
1527979115.61,,77.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C278>,,0.0,,,1527979115.61,,,,492759.5,435779.1875,1124.0399169921875
1527979117.434,,,,,,<itemEquip.itemEquip object at 0x000001B476E60C18>,,,,,,,0.0,,,1527979117.434,,,,492278.625,435597.15625,1124.0399169921875
1527979117.4341,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DF9B0>,,,,,,0.0,,,1527979117.4341,,,,492278.625,435597.15625,1124.0399169921875
1527979117.89,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DFC50>,,,,,,0.0,,,1527979117.89,,,,492330.15625,435645.71875,1124.0399169921875
1527979119.861,,,,,,<itemEquip.itemEquip object at 0x000001B476E60128>,,,,,,,0.0,,,1527979119.861,,,,492219.3125,436447.34375,1124.0399169921875
1527979119.8611,,,,,,,<itemPickup.itemPickup object at 0x000001B4770E5780>,,,,,,0.0,,,1527979119.8611,,,,492219.3125,436447.34375,1124.0399169921875
1527979125.588,,87.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477941748>,,0.0,,,1527979125.588,,,,493010.875,437148.375,1084.919921875
1527979131.287,,,,,,<itemEquip.itemEquip object at 0x000001B476E67C18>,,,,,,,0.0,,,1527979131.287,,,,492858.625,436046.84375,1473.0499267578125
1527979131.2870998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770F7C50>,,,,,,0.0,,,1527979131.2870998,,,,492858.625,436046.84375,1473.0499267578125
1527979133.534,,,,,,<itemEquip.itemEquip object at 0x000001B476E67128>,,,,,,,0.0,,,1527979133.534,,,,492980.375,435724.875,1473.0499267578125
1527979133.535,,,,,,,<itemPickup.itemPickup object at 0x000001B4770FD8D0>,,,,,,0.0,,,1527979133.535,,,,492980.375,435724.875,1473.0499267578125
1527979133.832,,,,,,,<itemPickup.itemPickup object at 0x000001B4770FDB00>,,,,,,0.0,,,1527979133.832,,,,492983.15625,435725.375,1473.0499267578125
1527979134.209,,,,,,,<itemPickup.itemPickup object at 0x000001B4770FDBE0>,,,,,,0.0,,,1527979134.209,,,,492984.625,435726.03125,1473.0499267578125
1527979134.52,,,,,,,<itemPickup.itemPickup object at 0x000001B4770FDCC0>,,,,,,0.0,,,1527979134.52,,,,492988.0625,435727.5,1473.0499267578125
1527979135.042,,,<itemAttach.itemAttach object at 0x000001B476BAD8D0>,,,,,,,,,,0.0,,,1527979135.042,,,,492980.15625,435724.0625,1473.0499267578125
1527979135.587,,97.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946BE0>,,0.0,,,1527979135.587,,,,492978.65625,435678.5625,1473.0499267578125
1527979138.891,,,,,,,<itemPickup.itemPickup object at 0x000001B477105390>,,,,,,0.0,,,1527979138.891,,,,492888.15625,435285.3125,1473.0499267578125
1527979139.394,,,,,,,<itemPickup.itemPickup object at 0x000001B477105780>,,,,,,0.0,,,1527979139.394,,,,492883.625,435285.59375,1473.0499267578125
1527979142.065,,,,,,,<itemPickup.itemPickup object at 0x000001B47710ABE0>,,,,,,0.0,,,1527979142.065,,,,492982.65625,436000.34375,1478.4000244140625
1527979142.953,,,,,,,<itemPickup.itemPickup object at 0x000001B47710F240>,,,,,,0.0,,,1527979142.953,,,,492933.75,436005.1875,1473.0499267578125
1527979145.263,,,,,,,<itemPickup.itemPickup object at 0x000001B47710F160>,,,,,,0.0,,,1527979145.263,,,,492495.46875,435874.21875,1473.0499267578125
1527979145.622,,106.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794CF98>,,0.0,,,1527979145.622,,,,492368.71875,435928.59375,1473.0499267578125
1527979149.754,,,,,,,<itemPickup.itemPickup object at 0x000001B477117390>,,,,,,0.0,,,1527979149.754,,,,492225.71875,436395.875,1473.0499267578125
1527979153.386,,,,,,,<itemPickup.itemPickup object at 0x000001B47711C240>,,,,,,0.0,,,1527979153.386,,,,492945.90625,436453.34375,1473.0499267578125
1527979155.633,,116.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477957320>,,0.0,,,1527979155.633,,,,492812.78125,436855.90625,1441.0499267578125
1527979160.812,,,,,,,<itemPickup.itemPickup object at 0x000001B4771257F0>,,,,,,0.0,,,1527979160.812,,,,493718.625,438212.1875,1170.9599609375
1527979161.442,,,,,<itemDrop.itemDrop object at 0x000001B476D8F470>,,,,,,,,0.0,,,1527979161.442,,,,493850.65625,438381.84375,1170.9599609375
1527979161.4420998,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FCAEF0>,,,,,0.0,,,1527979161.4420998,,,,493850.65625,438381.84375,1170.9599609375
1527979161.443,,,,,,<itemEquip.itemEquip object at 0x000001B476E7A438>,,,,,,,0.0,,,1527979161.443,,,,493850.65625,438381.84375,1170.9599609375
1527979161.4431,,,,,,,<itemPickup.itemPickup object at 0x000001B477125B00>,,,,,,0.0,,,1527979161.4431,,,,493850.65625,438381.84375,1170.9599609375
1527979165.676,,126.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47795A588>,,0.0,,,1527979165.676,,,,494194.90625,437931.625,1149.8499755859375
1527979175.577,,135.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779607B8>,,0.0,,,1527979175.577,,,,494173.75,438426.625,1145.8299560546875
1527979185.598,,145.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477965940>,,0.0,,,1527979185.598,,,,489145.0625,439985.375,1326.669921875
1527979195.596,,155.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477969A90>,,0.0,,,1527979195.596,,,,485408.15625,442871.34375,500.489990234375
1527979205.579,,164.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47796EB00>,,0.0,,,1527979205.579,,,,483354.1875,447421.15625,626.2899780273438
1527979215.63,,174.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477973B70>,,0.0,,,1527979215.63,,,,483248.28125,447816.1875,683.7000122070312
1527979225.586,,184.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477979B38>,,0.0,,,1527979225.586,,,,481043.78125,451128.84375,1164.0399169921875
1527979235.599,,194.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47797CA90>,,0.0,,,1527979235.599,,,,483434.625,453112.28125,1618.159912109375
1527979242.101,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775504E0>,,,,0.0,,,1527979242.101,,,,484095.78125,453133.46875,1726.22998046875
1527979242.329,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477550630>,,,,0.0,,,1527979242.329,,,,484092.46875,453131.125,1725.5799560546875
1527979242.33,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775506D8>,,,,0.0,,,1527979242.33,,,,484092.46875,453131.125,1725.5799560546875
1527979242.397,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477550828>,,,,0.0,,,1527979242.397,,,,484093.5,453131.90625,1725.7899169921875
1527979242.504,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775508D0>,,,,0.0,,,1527979242.504,,,,484095.34375,453133.1875,1726.1400146484375
1527979242.586,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477550978>,,,,0.0,,,1527979242.586,,,,484088.9375,453128.65625,1724.8900146484375
1527979242.693,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477550A20>,,,,0.0,,,1527979242.693,,,,484088.90625,453128.625,1724.8800048828125
1527979242.796,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477550AC8>,,,,0.0,,,1527979242.796,,,,484092.46875,453131.1875,1725.6300048828125
1527979242.875,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477550B70>,,,,0.0,,,1527979242.875,,,,484088.5625,453128.28125,1724.8299560546875
1527979242.976,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477550C18>,,,,0.0,,,1527979242.976,,,,484087.375,453127.4375,1724.5799560546875
1527979243.077,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477550CC0>,,,,0.0,,,1527979243.077,,,,484091.0625,453130.0625,1725.3499755859375
1527979243.179,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477550D68>,,,,0.0,,,1527979243.179,,,,484102.34375,453138.28125,1727.5899658203125
1527979245.605,,204.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477982940>,,0.0,,,1527979245.605,,,,484937.09375,452967.34375,1882.5399169921875
1527979251.618,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477550048>,,,,0.0,,,1527979251.618,,,,487199.09375,451936.21875,1782.199951171875
1527979251.717,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775500F0>,,,,0.0,,,1527979251.717,,,,487194.46875,451928.3125,1781.77001953125
1527979251.816,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477555198>,,,,0.0,,,1527979251.816,,,,487197.71875,451921.21875,1780.68994140625
1527979251.913,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477555240>,,,,0.0,,,1527979251.913,,,,487194.75,451923.46875,1781.219970703125
1527979255.579,,213.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779877F0>,,0.0,,,1527979255.579,,,,487091.84375,451959.15625,1765.5799560546875
1527979265.585,,223.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47798C668>,,0.0,,,1527979265.585,,,,487071.09375,451673.625,1757.8099365234375
1527979269.605,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D34390>,0.0,,,1527979269.605,,,,487086.59375,451023.1875,1375.679931640625
1527979269.607,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D34470>,0.0,,,1527979269.607,,,,487086.59375,451023.1875,1375.679931640625
1527979269.609,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D34550>,0.0,,,1527979269.609,,,,487094.34375,451019.3125,1377.97998046875
1527979269.877,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477559A20>,,,,0.0,,,1527979269.877,,,,487097.5,451020.5625,1379.969970703125
1527979269.976,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477559C18>,,,,0.0,,,1527979269.976,,,,487089.9375,451028.03125,1379.1199951171875
1527979270.066,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477559D68>,,,,0.0,,,1527979270.066,,,,487089.90625,451028.125,1379.1400146484375
1527979270.15,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477559F60>,,,,0.0,,,1527979270.15,,,,487084.34375,451032.46875,1378.0699462890625
1527979270.246,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775590F0>,,,,0.0,,,1527979270.246,,,,487078.71875,451036.84375,1376.97998046875
1527979270.357,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775602E8>,,,,0.0,,,1527979270.357,,,,487065.34375,451047.15625,1374.3599853515625
1527979270.458,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477560438>,,,,0.0,,,1527979270.458,,,,487056.1875,451054.21875,1372.5899658203125
1527979270.534,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477560588>,,,,0.0,,,1527979270.534,,,,487057.15625,451053.4375,1372.760009765625
1527979270.671,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775606D8>,,,,0.0,,,1527979270.671,,,,487055.3125,451054.78125,1372.3800048828125
1527979270.739,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477560828>,,,,0.0,,,1527979270.739,,,,487046.46875,451061.15625,1370.6099853515625
1527979270.829,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775608D0>,,,,0.0,,,1527979270.829,,,,487032.78125,451070.9375,1368.030029296875
1527979270.934,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477560A20>,,,,0.0,,,1527979270.934,,,,487019.90625,451080.1875,1365.6300048828125
1527979271.024,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477560B70>,,,,0.0,,,1527979271.024,,,,487012.375,451085.71875,1367.199951171875
1527979271.101,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477560CC0>,,,,0.0,,,1527979271.101,,,,486995.875,451096.78125,1367.8399658203125
1527979271.214,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477560E10>,,,,0.0,,,1527979271.214,,,,486987.5,451102.03125,1364.949951171875
1527979271.337,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477560EB8>,,,,0.0,,,1527979271.337,,,,486966.78125,451111.59375,1358.419921875
1527979271.345,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D34710>,0.0,,,1527979271.345,,,,486966.78125,451111.59375,1358.419921875
1527979271.346,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D347F0>,0.0,,,1527979271.346,,,,486966.78125,451111.59375,1358.419921875
