,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978985.533,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477446198>,,0.0,,,1527978985.533,,,,344345.6875,170873.15625,1453.4337158203125
1527978995.547,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD780>,,0.0,,,1527978995.547,,,,344345.6875,170873.15625,1453.4337158203125
1527979005.567,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0CF8>,,0.0,,,1527979005.567,,,,344345.71875,170873.203125,1453.4000244140625
1527979015.552,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774802B0>,,0.0,,,1527979015.552,,,,344306.75,169556.953125,1453.4000244140625
1527979025.537,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774707F0>,,0.0,,,1527979025.537,,,,347575.875,165555.71875,1881.199951171875
1527979035.589,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FCC0>,,0.0,,,1527979035.589,,,,353444.625,164717.21875,1910.510009765625
1527979035.799,,,,,,<itemEquip.itemEquip object at 0x000001B476E55588>,,,,,,,0.0,,,1527979035.799,,,,932243.625,638286.0625,150088.0
1527979035.7991,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CFD30>,,,,,,0.0,,,1527979035.7991,,,,932243.625,638286.0625,150088.0
1527979035.7992,,,,,,,,,,,,,0.0,,,1527979035.7992,,,<vehicleRide.vehicleRide object at 0x000001B477873EF0>,932243.625,638286.0625,150088.0
1527979046.075,,10.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A048>,,0.0,,,1527979046.075,,,,811077.5625,577079.125,150088.0
1527979056.081,,20.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773656A0>,,0.0,,,1527979056.081,,,,682681.0,512219.625,150088.0
1527979066.068,,30.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456B70>,,0.0,,,1527979066.068,,,,553557.625,446993.0625,150088.0
1527979076.081,,39.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774411D0>,,0.0,,,1527979076.081,,,,425218.15625,382162.46875,150088.0
1527979086.088,,49.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928550>,,0.0,,,1527979086.088,,,,296587.75,317184.875,150088.0
1527979092.483,,,,,,,,,,,,,0.0,,,1527979092.483,,<vehicleLeave.vehicleLeave object at 0x000001B4777D2F28>,,213651.3125,275289.59375,150088.0
1527979092.485,,,,,,,,,,,,,0.0,,,1527979092.485,,,<vehicleRide.vehicleRide object at 0x000001B477B7B4E0>,211723.375,274938.09375,150015.78125
1527979096.073,,59.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792DA20>,,0.0,,,1527979096.073,,,,205521.5,270799.5625,136424.125
1527979106.153,,69.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933EF0>,,0.0,,,1527979106.153,,,,197333.28125,252984.9375,87896.875
1527979116.14,,78.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C400>,,0.0,,,1527979116.14,,,,192076.96875,233662.328125,40522.08984375
1527979126.127,,88.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779418D0>,,0.0,,,1527979126.127,,,,192793.4375,218574.015625,15447.828125
1527979133.969,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FC1128>,,,,,0.0,,,1527979133.969,,,,188028.40625,213565.171875,2795.306396484375
1527979133.9691,,,,,,,,,,,,,0.0,,,1527979133.9691,,<vehicleLeave.vehicleLeave object at 0x000001B477BEA668>,,188028.40625,213565.171875,2795.306396484375
1527979136.128,,97.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946D68>,,0.0,,,1527979136.128,,,,188088.921875,213831.3125,2298.679931640625
1527979138.161,,,,,,<itemEquip.itemEquip object at 0x000001B476E6C668>,,,,,,,0.0,,,1527979138.161,,,,188240.5625,214518.21875,2298.9599609375
1527979138.1611,,,,,,,<itemPickup.itemPickup object at 0x000001B477100CC0>,,,,,,0.0,,,1527979138.1611,,,,188240.5625,214518.21875,2298.9599609375
1527979142.954,,,,,,<itemEquip.itemEquip object at 0x000001B476E73518>,,,,,,,0.0,,,1527979142.954,,,,188651.890625,213222.296875,2298.9599609375
