,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978975.354,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773612E8>,,0.0,,,1527978975.354,,,,343438.78125,171016.703125,1539.77001953125
1527978985.237,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477431780>,,0.0,,,1527978985.237,,,,343438.78125,171016.703125,1539.77001953125
1527978995.269,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD668>,,0.0,,,1527978995.269,,,,343438.78125,171016.703125,1539.77001953125
1527979005.252,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0BE0>,,0.0,,,1527979005.252,,,,343438.78125,171016.703125,1539.77001953125
1527979015.275,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499048>,,0.0,,,1527979015.275,,,,343438.78125,171016.703125,1539.77001953125
1527979025.255,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774706D8>,,0.0,,,1527979025.255,,,,343438.78125,171016.703125,1539.77001953125
1527979035.268,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FBA8>,,0.0,,,1527979035.268,,,,343438.78125,171016.703125,1539.77001953125
1527979035.777,,,,,,<itemEquip.itemEquip object at 0x000001B476E51E80>,,,,,,,0.0,,,1527979035.777,,,,932243.625,638286.0625,150088.0
1527979035.7770998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF780>,,,,,,0.0,,,1527979035.7770998,,,,932243.625,638286.0625,150088.0
1527979035.7772,,,,,,,,,,,,,0.0,,,1527979035.7772,,,<vehicleRide.vehicleRide object at 0x000001B477873940>,932243.625,638286.0625,150088.0
1527979045.774,,10.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A128>,,0.0,,,1527979045.774,,,,814534.1875,578825.1875,150088.015625
1527979055.766,,20.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365588>,,0.0,,,1527979055.766,,,,686487.5625,514142.5625,150088.0
1527979065.785,,29.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456A58>,,0.0,,,1527979065.785,,,,557116.5625,448790.875,150088.0
1527979072.712,,,,,,,,,,,,,0.0,,,1527979072.712,,<vehicleLeave.vehicleLeave object at 0x000001B4777BBB38>,,468823.90625,404189.90625,150088.0
1527979072.718,,,,,,,,,,,,,0.0,,,1527979072.718,,,<vehicleRide.vehicleRide object at 0x000001B477B6B2B0>,467220.59375,403487.15625,150015.78125
1527979075.775,,39.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441F28>,,0.0,,,1527979075.775,,,,460896.875,399312.625,139647.859375
1527979085.766,,49.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928438>,,0.0,,,1527979085.766,,,,458355.28125,397507.78125,89728.375
1527979095.808,,59.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D908>,,0.0,,,1527979095.808,,,,458355.28125,397507.78125,39558.1484375
1527979105.827,,68.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933DD8>,,0.0,,,1527979105.827,,,,458154.8125,400416.625,18551.498046875
1527979115.852,,78.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C2E8>,,0.0,,,1527979115.852,,,,460865.9375,414049.90625,6378.38427734375
1527979117.574,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB4EB8>,,,,,0.0,,,1527979117.574,,,,460679.46875,415465.4375,5490.05419921875
1527979117.5740998,,,,,,,,,,,,,0.0,,,1527979117.5740998,,<vehicleLeave.vehicleLeave object at 0x000001B477807AC8>,,460679.46875,415465.4375,5490.05419921875
1527979124.779,,,,,,<itemEquip.itemEquip object at 0x000001B476E65CF8>,,,,,,,0.0,,,1527979124.779,,,,460146.875,414680.125,5311.5
1527979124.7791,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EE4E0>,,,,,,0.0,,,1527979124.7791,,,,460146.875,414680.125,5311.5
1527979125.8,,87.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779417B8>,,0.0,,,1527979125.8,,,,459847.90625,414918.90625,5311.5
1527979135.839,,97.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946C50>,,0.0,,,1527979135.839,,,,459766.125,414377.65625,4932.009765625
1527979138.162,,,,,,,<itemPickup.itemPickup object at 0x000001B477100D30>,,,,,,0.0,,,1527979138.162,,,,459898.03125,414743.625,4962.580078125
1527979138.753,,,,,,<itemEquip.itemEquip object at 0x000001B476E6C908>,,,,,,,0.0,,,1527979138.753,,,,459898.03125,414743.625,4962.580078125
1527979138.754,,,,,,,<itemPickup.itemPickup object at 0x000001B477105240>,,,,,,0.0,,,1527979138.754,,,,459898.03125,414743.625,4962.580078125
1527979139.395,,,,,,,<itemPickup.itemPickup object at 0x000001B4771057F0>,,,,,,0.0,,,1527979139.395,,,,459898.03125,414743.625,4962.580078125
1527979139.933,,,,,,,<itemPickup.itemPickup object at 0x000001B477105C50>,,,,,,0.0,,,1527979139.933,,,,459898.03125,414743.625,4962.580078125
1527979140.768,,,,,,,<itemPickup.itemPickup object at 0x000001B47710A1D0>,,,,,,0.0,,,1527979140.768,,,,459898.03125,414743.625,4962.580078125
1527979145.438,,,,,,<itemEquip.itemEquip object at 0x000001B476E73828>,,,,,,,0.0,,,1527979145.438,,,,459996.0625,414840.0,4962.580078125
1527979145.439,,,,,,,<itemPickup.itemPickup object at 0x000001B47710F0F0>,,,,,,0.0,,,1527979145.439,,,,459996.0625,414840.0,4962.580078125
1527979145.791,,106.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794C198>,,0.0,,,1527979145.791,,,,459978.21875,414784.34375,4962.580078125
1527979155.802,,116.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477957390>,,0.0,,,1527979155.802,,,,461597.125,417992.5,4406.60986328125
1527979165.799,,126.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47795A5F8>,,0.0,,,1527979165.799,,,,463839.5,422755.375,3713.409912109375
1527979175.793,,135.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477960828>,,0.0,,,1527979175.793,,,,463700.75,423112.28125,3713.409912109375
1527979179.479,,,,,,<itemEquip.itemEquip object at 0x000001B476E80C88>,,,,,,,0.0,,,1527979179.479,,,,464125.71875,423404.78125,3713.409912109375
1527979179.4791,,,,,,,<itemPickup.itemPickup object at 0x000001B47713D940>,,,,,,0.0,,,1527979179.4791,,,,464125.71875,423404.78125,3713.409912109375
1527979182.286,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477528390>,,,,0.0,,,1527979182.286,,,,464460.59375,423411.15625,3713.409912109375
1527979184.815,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775284E0>,,,,0.0,,,1527979184.815,,,,464448.4375,423441.46875,3713.409912109375
1527979184.861,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477528588>,,,,0.0,,,1527979184.861,,,,464448.4375,423441.46875,3713.409912109375
1527979184.924,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477528630>,,,,0.0,,,1527979184.924,,,,464448.4375,423441.46875,3713.409912109375
1527979184.975,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775286D8>,,,,0.0,,,1527979184.975,,,,464448.4375,423441.46875,3713.409912109375
1527979185.175,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477528780>,,,,0.0,,,1527979185.175,,,,464448.4375,423441.46875,3713.409912109375
1527979185.223,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477528828>,,,,0.0,,,1527979185.223,,,,464448.4375,423441.46875,3713.409912109375
1527979185.273,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775288D0>,,,,0.0,,,1527979185.273,,,,464448.4375,423441.46875,3713.409912109375
1527979185.32,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477528978>,,,,0.0,,,1527979185.32,,,,464448.4375,423441.46875,3713.409912109375
1527979185.817,,145.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779659B0>,,0.0,,,1527979185.817,,,,464448.4375,423441.46875,3713.409912109375
1527979195.784,,155.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477969B00>,,0.0,,,1527979195.784,,,,464885.1875,423991.5,3678.429931640625
1527979205.794,,165.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47796EB70>,,0.0,,,1527979205.794,,,,466958.65625,424165.78125,3675.530029296875
1527979210.156,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47753B390>,,,,0.0,,,1527979210.156,,,,466918.03125,423251.625,3704.030029296875
1527979210.2,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47753B438>,,,,0.0,,,1527979210.2,,,,466928.59375,423265.65625,3704.199951171875
1527979211.005,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47753B780>,,,,0.0,,,1527979211.005,,,,466856.84375,423172.5,3701.809814453125
1527979211.049,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47753B828>,,,,0.0,,,1527979211.049,,,,466833.5,423146.375,3700.530029296875
1527979211.123,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47753B8D0>,,,,0.0,,,1527979211.123,,,,466823.59375,423133.34375,3700.10986328125
1527979211.156,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47753B978>,,,,0.0,,,1527979211.156,,,,466817.1875,423118.28125,3700.25
1527979211.195,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47753BA20>,,,,0.0,,,1527979211.195,,,,466812.0625,423102.65625,3700.75
1527979211.249,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47753BAC8>,,,,0.0,,,1527979211.249,,,,466808.34375,423086.71875,3701.969970703125
1527979211.43,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47753BC18>,,,,0.0,,,1527979211.43,,,,466799.78125,423024.03125,3707.619873046875
1527979211.431,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47753BCC0>,,,,0.0,,,1527979211.431,,,,466799.78125,423024.03125,3707.619873046875
1527979211.432,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47753BD68>,,,,0.0,,,1527979211.432,,,,466799.78125,423024.03125,3707.619873046875
1527979211.49,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47753BEB8>,,,,0.0,,,1527979211.49,,,,466798.46875,423005.84375,3709.429931640625
1527979211.537,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47753BF60>,,,,0.0,,,1527979211.537,,,,466802.875,422990.1875,3712.619873046875
1527979211.587,,,,,,,,,<playerAttack.playerAttack object at 0x000001B47753B0F0>,,,,0.0,,,1527979211.587,,,,466809.0,422975.34375,3715.93994140625
1527979211.634,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477540198>,,,,0.0,,,1527979211.634,,,,466817.03125,422961.46875,3719.329833984375
1527979211.68,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477540240>,,,,0.0,,,1527979211.68,,,,466825.75,422948.03125,3722.72998046875
1527979211.722,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775402E8>,,,,0.0,,,1527979211.722,,,,466834.75,422934.71875,3725.969970703125
1527979211.768,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477540390>,,,,0.0,,,1527979211.768,,,,466843.5625,422921.28125,3729.030029296875
1527979211.842,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775404E0>,,,,0.0,,,1527979211.842,,,,466848.71875,422905.90625,3731.989990234375
1527979211.891,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477540588>,,,,0.0,,,1527979211.891,,,,466849.90625,422890.03125,3735.599853515625
1527979211.935,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477540630>,,,,0.0,,,1527979211.935,,,,466849.84375,422874.0,3739.099853515625
1527979212.007,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775406D8>,,,,0.0,,,1527979212.007,,,,466848.15625,422858.0625,3742.39990234375
1527979212.041,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477540780>,,,,0.0,,,1527979212.041,,,,466845.875,422842.0625,3745.429931640625
1527979212.096,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477540828>,,,,0.0,,,1527979212.096,,,,466843.125,422825.78125,3748.489990234375
1527979212.613,,,,,,,,,<playerAttack.playerAttack object at 0x000001B4775408D0>,,,,0.0,,,1527979212.613,,,,466809.4375,422669.3125,3781.760009765625
1527979212.936,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D2DD30>,0.0,,,1527979212.936,,,,466781.46875,422577.71875,3804.2099609375
1527979212.938,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D2DE10>,0.0,,,1527979212.938,,,,466781.46875,422577.71875,3804.2099609375
1527979212.9380999,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D2DEF0>,0.0,,,1527979212.9380999,,,,466781.46875,422577.71875,3804.2099609375
1527979212.941,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D2D048>,0.0,,,1527979212.941,,,,466775.90625,422562.5,3808.219970703125
1527979214.245,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D30160>,0.0,,,1527979214.245,,,,466439.125,422318.90625,3884.239990234375
1527979214.246,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D301D0>,0.0,,,1527979214.246,,,,466439.125,422318.90625,3884.239990234375
1527979214.249,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D302B0>,0.0,,,1527979214.249,,,,466439.125,422318.90625,3884.239990234375
1527979215.844,,174.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477973BE0>,,0.0,,,1527979215.844,,,,466439.125,422318.90625,3884.239990234375
1527979225.833,,184.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477979BA8>,,0.0,,,1527979225.833,,,,466439.125,422318.90625,3884.239990234375
1527979274.276,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FF2748>,,,,,0.0,,,1527979274.276,,,,466439.125,422318.90625,3884.239990234375
1527979274.2761,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FF27F0>,,,,,0.0,,,1527979274.2761,,,,466439.125,422318.90625,3884.239990234375
1527979274.2762,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FF28D0>,,,,,0.0,,,1527979274.2762,,,,466439.125,422318.90625,3884.239990234375
1527979274.2763,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FF29B0>,,,,,0.0,,,1527979274.2763,,,,466439.125,422318.90625,3884.239990234375
