,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978963.326,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477338B00>,,0.0,,,1527978963.326,,,,344373.5625,170198.8125,1453.43310546875
1527978973.354,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477359BA8>,,0.0,,,1527978973.354,,,,344100.46875,169676.875,1453.4000244140625
1527978983.361,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47737E0B8>,,0.0,,,1527978983.361,,,,341651.40625,168452.671875,1681.6220703125
1527978993.322,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477744FD0>,,0.0,,,1527978993.322,,,,336263.1875,168055.84375,1687.8099365234375
1527979003.329,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0588>,,0.0,,,1527979003.329,,,,333243.65625,168028.09375,1731.7999267578125
1527979013.322,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499B38>,,0.0,,,1527979013.322,,,,329277.84375,165116.5,1622.2999267578125
1527979023.342,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480128>,,0.0,,,1527979023.342,,,,328079.4375,165062.09375,1564.199951171875
1527979033.334,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F588>,,0.0,,,1527979033.334,,,,328079.4375,165062.09375,1564.199951171875
1527979035.749,,,,,,<itemEquip.itemEquip object at 0x000001B476E515F8>,,,,,,,0.0,,,1527979035.749,,,,932243.625,638286.0625,150088.0
1527979035.7491,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CA4A8>,,,,,,0.0,,,1527979035.7491,,,,932243.625,638286.0625,150088.0
1527979035.7492,,,,,,,,,,,,,0.0,,,1527979035.7492,,,<vehicleRide.vehicleRide object at 0x000001B4778732B0>,932243.625,638286.0625,150088.0
1527979043.866,,8.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738AA58>,,0.0,,,1527979043.866,,,,840013.5625,591696.125,150088.0
1527979053.86,,18.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736EF28>,,0.0,,,1527979053.86,,,,709506.0625,525770.3125,150088.0
1527979063.877,,28.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456438>,,0.0,,,1527979063.877,,,,581641.875,461179.875,150088.0
1527979073.846,,37.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441908>,,0.0,,,1527979073.846,,,,453880.6875,396641.34375,150088.0
1527979076.378,,,,,,,,,,,,,0.0,,,1527979076.378,,<vehicleLeave.vehicleLeave object at 0x000001B4777BB128>,,421418.59375,380243.15625,150088.0
1527979076.383,,,,,,,,,,,,,0.0,,,1527979076.383,,,<vehicleRide.vehicleRide object at 0x000001B477B6B860>,421568.15625,381561.5,150015.78125
1527979083.857,,47.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742FDD8>,,0.0,,,1527979083.857,,,,413366.75,373590.71875,120207.2890625
1527979093.922,,57.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D2E8>,,0.0,,,1527979093.922,,,,421794.71875,358735.1875,69704.4140625
1527979103.878,,66.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779337B8>,,0.0,,,1527979103.878,,,,434755.65625,326491.96875,34856.5703125
1527979113.873,,76.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936C88>,,0.0,,,1527979113.873,,,,444263.25,316037.40625,15905.6708984375
1527979123.872,,85.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C128>,,0.0,,,1527979123.872,,,,439320.9375,330562.78125,7243.70849609375
1527979133.916,,95.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946668>,,0.0,,,1527979133.916,,,,436106.90625,336556.59375,2107.708740234375
1527979136.927,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FC64E0>,,,,,0.0,,,1527979136.927,,,,435579.71875,336704.3125,1022.9382934570312
1527979136.9271,,,,,,,,,,,,,0.0,,,1527979136.9271,,<vehicleLeave.vehicleLeave object at 0x000001B477BEA748>,,435579.71875,336704.3125,1022.9382934570312
