,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978984.519,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773AC5F8>,,0.0,,,1527978984.519,,,,796616.125,20380.5,528.5
1527978994.552,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD358>,,0.0,,,1527978994.552,,,,796616.125,20380.5,528.5
1527979004.544,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B08D0>,,0.0,,,1527979004.544,,,,796616.125,20380.5,528.5
1527979014.561,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499E48>,,0.0,,,1527979014.561,,,,796616.125,20380.5,528.5
1527979024.514,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774703C8>,,0.0,,,1527979024.514,,,,796616.125,20380.5,528.5
1527979034.561,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F898>,,0.0,,,1527979034.561,,,,796616.125,20380.5,528.5
1527979035.873,,,,,,<itemEquip.itemEquip object at 0x000001B476E5A710>,,,,,,,0.0,,,1527979035.873,,,,932243.625,638286.0625,150088.0
1527979035.8730998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D2DA0>,,,,,,0.0,,,1527979035.8730998,,,,932243.625,638286.0625,150088.0
1527979035.8732,,,,,,,,,,,,,0.0,,,1527979035.8732,,,<vehicleRide.vehicleRide object at 0x000001B47788FF60>,932243.625,638286.0625,150088.0
1527979045.039,,9.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738AD68>,,0.0,,,1527979045.039,,,,822804.875,583003.1875,150088.0
1527979055.039,,19.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365278>,,0.0,,,1527979055.039,,,,695456.375,518673.15625,150088.0
1527979061.823,,,,,,,,,,,,,0.0,,,1527979061.823,,<vehicleLeave.vehicleLeave object at 0x000001B4777BB278>,,609376.4375,475189.96875,150088.0
1527979061.829,,,,,,,,,,,,,0.0,,,1527979061.829,,,<vehicleRide.vehicleRide object at 0x000001B477B609B0>,610013.5,474756.9375,150015.78125
1527979065.082,,29.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456748>,,0.0,,,1527979065.082,,,,603085.0,471223.125,136110.984375
1527979075.056,,39.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441C18>,,0.0,,,1527979075.056,,,,600680.125,470014.375,71282.59375
1527979085.072,,48.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F0B8>,,0.0,,,1527979085.072,,,,599853.6875,469936.40625,16524.26171875
1527979095.123,,58.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D5F8>,,0.0,,,1527979095.123,,,,591802.9375,470174.875,1224.792724609375
1527979095.957,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FA5DD8>,,,,,0.0,,,1527979095.957,,,,592319.8125,469842.09375,480.7626037597656
1527979095.9571,,,,,,,,,,,,,0.0,,,1527979095.9571,,<vehicleLeave.vehicleLeave object at 0x000001B4777E64A8>,,592319.8125,469842.09375,480.7626037597656
1527979104.662,,,,,,<itemEquip.itemEquip object at 0x000001B476E5AE48>,,,,,,,0.0,,,1527979104.662,,,,591089.8125,473298.34375,359.9599914550781
1527979104.6620998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D7C50>,,,,,,0.0,,,1527979104.6620998,,,,591089.8125,473298.34375,359.9599914550781
1527979104.983,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D7E10>,,,,,,0.0,,,1527979104.983,,,,591082.8125,473296.1875,359.9599914550781
1527979105.059,,68.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933AC8>,,0.0,,,1527979105.059,,,,591084.3125,473286.75,359.9599914550781
1527979109.251,,,,,,<itemEquip.itemEquip object at 0x000001B476E60278>,,,,,,,0.0,,,1527979109.251,,,,591139.3125,471873.28125,359.9599914550781
1527979109.252,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DC400>,,,,,,0.0,,,1527979109.252,,,,591139.3125,471873.28125,359.9599914550781
1527979109.501,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DC470>,,,,,,0.0,,,1527979109.501,,,,591139.3125,471873.28125,359.9599914550781
1527979109.837,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DC550>,,,,,,0.0,,,1527979109.837,,,,591139.3125,471873.28125,359.9599914550781
1527979115.11,,77.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936F98>,,0.0,,,1527979115.11,,,,592617.375,469845.84375,328.42999267578125
1527979122.575,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EA7F0>,,,,,,0.0,,,1527979122.575,,,,594940.125,468280.90625,653.5
1527979124.064,,,,,,<itemEquip.itemEquip object at 0x000001B476E65AC8>,,,,,,,0.0,,,1527979124.064,,,,594972.4375,468224.46875,653.5
1527979124.065,,,,,,,<itemPickup.itemPickup object at 0x000001B4770EA128>,,,,,,0.0,,,1527979124.065,,,,594972.4375,468224.46875,653.5
1527979125.106,,87.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779414A8>,,0.0,,,1527979125.106,,,,595315.25,468212.46875,653.5
1527979135.075,,96.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946978>,,0.0,,,1527979135.075,,,,592613.8125,470216.625,328.42999267578125
1527979139.131,,,,,,,,,<playerAttack.playerAttack object at 0x000001B477515780>,,,,0.0,,,1527979139.131,,,,592143.3125,471640.0625,359.9599914550781
1527979139.433,,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x000001B477D1A390>,0.0,,,1527979139.433,,,,592148.3125,471630.84375,359.9599914550781
