,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978955.522,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47732C198>,,0.0,,,1527978955.522,,,,797842.3125,19591.0,528.5
1527978965.534,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47733A588>,,0.0,,,1527978965.534,,,,797842.3125,19591.0,528.5
1527978975.626,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477364B38>,,0.0,,,1527978975.626,,,,797842.3125,19591.0,528.5
1527978985.534,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47744A320>,,0.0,,,1527978985.534,,,,797842.3125,19591.0,528.5
1527978995.547,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD7B8>,,0.0,,,1527978995.547,,,,797842.3125,19591.0,528.5
1527979005.567,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0D30>,,0.0,,,1527979005.567,,,,797842.3125,19591.0,528.5
1527979015.553,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774802E8>,,0.0,,,1527979015.553,,,,797842.3125,19591.0,528.5
1527979025.538,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470828>,,0.0,,,1527979025.538,,,,797842.3125,19591.0,528.5
1527979035.589,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FCF8>,,0.0,,,1527979035.589,,,,797842.3125,19591.0,528.5
1527979035.819,,,,,,,,,,,,,0.0,,,1527979035.819,,,<vehicleRide.vehicleRide object at 0x000001B47788F390>,932243.625,638286.0625,150088.0
1527979035.82,,,,,,<itemEquip.itemEquip object at 0x000001B476E55A20>,,,,,,,0.0,,,1527979035.82,,,,932243.625,638286.0625,150088.0
1527979035.8200998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D21D0>,,,,,,0.0,,,1527979035.8200998,,,,932243.625,638286.0625,150088.0
1527979046.075,,10.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E208>,,0.0,,,1527979046.075,,,,811077.5625,577079.125,150088.0
1527979056.081,,20.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773656D8>,,0.0,,,1527979056.081,,,,682681.0,512219.65625,150088.0
1527979066.069,,30.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456BE0>,,0.0,,,1527979066.069,,,,553557.625,446993.09375,150088.0
1527979076.081,,40.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441128>,,0.0,,,1527979076.081,,,,425218.1875,382162.5,150088.0
1527979080.68,,,,,,,,,,,,,0.0,,,1527979080.68,,<vehicleLeave.vehicleLeave object at 0x000001B4777D2828>,,365461.40625,351976.375,150088.0
1527979080.684,,,,,,,,,,,,,0.0,,,1527979080.684,,,<vehicleRide.vehicleRide object at 0x000001B477B6BF60>,365177.53125,351114.875,150015.78125
1527979086.088,,49.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4779285C0>,,0.0,,,1527979086.088,,,,350526.21875,358163.46875,133703.15625
1527979096.074,,59.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792DA90>,,0.0,,,1527979096.074,,,,336115.625,389688.125,98770.3125
1527979106.153,,69.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933F28>,,0.0,,,1527979106.153,,,,324961.0,423020.65625,63519.9453125
1527979116.141,,78.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C438>,,0.0,,,1527979116.141,,,,314529.25,455795.71875,29055.5859375
1527979126.127,,88.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477941908>,,0.0,,,1527979126.127,,,,310532.125,469639.28125,12124.2470703125
1527979133.702,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FC1198>,,,,,0.0,,,1527979133.702,,,,306941.0625,472646.78125,1266.464599609375
1527979133.7020998,,,,,,,,,,,,,0.0,,,1527979133.7020998,,<vehicleLeave.vehicleLeave object at 0x000001B477BEA5F8>,,306941.0625,472646.78125,1266.464599609375
1527979136.129,,97.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946DA0>,,0.0,,,1527979136.129,,,,306675.8125,471655.0625,1036.3299560546875
1527979146.143,,107.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47794C048>,,0.0,,,1527979146.143,,,,304015.84375,465874.125,738.75
1527979156.094,,116.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477957518>,,0.0,,,1527979156.094,,,,300972.09375,460269.875,992.0499877929688
1527979166.103,,126.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47795A780>,,0.0,,,1527979166.103,,,,298117.09375,454549.125,1009.8800048828124
1527979176.118,,136.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477960978>,,0.0,,,1527979176.118,,,,295546.5625,448960.46875,974.9199829101562
1527979179.056,,,,,,,<itemPickup.itemPickup object at 0x000001B47713D710>,,,,,,0.0,,,1527979179.056,,,,295311.96875,449033.15625,985.1399536132812
1527979179.79,,,,,,<itemEquip.itemEquip object at 0x000001B476E80CF8>,,,,,,,0.0,,,1527979179.79,,,,295311.96875,449033.15625,985.1399536132812
1527979179.791,,,,,,,<itemPickup.itemPickup object at 0x000001B47713DA20>,,,,,,0.0,,,1527979179.791,,,,295311.96875,449033.15625,985.1399536132812
1527979180.385,,,,,,,<itemPickup.itemPickup object at 0x000001B47713DD30>,,,,,,0.0,,,1527979180.385,,,,295311.96875,449033.15625,985.1399536132812
1527979186.125,,145.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477965B38>,,0.0,,,1527979186.125,,,,294791.03125,448802.5625,957.1399536132812
1527979190.269,,,,,,<itemEquip.itemEquip object at 0x000001B476E86828>,,,,,,,0.0,,,1527979190.269,,,,294558.0625,448884.84375,957.1399536132812
