,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978958.247,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477334BE0>,,0.0,,,1527978958.247,,,,344066.75,170072.796875,1453.429931640625
1527978968.264,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477343E80>,,0.0,,,1527978968.264,,,,345914.25,168807.375,1473.1168212890625
1527978978.268,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736C128>,,0.0,,,1527978978.268,,,,347591.1875,164581.21875,1898.25
1527978988.26,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774CD978>,,0.0,,,1527978988.26,,,,350124.59375,163370.5625,1803.8599853515625
1527978998.242,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BDDD8>,,0.0,,,1527978998.242,,,,353086.71875,163379.96875,1575.8299560546875
1527979008.264,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499390>,,0.0,,,1527979008.264,,,,353086.71875,163379.96875,1575.8299560546875
1527979018.259,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480908>,,0.0,,,1527979018.259,,,,353835.1875,163606.9375,1539.52001953125
1527979028.268,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470E48>,,0.0,,,1527979028.268,,,,354245.71875,164703.890625,1788.510009765625
1527979035.734,,,,,,<itemEquip.itemEquip object at 0x000001B476E51390>,,,,,,,0.0,,,1527979035.734,,,,932243.625,638286.0625,150088.0
1527979035.7340999,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CADA0>,,,,,,0.0,,,1527979035.7340999,,,,932243.625,638286.0625,150088.0
1527979035.7342,,,,,,,,,,,,,0.0,,,1527979035.7342,,,<vehicleRide.vehicleRide object at 0x000001B477C4AF60>,932243.625,638286.0625,150088.0
1527979038.794,,3.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A358>,,0.0,,,1527979038.794,,,,902692.1875,623358.1875,150088.015625
1527979048.779,,13.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E828>,,0.0,,,1527979048.779,,,,778266.8125,560504.75,150088.0
1527979058.782,,23.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365CF8>,,0.0,,,1527979058.782,,,,648683.5625,495045.90625,150088.0
1527979068.801,,32.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441208>,,0.0,,,1527979068.801,,,,518873.03125,429472.1875,150088.0
1527979077.336,,,,,,,,,,,,,0.0,,,1527979077.336,,<vehicleLeave.vehicleLeave object at 0x000001B4777D23C8>,,409374.125,374158.875,150088.0
1527979077.341,,,,,,,,,,,,,0.0,,,1527979077.341,,,<vehicleRide.vehicleRide object at 0x000001B477B6BB00>,409987.5,374100.15625,150015.78125
1527979078.799,,42.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F6D8>,,0.0,,,1527979078.799,,,,406821.5,372500.9375,146724.78125
1527979088.843,,52.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928BA8>,,0.0,,,1527979088.843,,,,400265.65625,363468.84375,87804.875
1527979098.83,,62.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D128>,,0.0,,,1527979098.83,,,,400196.25,363295.84375,24718.275390625
1527979108.799,,71.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936588>,,0.0,,,1527979108.799,,,,396224.875,352746.1875,4233.13525390625
