,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978982.698,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47737E4E0>,,0.0,,,1527978982.698,,,,561798.1875,128752.6796875,25676.875
1527978992.65,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477744E80>,,0.0,,,1527978992.65,,,,561798.25,128752.6875,25676.87890625
1527979002.652,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0438>,,0.0,,,1527979002.652,,,,561798.25,128752.6875,25676.87890625
1527979012.676,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774999E8>,,0.0,,,1527979012.676,,,,564229.1875,127426.96875,25717.5
1527979022.655,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480F28>,,0.0,,,1527979022.655,,,,564633.75,125805.625,25683.826171875
1527979032.684,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F438>,,0.0,,,1527979032.684,,,,563996.9375,127351.0,25775.458984375
1527979035.867,,,,,,<itemEquip.itemEquip object at 0x000001B476E5A5C0>,,,,,,,0.0,,,1527979035.867,,,,932243.625,638286.0625,150088.0
1527979035.8671,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D2C50>,,,,,,0.0,,,1527979035.8671,,,,932243.625,638286.0625,150088.0
1527979035.8672001,,,,,,,,,,,,,0.0,,,1527979035.8672001,,,<vehicleRide.vehicleRide object at 0x000001B47788FE10>,932243.625,638286.0625,150088.0
1527979043.167,,7.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738A908>,,0.0,,,1527979043.167,,,,850428.0,596956.9375,150088.0
1527979053.195,,17.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736EDD8>,,0.0,,,1527979053.195,,,,718764.375,530447.125,150088.0
1527979063.178,,27.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774562E8>,,0.0,,,1527979063.178,,,,591039.9375,465927.25,150088.0
1527979073.191,,37.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774417B8>,,0.0,,,1527979073.191,,,,462444.3125,400967.25,150088.0
1527979079.037,,,,,,,,,,,,,0.0,,,1527979079.037,,<vehicleLeave.vehicleLeave object at 0x000001B4777D2748>,,386578.4375,362643.625,150088.0
