,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527979008.921,,-26.776999950408936,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009430E10>,,0.0,,,1527979008.921,Foot,,,,343584.3125,171143.578125,1506.44482421875
1527979018.869,,-16.828999996185303,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943B3C8>,,0.0,,,1527979018.869,Foot,,,,343584.3125,171143.578125,1506.44482421875
1527979028.895,,-6.802999973297119,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943F908>,,0.0,,,1527979028.895,Foot,,,,343584.3125,171143.578125,1506.44482421875
1527979035.877,,0.1790001392364502,1,,,,,<itemEquip.itemEquip object at 0x00000160088E72B0>,,,,,,,0.0,,,1527979035.877,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8771,,0.17910003662109375,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B5E908>,,,,,,0.0,,,1527979035.8771,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8772001,,0.1792001724243164,1,,,,,,,,,,,,0.0,,,1527979035.8772001,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009276A20>,932243.625,638286.0625,150088.0
1527979039.422,,3.7239999771118164,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009444DD8>,,0.0,,,1527979039.422,DummyTransportAircraft_C,,,,896621.0,620291.25,150088.0
1527979049.415,,13.717000007629395,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944F2E8>,,0.0,,,1527979049.415,DummyTransportAircraft_C,,,,770127.875,556393.375,150088.0
1527979059.402,,23.703999996185303,1,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094527B8>,,0.0,,,1527979059.402,DummyTransportAircraft_C,,,,640960.25,491144.4375,150088.0
1527979069.416,,33.71799993515015,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459C88>,,0.0,,,1527979069.416,DummyTransportAircraft_C,,,,510973.375,425481.625,150088.0
1527979079.404,,43.706000089645386,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600945D048>,,0.0,,,1527979079.404,DummyTransportAircraft_C,,,,381876.84375,360268.59375,150088.0
1527979089.434,,53.736000061035156,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009466668>,,0.0,,,1527979089.434,DummyTransportAircraft_C,,,,253777.75,295559.4375,150088.0
1527979094.757,,59.05900001525879,1,,,,,,,,,,,,0.0,,,1527979094.757,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097F8C18>,,184448.21875,260537.6875,150088.0
1527979094.76,,59.062000036239624,1,,,,,,,,,,,,0.0,,,1527979094.76,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x000001600969D0B8>,185289.625,259700.203125,150015.78125
1527979099.5,,63.80200004577637,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946BB38>,,0.0,,,1527979099.5,ParachutePlayer_C,,,,177691.3125,253182.25,137237.234375
1527979109.529,,73.83100008964539,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009470198>,,0.0,,,1527979109.529,ParachutePlayer_C,,,,189442.609375,249261.578125,88113.3203125
1527979119.446,,83.7480001449585,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947B518>,,0.0,,,1527979119.446,ParachutePlayer_C,,,,198126.546875,265213.375,39276.19921875
1527979129.463,,93.76500010490417,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947F9E8>,,0.0,,,1527979129.463,ParachutePlayer_C,,,,201959.4375,275151.90625,13426.1845703125
1527979139.467,,103.76900005340576,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009484E48>,,0.0,,,1527979139.467,ParachutePlayer_C,,,,205617.171875,263947.0625,6714.55126953125
1527979149.443,,113.74500012397766,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600948E208>,,0.0,,,1527979149.443,ParachutePlayer_C,,,,205671.828125,257687.171875,1954.366455078125
1527979154.285,,118.58700013160706,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A510B8>,,,,,0.0,,,1527979154.285,ParachutePlayer_C,,,,205680.265625,256652.78125,724.7015991210938
1527979154.2851,,118.5871000289917,0,,,,,,,,,,,,0.0,,,1527979154.2851,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160092DE668>,,205680.265625,256652.78125,724.7015991210938
1527979158.309,,122.61100006103516,0,,,,,,,,,,,,1.0,,<swimStart.swimStart object at 0x0000016009BF8860>,1527979158.309,Foot,,,,205643.34375,256251.390625,-273.21710205078125
1527979159.451,,123.75300002098083,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094934E0>,,1.0,,,1527979159.451,Foot,,,,205641.15625,255989.921875,-275.7599792480469
1527979166.196,,130.4980001449585,0,,,,,,,,,,,,1.0,,<swimStart.swimStart object at 0x0000016009BF8898>,1527979166.196,Foot,,,,205667.140625,254445.296875,-284.8211364746094
1527979166.1961,,130.49810004234314,0,,,,,,,,,,,,0.0,<swimEnd.swimEnd object at 0x0000016009BF8D68>,,1527979166.1961,Foot,,,,205667.140625,254445.296875,-284.8211364746094
1527979169.457,,133.7590000629425,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009496710>,,0.0,,,1527979169.457,Foot,,,,205756.921875,253729.046875,-279.07000732421875
1527979175.763,,140.06500005722046,0,,,,,,,,,,,,0.0,<swimEnd.swimEnd object at 0x0000016009BF8DA0>,,1527979175.763,Foot,,,,205906.21875,252350.625,-236.0447235107422
1527979177.717,,142.01900005340576,0,,,,,,,,,,,,1.0,,<swimStart.swimStart object at 0x0000016009BF8908>,1527979177.717,Foot,,,,205766.703125,252392.078125,-326.289794921875
1527979179.091,,143.393000125885,0,,,,,,,,,,,,0.0,<swimEnd.swimEnd object at 0x0000016009BF8E10>,,1527979179.091,Foot,,,,205567.375,252363.375,-301.1017761230469
1527979179.202,,143.5039999485016,0,,,,,,,,,,,,1.0,,<swimStart.swimStart object at 0x0000016009BF8940>,1527979179.202,Foot,,,,205554.65625,252364.03125,-299.4650573730469
1527979179.427,,143.72900009155273,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600949D908>,,1.0,,,1527979179.427,Foot,,,,205521.953125,252363.9375,-290.44000244140625
1527979179.995,,144.29699993133545,0,,,,,,,,,,,,0.0,<swimEnd.swimEnd object at 0x0000016009BF8E48>,,1527979179.995,Foot,,,,205421.296875,252358.890625,-266.0400085449219
1527979180.186,,144.48800015449524,0,,,,,,,,,,,,1.0,,<swimStart.swimStart object at 0x0000016009BF8978>,1527979180.186,Foot,,,,205377.71875,252375.9375,-285.0814208984375
