,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978960.709,,-74.98899984359741,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D99668>,,0.0,,,1527978960.709,Foot,,,,560742.25,129586.2578125,25676.869140625
1527978970.738,,-64.96000003814697,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DB1898>,,0.0,,,1527978970.738,Foot,,,,560335.75,129547.2734375,25676.869140625
1527978980.727,,-54.97099995613098,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DDC1D0>,,0.0,,,1527978980.727,Foot,,,,560186.3125,129293.234375,25676.869140625
1527978990.723,,-44.97499990463257,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AA550>,,0.0,,,1527978990.723,Foot,,,,560273.0625,127715.0,25676.869140625
1527979000.773,,-34.924999952316284,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942DAC8>,,0.0,,,1527979000.773,Foot,,,,560273.0625,127715.0,25676.869140625
1527979010.717,,-24.98099994659424,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009430128>,,0.0,,,1527979010.717,Foot,,,,560273.0625,127715.0,25676.869140625
1527979020.735,,-14.963000059127808,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943B5F8>,,0.0,,,1527979020.735,Foot,,,,560273.0625,127715.0,25676.869140625
1527979030.732,,-4.9659998416900635,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943FB38>,,0.0,,,1527979030.732,Foot,,,,560590.375,128967.9765625,25676.869140625
1527979035.742,,0.04400014877319336,1,,,,,<itemEquip.itemEquip object at 0x00000160088D6F98>,,,,,,,0.0,,,1527979035.742,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7421,,0.044100046157836914,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B56978>,,,,,,0.0,,,1527979035.7421,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7422001,,0.04420018196105957,1,,,,,,,,,,,,0.0,,,1527979035.7422001,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009343A90>,932243.625,638286.0625,150088.0
1527979041.253,,5.555000066757202,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009444198>,,0.0,,,1527979041.253,DummyTransportAircraft_C,,,,876113.3125,609931.875,150088.0
1527979051.25,,15.552000045776367,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944F518>,,0.0,,,1527979051.25,DummyTransportAircraft_C,,,,745803.75,544106.0625,150088.0
1527979060.235,,24.536999940872192,1,,,,,,,,,,,,0.0,,,1527979060.235,Foot,,<vehicleLeave.vehicleLeave object at 0x0000016008D86978>,,629924.4375,485569.6875,150088.0
1527979060.241,,24.542999982833862,1,,,,,,,,,,,,0.0,,,1527979060.241,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x0000016009276048>,630592.6875,486341.75,150015.78125
1527979061.277,,25.578999996185303,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094529E8>,,0.0,,,1527979061.277,ParachutePlayer_C,,,,627969.25,485036.28125,149086.0625
1527979071.265,,35.56700015068054,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459EB8>,,0.0,,,1527979071.265,ParachutePlayer_C,,,,621336.9375,481766.5625,89928.4296875
1527979081.274,,45.57599997520447,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094613C8>,,0.0,,,1527979081.274,ParachutePlayer_C,,,,621336.6875,481766.5625,25680.091796875
1527979091.293,,55.59500002861023,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009466898>,,0.0,,,1527979091.293,ParachutePlayer_C,,,,610558.3125,480311.21875,4282.91162109375
1527979094.851,,59.15300011634827,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A31630>,,,,,0.0,,,1527979094.851,ParachutePlayer_C,,,,607921.625,480758.75,683.2450561523438
1527979094.8511,,59.15310001373291,0,,,,,,,,,,,,0.0,,,1527979094.8511,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097F8C88>,,607921.625,480758.75,683.2450561523438
1527979101.331,,65.63300013542175,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946BD68>,,0.0,,,1527979101.331,Foot,,,,607353.5625,482114.4375,360.1499938964844
1527979108.797,,73.09899997711182,0,,,,,,,,,,,,0.0,,,1527979108.797,Dacia_A_04_v2_C,,,<vehicleRide.vehicleRide object at 0x00000160096AB4E0>,604730.125,481745.96875,374.21142578125
1527979111.266,,75.5680000782013,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009473278>,,0.0,,,1527979111.266,Dacia_A_04_v2_C,,,,603870.6875,482678.6875,349.44964599609375
1527979120.269,,84.57100009918213,0,,,,,,,,,,,,0.0,,,1527979120.269,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160092B56D8>,,592858.3125,475109.1875,348.7296142578125
1527979120.764,,85.06599998474121,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000160098502B0>,0.0,,,1527979120.764,Foot,,,,593117.875,474853.875,300.30999755859375
1527979121.314,,85.6159999370575,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947B748>,,0.0,,,1527979121.314,Foot,,,,592973.25,474710.71875,307.6099853515625
1527979131.288,,95.59000015258789,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947FC18>,,0.0,,,1527979131.288,Foot,,,,592089.9375,471708.28125,359.9599914550781
1527979135.877,,100.17900013923645,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F765C0>,,,,0.0,,,1527979135.877,Foot,,,,592211.8125,471994.3125,359.9599914550781
1527979136.453,,100.75500011444092,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F76710>,,,,0.0,,,1527979136.453,Foot,,,,592201.0625,472035.90625,453.3899841308594
1527979136.455,,100.75699996948242,0,,,,,,,,,<playerKill.playerKill object at 0x0000016008727DA0>,,,0.0,,,1527979136.455,Foot,,,,592201.0625,472035.90625,453.3899841308594
1527979139.433,,103.7350001335144,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F79278>,,,,0.0,,,1527979139.433,Foot,,,,592076.3125,471724.21875,425.9499816894531
1527979139.9,,104.2020001411438,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F79320>,,,,0.0,,,1527979139.9,Foot,,,,592096.0,471626.75,359.9599914550781
1527979141.038,,105.34000015258789,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F79518>,,,,0.0,,,1527979141.038,Foot,,,,592234.3125,471544.75,425.4599914550781
1527979141.339,,105.64100003242493,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009484048>,,0.0,,,1527979141.339,Foot,,,,592274.25,471516.84375,359.9599914550781
1527979142.292,,106.59400010108948,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000160098587F0>,0.0,,,1527979142.292,Foot,,,,592072.875,471378.34375,459.9700012207031
1527979142.293,,106.59500002861023,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000160098588D0>,0.0,,,1527979142.293,Foot,,,,592072.875,471378.34375,459.9700012207031
1527979142.294,,106.59599995613098,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000160098589B0>,0.0,,,1527979142.294,Foot,,,,592072.875,471378.34375,459.9700012207031
1527979142.296,,106.59800004959106,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x0000016009858A90>,0.0,,,1527979142.296,Foot,,,,592072.875,471378.34375,459.9700012207031
1527979142.297,,106.59899997711182,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x0000016009858B70>,0.0,,,1527979142.297,Foot,,,,592072.875,471378.34375,459.9700012207031
1527979151.281,,115.58299994468689,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600948E400>,,0.0,,,1527979151.281,Foot,,,,592072.875,471378.34375,459.9700012207031
