,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978969.44,,-66.25799989700317,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DADC50>,,0.0,,,1527978969.44,Foot,,,,795662.5625,21060.490234375,526.3200073242188
1527978970.65,,-65.0479998588562,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F49710>,,,,0.0,,,1527978970.65,Foot,,,,795428.375,21247.859375,526.3200073242188
1527978979.453,,-56.24499988555908,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DDCBE0>,,0.0,,,1527978979.453,Foot,,,,799008.3125,22741.990234375,1293.4599609375
1527978989.451,,-46.246999979019165,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008ECA048>,,0.0,,,1527978989.451,Foot,,,,801170.0625,23776.619140625,810.3599853515625
1527978999.358,,-36.33999991416931,2,,,,,,,,,,,,1.0,,<swimStart.swimStart object at 0x0000016009BF87F0>,1527978999.358,Foot,,,,797396.0,27596.14453125,-400.2491455078125
1527978999.428,,-36.269999980926514,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942D908>,,1.0,,,1527978999.428,Foot,,,,797429.125,27638.708984375,-437.03997802734375
1527979008.841,,-26.85699987411499,2,,,,,,,,,,,,0.0,<swimEnd.swimEnd object at 0x0000016009BF8CF8>,,1527979008.841,Foot,,,,797088.0625,27611.275390625,-255.49867248535156
1527979009.456,,-26.241999864578247,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009430EB8>,,0.0,,,1527979009.456,Foot,,,,796815.75,27644.208984375,-143.0500030517578
1527979019.418,,-16.27999997138977,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943B470>,,0.0,,,1527979019.418,Foot,,,,798190.3125,25581.12890625,555.3499755859375
1527979023.849,,-11.848999977111816,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F56470>,,,,0.0,,,1527979023.849,Foot,,,,799611.125,27099.69921875,714.3399658203125
1527979026.163,,-9.53499984741211,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F56668>,,,,0.0,,,1527979026.163,Foot,,,,799575.5625,27130.3203125,734.1499633789062
1527979027.174,,-8.5239999294281,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F56860>,,,,0.0,,,1527979027.174,Foot,,,,799573.5625,27136.330078125,738.8499755859375
1527979027.65,,-8.047999858856201,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F56908>,,,,0.0,,,1527979027.65,Foot,,,,799573.5625,27136.330078125,738.8499755859375
1527979028.104,,-7.593999862670898,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F569B0>,,,,0.0,,,1527979028.104,Foot,,,,799573.5625,27136.330078125,738.8499755859375
1527979028.632,,-7.065999984741211,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F56B00>,,,,0.0,,,1527979028.632,Foot,,,,799573.5625,27136.330078125,738.8499755859375
1527979029.41,,-6.287999868392944,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943F9B0>,,0.0,,,1527979029.41,Foot,,,,799573.5625,27136.330078125,738.8499755859375
1527979035.761,,0.06299996376037598,1,,,,,<itemEquip.itemEquip object at 0x00000160088DB588>,,,,,,,0.0,,,1527979035.761,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7610998,,0.06309986114501953,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B56E48>,,,,,,0.0,,,1527979035.7610998,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7612,,0.06319999694824219,1,,,,,,,,,,,,0.0,,,1527979035.7612,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009343F60>,932243.625,638286.0625,150088.0
1527979039.928,,4.230000019073486,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009444E80>,,0.0,,,1527979039.928,DummyTransportAircraft_C,,,,891387.8125,617647.75,150088.0
1527979049.951,,14.253000020980835,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944F390>,,0.0,,,1527979049.951,DummyTransportAircraft_C,,,,763157.5625,552872.25,150088.0
1527979059.949,,24.250999927520752,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009452860>,,0.0,,,1527979059.949,DummyTransportAircraft_C,,,,633637.5,487445.375,150088.0
1527979061.266,,25.568000078201294,1,,,,,,,,,,,,0.0,,,1527979061.266,Foot,,<vehicleLeave.vehicleLeave object at 0x0000016008D86AC8>,,616527.1875,478802.125,150088.0
1527979061.275,,25.5770001411438,1,,,,,,,,,,,,0.0,,,1527979061.275,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x000001600928D240>,617215.75,480010.53125,150015.78125
1527979069.947,,34.24900007247925,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459D30>,,0.0,,,1527979069.947,ParachutePlayer_C,,,,601064.4375,457825.46875,124053.8984375
1527979079.964,,44.26600003242493,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009461240>,,0.0,,,1527979079.964,ParachutePlayer_C,,,,583990.5625,427328.96875,89022.6015625
1527979089.989,,54.29100012779236,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009466710>,,0.0,,,1527979089.989,ParachutePlayer_C,,,,567320.6875,403992.46875,47450.984375
1527979099.96,,64.26200008392334,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946BBE0>,,0.0,,,1527979099.96,ParachutePlayer_C,,,,562102.75,390484.3125,16837.69140625
1527979109.743,,74.04500007629395,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A37208>,,,,,0.0,,,1527979109.743,ParachutePlayer_C,,,,561208.125,379690.75,2797.681396484375
1527979109.7431,,74.04509997367859,0,,,,,,,,,,,,0.0,,,1527979109.7431,Foot,,<vehicleLeave.vehicleLeave object at 0x000001600929DA58>,,561208.125,379690.75,2797.681396484375
1527979110.038,,74.34000015258789,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009470160>,,0.0,,,1527979110.038,Foot,,,,561228.8125,379688.84375,2829.81982421875
1527979120.032,,84.33400011062622,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947B5C0>,,0.0,,,1527979120.032,Foot,,,,565319.5625,380779.5,1450.0799560546875
1527979122.212,,86.51399993896484,0,,,,,<itemEquip.itemEquip object at 0x00000160088EC160>,,,,,,,0.0,,,1527979122.212,Foot,,,,566048.375,380939.75,1450.0399169921875
1527979122.213,,86.51500010490417,0,Item_Weapon_M16A4_C,,,,,<itemPickup.itemPickup object at 0x0000016008B71F98>,,,,,,0.0,,,1527979122.213,Foot,,,,566048.375,380939.75,1450.0399169921875
1527979122.942,,87.24399995803833,0,Item_Ammo_556mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008B75588>,,,,,,0.0,,,1527979122.942,Foot,,,,566155.875,380997.03125,1450.0399169921875
1527979126.912,,91.21399998664856,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000160098507F0>,0.0,,,1527979126.912,Foot,,,,566460.0,380575.625,1450.0399169921875
1527979128.6,,92.90199995040894,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000160098508D0>,0.0,,,1527979128.6,Foot,,,,566007.625,380282.1875,1450.0699462890625
1527979129.224,,93.52600002288818,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F683C8>,,,,0.0,,,1527979129.224,Foot,,,,566045.5625,380204.4375,1450.219970703125
1527979129.3,,93.60199999809265,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F68518>,,,,0.0,,,1527979129.3,Foot,,,,566046.25,380204.78125,1450.219970703125
1527979129.371,,93.67300009727478,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F685C0>,,,,0.0,,,1527979129.371,Foot,,,,566046.0625,380205.15625,1450.219970703125
1527979129.442,,93.74399995803833,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F68710>,,,,0.0,,,1527979129.442,Foot,,,,566046.0,380205.28125,1450.219970703125
1527979129.532,,93.83400011062622,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F68860>,,,,0.0,,,1527979129.532,Foot,,,,566046.0,380205.28125,1450.219970703125
1527979129.608,,93.91000008583069,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F68908>,,,,0.0,,,1527979129.608,Foot,,,,566041.8125,380216.34375,1450.219970703125
1527979129.981,,94.2829999923706,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947FA90>,,0.0,,,1527979129.981,Foot,,,,566031.25,380272.125,1450.219970703125
1527979130.31,,94.61199998855591,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F68160>,,,,0.0,,,1527979130.31,Foot,,,,566058.0625,380320.65625,1450.219970703125
1527979130.379,,94.68099999427795,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F68080>,,,,0.0,,,1527979130.379,Foot,,,,566064.875,380333.03125,1450.219970703125
1527979130.393,,94.6949999332428,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x0000016009850B70>,0.0,,,1527979130.393,Foot,,,,566065.875,380339.65625,1450.219970703125
1527979130.458,,94.75999999046326,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F6C1D0>,,,,0.0,,,1527979130.458,Foot,,,,566067.6875,380341.78125,1450.219970703125
1527979130.604,,94.9060001373291,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F6C320>,,,,0.0,,,1527979130.604,Foot,,,,566072.625,380333.40625,1450.219970703125
1527979130.667,,94.96900010108948,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x0000016009850C50>,0.0,,,1527979130.667,Foot,,,,566074.375,380330.1875,1450.219970703125
