,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978956.498,,-79.20000004768372,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D95D68>,,0.0,,,1527978956.498,Foot,,,,343173.125,170541.75,1453.429931640625
1527978966.518,,-69.1800000667572,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DA1278>,,0.0,,,1527978966.518,Foot,,,,343173.125,170541.75,1453.429931640625
1527978976.521,,-59.17700004577637,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DCF9B0>,,0.0,,,1527978976.521,Foot,,,,343173.125,170541.75,1453.429931640625
1527978986.541,,-49.15700006484985,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008EC69B0>,,0.0,,,1527978986.541,Foot,,,,343173.125,170541.75,1453.429931640625
1527978996.511,,-39.187000036239624,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942D470>,,0.0,,,1527978996.511,Foot,,,,343551.9375,170650.875,1574.3399658203125
1527979006.527,,-29.171000003814697,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094309E8>,,0.0,,,1527979006.527,Foot,,,,345619.71875,170596.03125,1453.449951171875
1527979016.523,,-19.174999952316284,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009436F60>,,0.0,,,1527979016.523,Foot,,,,346782.90625,171681.953125,1724.010009765625
1527979026.538,,-9.15999984741211,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943F4E0>,,0.0,,,1527979026.538,Foot,,,,348159.0625,169078.453125,2001.8099365234375
1527979035.68,,-0.017999887466430664,2,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F5A470>,,,,0.0,,,1527979035.68,Foot,,,,348534.84375,168386.03125,1957.39990234375
1527979035.825,,0.127000093460083,1,,,,,<itemEquip.itemEquip object at 0x0000016008855048>,,,,,,,0.0,,,1527979035.825,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8251,,0.12709999084472656,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B59D68>,,,,,,0.0,,,1527979035.8251,Foot,,,,932243.625,638286.0625,150088.0
1527979035.8252,,0.12720012664794922,1,,,,,,,,,,,,0.0,,,1527979035.8252,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x000001600925CE80>,932243.625,638286.0625,150088.0
1527979037.107,,1.4090001583099365,1,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094449B0>,,0.0,,,1527979037.107,DummyTransportAircraft_C,,,,930761.625,637537.4375,150088.0
1527979047.057,,11.358999967575073,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944AE80>,,0.0,,,1527979047.057,DummyTransportAircraft_C,,,,799689.25,571326.25,150088.0
1527979057.044,,21.34599995613098,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009452390>,,0.0,,,1527979057.044,DummyTransportAircraft_C,,,,670644.3125,506139.375,150088.0
1527979067.032,,31.33400011062622,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459860>,,0.0,,,1527979067.032,DummyTransportAircraft_C,,,,541812.75,441060.21875,150088.0
1527979072.216,,36.51800012588501,1,,,,,,,,,,,,0.0,,,1527979072.216,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097E2438>,,474981.46875,407300.46875,150088.0
1527979072.222,,36.5239999294281,1,,,,,,,,,,,,0.0,,,1527979072.222,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x000001600928DB70>,474423.625,405953.15625,150015.78125
1527979077.081,,41.38300013542175,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600945DD30>,,0.0,,,1527979077.081,ParachutePlayer_C,,,,469451.09375,391116.46875,135031.59375
1527979087.062,,51.36400008201599,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009466240>,,0.0,,,1527979087.062,ParachutePlayer_C,,,,479175.1875,357747.40625,100104.0546875
1527979097.113,,61.41499996185303,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946B710>,,0.0,,,1527979097.113,ParachutePlayer_C,,,,491689.0,325034.6875,64986.06640625
1527979107.122,,71.42400002479553,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009470BE0>,,0.0,,,1527979107.122,ParachutePlayer_C,,,,501418.78125,299818.625,37064.38671875
1527979117.075,,81.37700009346008,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009473160>,,0.0,,,1527979117.075,ParachutePlayer_C,,,,507055.875,285215.875,27946.458984375
1527979127.071,,91.3730001449585,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947F5C0>,,0.0,,,1527979127.071,ParachutePlayer_C,,,,512699.78125,270773.8125,20175.041015625
1527979137.079,,101.38100004196167,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009484A58>,,0.0,,,1527979137.079,ParachutePlayer_C,,,,520768.03125,255973.5,11820.93359375
1527979147.082,,111.3840000629425,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009488E10>,,0.0,,,1527979147.082,ParachutePlayer_C,,,,529103.625,242262.046875,3353.557861328125
1527979155.151,,119.45300006866455,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A57438>,,,,,0.0,,,1527979155.151,ParachutePlayer_C,,,,529955.25,240283.75,653.5399780273438
1527979155.152,,119.4539999961853,0,,,,,,,,,,,,0.0,,,1527979155.152,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160092DE6D8>,,529955.25,240283.75,653.5399780273438
1527979157.132,,121.43400001525879,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600948E048>,,0.0,,,1527979157.132,Foot,,,,529864.1875,240017.9375,187.80999755859375
1527979167.102,,131.40400004386902,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094963C8>,,0.0,,,1527979167.102,Foot,,,,531833.1875,237135.453125,184.92999267578125
1527979171.345,,135.6470000743866,0,Item_Heal_FirstAid_C,,,,,<itemPickup.itemPickup object at 0x0000016008BC0208>,,,,,,0.0,,,1527979171.345,Foot,,,,533028.4375,236603.234375,226.05999755859375
1527979174.581,,138.88300013542175,0,Item_Heal_Bandage_C,,,,,<itemPickup.itemPickup object at 0x0000016008BC0B38>,,,,,,0.0,,,1527979174.581,Foot,,,,532347.8125,235926.59375,226.05999755859375
1527979175.523,,139.82500004768372,0,Item_Boost_EnergyDrink_C,,,,,<itemPickup.itemPickup object at 0x0000016008BC0160>,,,,,,0.0,,,1527979175.523,Foot,,,,532217.125,235765.609375,226.05999755859375
1527979176.472,,140.7739999294281,0,Item_Boost_EnergyDrink_C,,,,,<itemPickup.itemPickup object at 0x0000016008936588>,,,,,,0.0,,,1527979176.472,Foot,,,,532143.125,235600.8125,226.05999755859375
1527979176.951,,141.25300002098083,0,Item_Attach_Weapon_Muzzle_FlashHider_Medium_C,,,,,<itemPickup.itemPickup object at 0x00000160089367B8>,,,,,,0.0,,,1527979176.951,Foot,,,,532123.75,235611.671875,226.05999755859375
1527979177.116,,141.41799998283386,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600949D5F8>,,0.0,,,1527979177.116,Foot,,,,532149.125,235617.609375,226.05999755859375
1527979179.234,,143.53600001335144,0,Item_Attach_Weapon_Stock_AR_Composite_C,,,,,<itemPickup.itemPickup object at 0x0000016008BC8278>,,,,,,0.0,,,1527979179.234,Foot,,,,532800.75,236004.3125,226.05999755859375
1527979180.433,,144.7350001335144,0,Item_Boost_EnergyDrink_C,,,,,<itemPickup.itemPickup object at 0x0000016008BC8828>,,,,,,0.0,,,1527979180.433,Foot,,,,533004.4375,236017.0,226.05999755859375
1527979181.187,,145.489000082016,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BC8B38>,,,,,,0.0,,,1527979181.187,Foot,,,,533070.4375,235989.796875,226.05999755859375
1527979181.688,,145.99000000953674,0,Item_Attach_Weapon_Lower_ThumbGrip_C,,,,,<itemPickup.itemPickup object at 0x0000016008BC8D68>,,,,,,0.0,,,1527979181.688,Foot,,,,533117.9375,235935.953125,226.05999755859375
1527979183.685,,147.9869999885559,0,,,,,<itemEquip.itemEquip object at 0x000001600890CC88>,,,,,,,0.0,,,1527979183.685,Foot,,,,533022.1875,235544.171875,226.05999755859375
1527979183.6850998,,147.98709988594055,0,Item_Weapon_UMP_C,,,,,<itemPickup.itemPickup object at 0x0000016008BCB748>,,,,,,0.0,,,1527979183.6850998,Foot,,,,533022.1875,235544.171875,226.05999755859375
1527979184.155,,148.45700001716614,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BCB898>,,,,,,0.0,,,1527979184.155,Foot,,,,533011.8125,235573.21875,226.05999755859375
1527979185.365,,149.6670000553131,0,,<itemAttach.itemAttach object at 0x000001600863CF60>,,,,,,,,,,0.0,,,1527979185.365,Foot,,,,533002.875,235523.453125,226.05999755859375
1527979186.365,,150.6670000553131,0,,<itemAttach.itemAttach object at 0x0000016008642198>,,,,,,,,,,0.0,,,1527979186.365,Foot,,,,533002.875,235523.453125,226.05999755859375
1527979186.939,,151.2409999370575,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BCBDD8>,,,,,,0.0,,,1527979186.939,Foot,,,,532996.875,235521.46875,226.05999755859375
1527979187.074,,151.37599992752075,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A1748>,,0.0,,,1527979187.074,Foot,,,,532996.875,235521.46875,226.05999755859375
1527979192.87,,157.17199993133545,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BD5CF8>,,,,,,0.0,,,1527979192.87,Foot,,,,533047.75,235573.171875,226.05999755859375
1527979193.447,,157.74900007247925,0,Item_Ammo_9mm_C,,,,,<itemPickup.itemPickup object at 0x0000016008BD5F98>,,,,,,0.0,,,1527979193.447,Foot,,,,533003.5,235518.671875,226.05999755859375
1527979197.073,,161.375,0,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094A6828>,,0.0,,,1527979197.073,Foot,,,,532731.6875,236609.09375,251.6999969482422
1527979200.414,,164.71600008010864,0,,<itemAttach.itemAttach object at 0x00000160086420B8>,,,,,,,,,,0.0,,,1527979200.414,Foot,,,,532574.3125,235927.1875,575.0700073242188
1527979200.4141,,164.7160999774933,0,Item_Attach_Weapon_Upper_DotSight_01_C,,,,,<itemPickup.itemPickup object at 0x0000016008BDDDD8>,,,,,,0.0,,,1527979200.4141,Foot,,,,532574.3125,235927.1875,575.0700073242188
1527979203.342,,167.64400005340576,0,,,,<itemDrop.itemDrop object at 0x0000016008821278>,,,,,,,,0.0,,,1527979203.342,Foot,,,,532274.875,236606.828125,575.0700073242188
