,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978957.364,,-78.33399987220764,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D95780>,,0.0,,,1527978957.364,Foot,,,,796578.4375,20822.900390625,528.5299682617188
1527978967.367,,-68.3309998512268,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DA3780>,,0.0,,,1527978967.367,Foot,,,,796578.4375,20822.900390625,528.5299682617188
1527978977.432,,-58.26600003242493,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DCF048>,,0.0,,,1527978977.432,Foot,,,,796578.4375,20822.900390625,528.5299682617188
1527978987.373,,-48.325000047683716,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008F12B38>,,0.0,,,1527978987.373,Foot,,,,796578.4375,20822.900390625,528.5299682617188
1527978997.371,,-38.32699990272522,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942D630>,,0.0,,,1527978997.371,Foot,,,,796578.4375,20822.900390625,528.5299682617188
1527979007.377,,-28.32099986076355,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009430BA8>,,0.0,,,1527979007.377,Foot,,,,796578.4375,20822.900390625,528.5299682617188
1527979017.376,,-18.32200002670288,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094360B8>,,0.0,,,1527979017.376,Foot,,,,796578.4375,20822.900390625,528.5299682617188
1527979027.37,,-8.32800006866455,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943F6A0>,,0.0,,,1527979027.37,Foot,,,,796578.4375,20822.900390625,528.5299682617188
1527979035.728,,0.029999971389770508,1,,,,,<itemEquip.itemEquip object at 0x00000160088D6C88>,,,,,,,0.0,,,1527979035.728,Foot,,,,932243.625,638286.0625,150088.0
1527979035.7280998,,0.030099868774414062,1,,,,,,,,,,,,0.0,,,1527979035.7280998,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x00000160093437F0>,932243.625,638286.0625,150088.0
1527979035.729,,0.031000137329101562,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x0000016008B566D8>,,,,,,0.0,,,1527979035.729,DummyTransportAircraft_C,,,,932243.625,638286.0625,150088.0
1527979037.906,,2.2079999446868896,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009444B70>,,0.0,,,1527979037.906,DummyTransportAircraft_C,,,,919916.6875,632059.125,150087.984375
1527979047.913,,12.21500015258789,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944A1D0>,,0.0,,,1527979047.913,DummyTransportAircraft_C,,,,789112.8125,565983.625,150088.0
1527979057.913,,22.21500015258789,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009452550>,,0.0,,,1527979057.913,DummyTransportAircraft_C,,,,659727.1875,500624.5,150088.0
1527979067.918,,32.22000002861023,1,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009459A20>,,0.0,,,1527979067.918,DummyTransportAircraft_C,,,,530104.875,435145.9375,150088.0
1527979076.483,,40.78500008583069,1,,,,,,,,,,,,0.0,,,1527979076.483,Foot,,<vehicleLeave.vehicleLeave object at 0x00000160097E2BA8>,,419871.5,379461.59375,150088.0
1527979076.489,,40.79100012779236,1,,,,,,,,,,,,0.0,,,1527979076.489,ParachutePlayer_C,,,<vehicleRide.vehicleRide object at 0x000001600969D320>,420840.21875,379056.21875,150015.78125
1527979077.977,,42.27900004386902,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600945DEF0>,,0.0,,,1527979077.977,ParachutePlayer_C,,,,416568.8125,376629.96875,146634.5625
1527979087.945,,52.246999979019165,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009466400>,,0.0,,,1527979087.945,ParachutePlayer_C,,,,409980.0625,347602.5,106826.796875
1527979097.983,,62.28500008583069,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600946B8D0>,,0.0,,,1527979097.983,ParachutePlayer_C,,,,411629.59375,336895.96875,42154.4921875
1527979107.965,,72.26699995994568,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009470DA0>,,0.0,,,1527979107.965,ParachutePlayer_C,,,,416594.375,328826.6875,9036.11328125
1527979113.397,,77.69900012016296,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A3BC50>,,,,,0.0,,,1527979113.397,ParachutePlayer_C,,,,420379.5625,326357.78125,1666.368408203125
1527979113.3971,,77.69910001754761,0,,,,,,,,,,,,0.0,,,1527979113.3971,Foot,,<vehicleLeave.vehicleLeave object at 0x000001600929DEB8>,,420379.5625,326357.78125,1666.368408203125
1527979114.802,,79.10400009155273,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000160097A7668>,0.0,,,1527979114.802,Foot,,,,420505.5,326467.53125,1406.1400146484375
1527979117.955,,82.25699996948242,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947B2B0>,,0.0,,,1527979117.955,Foot,,,,420575.625,324723.53125,1406.1400146484375
1527979127.923,,92.22500014305115,0,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600947F780>,,0.0,,,1527979127.923,Foot,,,,421906.34375,325078.5,1069.179931640625
1527979128.961,,93.26300001144409,0,,,,,<itemEquip.itemEquip object at 0x00000160088F5208>,,,,,,,0.0,,,1527979128.961,Foot,,,,421875.0625,325104.9375,1069.179931640625
1527979128.962,,93.26399993896484,0,Item_Weapon_SmokeBomb_C,,,,,<itemPickup.itemPickup object at 0x0000016008B7F898>,,,,,,0.0,,,1527979128.962,Foot,,,,421875.0625,325104.9375,1069.179931640625
1527979136.13,,100.43200016021729,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A4CDD8>,,,,,0.0,,,1527979136.13,Foot,,,,421178.34375,324741.3125,714.75
1527979136.1301,,100.43210005760193,0,,,,,,,,<playerAttack.playerAttack object at 0x0000016008F76668>,,,,0.0,,,1527979136.1301,Foot,,,,421178.34375,324741.3125,714.75
1527979138.016,,102.3180000782013,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009484C18>,,0.0,,,1527979138.016,Foot,,,,420541.34375,324321.28125,714.75
1527979138.429,,102.73099994659424,0,,,,,<itemEquip.itemEquip object at 0x00000160088FA278>,,,,,,,0.0,,,1527979138.429,Foot,,,,420403.9375,324274.28125,714.75
1527979138.4290998,,102.73109984397888,0,Item_Back_F_01_Lv2_C,,,,,<itemPickup.itemPickup object at 0x0000016008B8B9E8>,,,,,,0.0,,,1527979138.4290998,Foot,,,,420403.9375,324274.28125,714.75
1527979140.606,,104.9079999923706,0,Item_Attach_Weapon_Upper_DotSight_01_C,,,,,<itemPickup.itemPickup object at 0x0000016008B90AC8>,,,,,,0.0,,,1527979140.606,Foot,,,,420392.5625,324280.625,714.75
1527979141.185,,105.48699998855591,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x0000016009854048>,0.0,,,1527979141.185,Foot,,,,420270.34375,324211.75,714.75
1527979141.186,,105.48800015449524,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x0000016009858160>,0.0,,,1527979141.186,Foot,,,,420270.34375,324211.75,714.75
1527979141.187,,105.48900008201599,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000160098581D0>,0.0,,,1527979141.187,Foot,,,,420270.34375,324211.75,714.75
1527979141.189,,105.4909999370575,0,,,,,,,,,,,<playerTakeDamage.playerTakeDamage object at 0x00000160098582B0>,0.0,,,1527979141.189,Foot,,,,420270.34375,324211.75,714.75
1527979147.962,,112.26399993896484,0,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016009488F98>,,0.0,,,1527979147.962,Foot,,,,420270.34375,324211.75,714.75
1527979201.239,,165.54100012779236,0,,,,,,,<itemUnequip.itemUnequip object at 0x0000016008A64C88>,,,,,0.0,,,1527979201.239,Foot,,,,420270.34375,324211.75,714.75
