,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978964.136,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477338DA0>,,0.0,,,1527978964.136,,,,343425.4375,170257.609375,1453.43310546875
1527978974.143,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477359518>,,0.0,,,1527978974.143,,,,343425.4375,170257.59375,1453.429931640625
1527978984.14,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47737E5C0>,,0.0,,,1527978984.14,,,,343425.4375,170257.59375,1453.429931640625
1527978994.128,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477744128>,,0.0,,,1527978994.128,,,,341040.9375,170099.65625,1683.3199462890625
1527979004.135,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B06D8>,,0.0,,,1527979004.135,,,,339739.125,166826.765625,1683.0999755859375
1527979014.13,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499C88>,,0.0,,,1527979014.13,,,,340690.0625,164162.9375,1907.0399169921875
1527979024.133,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470208>,,0.0,,,1527979024.133,,,,341821.875,163911.453125,1902.8599853515625
1527979034.157,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739F6D8>,,0.0,,,1527979034.157,,,,341348.9375,158182.25,1677.760009765625
1527979035.754,,,,,,,,,,,,,0.0,,,1527979035.754,,,<vehicleRide.vehicleRide object at 0x000001B477873400>,932243.625,638286.0625,150088.0
1527979035.755,,,,,,<itemEquip.itemEquip object at 0x000001B476E51780>,,,,,,,0.0,,,1527979035.755,,,,932243.625,638286.0625,150088.0
1527979035.7551,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF240>,,,,,,0.0,,,1527979035.7551,,,,932243.625,638286.0625,150088.0
1527979044.667,,9.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738ABA8>,,0.0,,,1527979044.667,,,,827506.375,585378.0625,150088.0
1527979054.655,,19.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E160>,,0.0,,,1527979054.655,,,,699989.5625,520963.09375,150088.0
1527979064.648,,28.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456588>,,0.0,,,1527979064.648,,,,571317.1875,455964.28125,150088.0
1527979072.795,,,,,,,,,,,,,0.0,,,1527979072.795,,<vehicleLeave.vehicleLeave object at 0x000001B4777BBBA8>,,468173.25,403861.25,150088.0
1527979072.807,,,,,,,,,,,,,0.0,,,1527979072.807,,,<vehicleRide.vehicleRide object at 0x000001B477B6B320>,469443.125,405067.375,150015.78125
1527979074.658,,38.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477441A58>,,0.0,,,1527979074.658,,,,465621.5625,403136.9375,144759.875
1527979084.654,,48.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742FF28>,,0.0,,,1527979084.654,,,,463016.8125,401827.71875,80071.8671875
1527979094.761,,58.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792D438>,,0.0,,,1527979094.761,,,,471161.5625,416867.65625,25717.5
1527979104.682,,67.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933908>,,0.0,,,1527979104.682,,,,461988.71875,419113.96875,7243.330078125
1527979108.152,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FB0400>,,,,,0.0,,,1527979108.152,,,,463130.125,421920.75,3960.2314453125
1527979108.1520998,,,,,,,,,,,,,0.0,,,1527979108.1520998,,<vehicleLeave.vehicleLeave object at 0x000001B4777E6F28>,,463130.125,421920.75,3960.2314453125
1527979114.725,,77.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477936DD8>,,0.0,,,1527979114.725,,,,463730.0625,423126.90625,3713.409912109375
1527979115.691,,,,,,,<itemPickup.itemPickup object at 0x000001B4770DF4E0>,,,,,,0.0,,,1527979115.691,,,,463502.59375,422869.34375,3713.409912109375
