,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978976.097,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477369A90>,,0.0,,,1527978976.097,,,,343282.53125,170961.265625,1534.6121826171875
1527978986.123,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739B048>,,0.0,,,1527978986.123,,,,343282.46875,170961.296875,1534.5899658203125
1527978996.081,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD9B0>,,0.0,,,1527978996.081,,,,343282.46875,170961.296875,1534.5899658203125
1527979006.101,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0F28>,,0.0,,,1527979006.101,,,,343282.46875,170961.296875,1534.5899658203125
1527979016.058,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774804E0>,,0.0,,,1527979016.058,,,,343282.46875,170961.296875,1534.5899658203125
1527979026.125,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477470A20>,,0.0,,,1527979026.125,,,,343282.46875,170961.296875,1534.5899658203125
1527979035.861,,,,,,<itemEquip.itemEquip object at 0x000001B476E5A470>,,,,,,,0.0,,,1527979035.861,,,,932243.625,638286.0625,150088.0
1527979035.8611,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D2B00>,,,,,,0.0,,,1527979035.8611,,,,932243.625,638286.0625,150088.0
1527979035.8612,,,,,,,,,,,,,0.0,,,1527979035.8612,,,<vehicleRide.vehicleRide object at 0x000001B47788FCC0>,932243.625,638286.0625,150088.0
1527979036.863,,1.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FEF0>,,0.0,,,1527979036.863,,,,932243.625,638286.0625,150088.0
1527979046.609,,11.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E400>,,0.0,,,1527979046.609,,,,804841.0,573928.6875,150087.984375
1527979056.61,,20.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773658D0>,,0.0,,,1527979056.61,,,,676047.25,508868.625,150088.0
1527979060.151,,,,,,,,,,,,,0.0,,,1527979060.151,,<vehicleLeave.vehicleLeave object at 0x000001B476F90F28>,,631025.0625,486125.6875,150088.0
1527979060.158,,,,,,,,,,,,,0.0,,,1527979060.158,,,<vehicleRide.vehicleRide object at 0x000001B477B606A0>,630915.125,482858.3125,150015.78125
1527979066.626,,30.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456DA0>,,0.0,,,1527979066.626,,,,616336.125,474288.875,123297.046875
1527979076.599,,40.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F2B0>,,0.0,,,1527979076.599,,,,616798.1875,457248.5,73371.5703125
1527979086.638,,50.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928780>,,0.0,,,1527979086.638,,,,617831.1875,438056.78125,30644.50390625
