,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978954.906,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47732CFD0>,,0.0,,,1527978954.906,,,,797633.25,19059.900390625,528.5
1527978964.879,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47733AA90>,,0.0,,,1527978964.879,,,,797633.25,19059.900390625,528.5
1527978974.907,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477361588>,,0.0,,,1527978974.907,,,,797633.25,19059.900390625,528.5
1527978984.945,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773EF6D8>,,0.0,,,1527978984.945,,,,797633.25,19059.900390625,528.5
1527978994.893,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD550>,,0.0,,,1527978994.893,,,,797633.25,19059.900390625,528.5
1527979004.893,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0AC8>,,0.0,,,1527979004.893,,,,797633.25,19059.900390625,528.5
1527979014.904,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477499128>,,0.0,,,1527979014.904,,,,797633.25,19059.900390625,528.5
1527979024.883,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774705F8>,,0.0,,,1527979024.883,,,,797633.25,19059.900390625,528.5
1527979034.93,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FB00>,,0.0,,,1527979034.93,,,,797633.25,19059.900390625,528.5
1527979035.814,,,,,,<itemEquip.itemEquip object at 0x000001B476E554E0>,,,,,,,0.0,,,1527979035.814,,,,932243.625,638286.0625,150088.0
1527979035.8140998,,,,,,,<itemPickup.itemPickup object at 0x000001B4770CF1D0>,,,,,,0.0,,,1527979035.8140998,,,,932243.625,638286.0625,150088.0
1527979035.8142,,,,,,,,,,,,,0.0,,,1527979035.8142,,,<vehicleRide.vehicleRide object at 0x000001B47788F240>,932243.625,638286.0625,150088.0
1527979045.442,,9.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47738AF98>,,0.0,,,1527979045.442,,,,818314.6875,580734.9375,150088.0
1527979055.413,,19.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365470>,,0.0,,,1527979055.413,,,,690778.8125,516310.3125,150088.0
