,armorDestroy,elapsedTime,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978975.835,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477369DA0>,,0.0,,,1527978975.835,,,,561133.125,128591.09375,25679.900390625
1527978985.846,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739B358>,,0.0,,,1527978985.846,,,,561133.125,128591.09375,25679.900390625
1527978995.816,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773BD940>,,0.0,,,1527978995.816,,,,561133.125,128591.09375,25679.900390625
1527979005.825,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4773B0EB8>,,0.0,,,1527979005.825,,,,561133.125,128591.09375,25679.900390625
1527979015.831,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477480470>,,0.0,,,1527979015.831,,,,561133.125,128591.09375,25679.900390625
1527979025.822,,0.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B4774709B0>,,0.0,,,1527979025.822,,,,561133.125,128591.09375,25679.900390625
1527979035.859,,,,,,<itemEquip.itemEquip object at 0x000001B476E5A400>,,,,,,,0.0,,,1527979035.859,,,,932243.625,638286.0625,150088.0
1527979035.8590999,,,,,,,<itemPickup.itemPickup object at 0x000001B4770D2A90>,,,,,,0.0,,,1527979035.8590999,,,,932243.625,638286.0625,150088.0
1527979035.8592,,,,,,,,,,,,,0.0,,,1527979035.8592,,,<vehicleRide.vehicleRide object at 0x000001B47788FC50>,932243.625,638286.0625,150088.0
1527979036.692,,1.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47739FE80>,,0.0,,,1527979036.692,,,,932243.625,638286.0625,150088.0
1527979046.343,,10.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47736E390>,,0.0,,,1527979046.343,,,,807980.3125,575514.5,150088.0
1527979056.343,,20.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477365860>,,0.0,,,1527979056.343,,,,679364.8125,510544.46875,150088.0
1527979066.377,,30.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477456D30>,,0.0,,,1527979066.377,,,,549733.6875,445061.40625,150088.0
1527979076.384,,40.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47742F240>,,0.0,,,1527979076.384,,,,421418.53125,380243.125,150088.0
1527979086.436,,49.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477928710>,,0.0,,,1527979086.436,,,,292468.5625,315104.125,150088.0
1527979096.362,,59.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47792DBE0>,,0.0,,,1527979096.362,,,,163647.109375,250030.03125,150088.0
1527979101.049,,,,,,,,,,,,,0.0,,,1527979101.049,,<vehicleLeave.vehicleLeave object at 0x000001B4777E67B8>,,103679.7734375,219737.578125,150088.0
1527979101.052,,,,,,,,,,,,,0.0,,,1527979101.052,,,<vehicleRide.vehicleRide object at 0x000001B477B7B7F0>,103114.265625,216675.96875,150015.78125
1527979106.444,,69.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477933160>,,0.0,,,1527979106.444,,,,96749.8515625,200815.734375,133755.734375
1527979116.445,,78.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B47793C5C0>,,0.0,,,1527979116.445,,,,107696.5390625,169092.171875,97240.5546875
1527979126.421,,88.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477941A90>,,0.0,,,1527979126.421,,,,112289.5,150396.078125,48371.8125
1527979136.412,,97.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477946F28>,,0.0,,,1527979136.412,,,,117681.7578125,134891.265625,14669.3681640625
1527979144.865,,,,,,,,<itemUnequip.itemUnequip object at 0x000001B476FC6B70>,,,,,0.0,,,1527979144.865,,,,113137.0859375,133749.328125,2675.70947265625
1527979144.8651,,,,,,,,,,,,,0.0,,,1527979144.8651,,<vehicleLeave.vehicleLeave object at 0x000001B477BEA898>,,113137.0859375,133749.328125,2675.70947265625
1527979146.367,,107.0,,,,,,,,,<playerPosition.playerPosition object at 0x000001B477951320>,,0.0,,,1527979146.367,,,,113089.6171875,133717.796875,2400.31005859375
1527979150.199,,,,,,<itemEquip.itemEquip object at 0x000001B476E771D0>,,,,,,,0.0,,,1527979150.199,,,,115018.375,133067.1875,2429.10986328125
