,armorDestroy,elapsedTime,gameState,item,itemAttach,itemDetach,itemDrop,itemEquip,itemPickup,itemUnequip,playerAttack,playerKill,playerPosition,playerTakeDamage,swim,swimEnd,swimStart,t,vehicle,vehicleDestroy,vehicleLeave,vehicleRide,x,y,z
1527978954.176,,-81.52199983596802,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160085A1B38>,,0.0,,,1527978954.176,Foot,,,,343892.0,171280.78125,1453.429931640625
1527978964.203,,-71.49499988555908,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008D9C828>,,0.0,,,1527978964.203,Foot,,,,343892.0,171280.78125,1453.429931640625
1527978974.204,,-61.49399995803833,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DBE470>,,0.0,,,1527978974.204,Foot,,,,343892.0,171280.78125,1453.429931640625
1527978984.208,,-51.49000000953674,2,,,,,,,,,,<playerPosition.playerPosition object at 0x0000016008DF3978>,,0.0,,,1527978984.208,Foot,,,,343892.0,171280.78125,1453.429931640625
1527978994.213,,-41.484999895095825,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160091AAB70>,,0.0,,,1527978994.213,Foot,,,,343892.0,171280.78125,1453.429931640625
1527979004.204,,-31.49399995803833,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600942D160>,,0.0,,,1527979004.204,Foot,,,,343892.0,171280.78125,1453.429931640625
1527979014.201,,-21.496999979019165,2,,,,,,,,,,<playerPosition.playerPosition object at 0x00000160094366A0>,,0.0,,,1527979014.201,Foot,,,,343892.0,171280.78125,1453.429931640625
1527979024.197,,-11.500999927520752,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943BBE0>,,0.0,,,1527979024.197,Foot,,,,343892.0,171280.78125,1453.429931640625
1527979034.203,,-1.494999885559082,2,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600943F160>,,0.0,,,1527979034.203,Foot,,,,343892.0,171280.78125,1453.429931640625
1527979035.698,,0.0,1,,,,,<itemEquip.itemEquip object at 0x0000016008813CC0>,,,,,,,0.0,,,1527979035.698,Foot,,,,932243.625,638286.0625,150088.0
1527979035.6980999,,9.989738464355469e-05,1,Item_Back_B_01_StartParachutePack_C,,,,,<itemPickup.itemPickup object at 0x00000160088D62B0>,,,,,,0.0,,,1527979035.6980999,Foot,,,,932243.625,638286.0625,150088.0
1527979035.6982,,0.00020003318786621094,1,,,,,,,,,,,,0.0,,,1527979035.6982,DummyTransportAircraft_C,,,<vehicleRide.vehicleRide object at 0x0000016009751048>,932243.625,638286.0625,150088.0
1527979044.733,,9.035000085830688,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944A5C0>,,0.0,,,1527979044.733,DummyTransportAircraft_C,,,,826436.9375,584837.875,150088.0
1527979054.724,,19.026000022888184,1,,,,,,,,,,<playerPosition.playerPosition object at 0x000001600944FA90>,,0.0,,,1527979054.724,DummyTransportAircraft_C,,,,699165.25,520546.6875,150088.0
